Names,Peak demand,Scale factor (multiples of representative networks),Share of zonal demand,Network_zones,DistrZones,CO_2_Max_ton_MWh,CO_2_Max_Mtons,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,RPS,CES,Share_in_MV,DistrLossFact_LV_Net_Quad,DistrLossFact_MV_Net_Linear,DistrLossFact_LV_Total_Linear,Predicted Average Loss at Peak,Assumed Distr. Headroom,Distr_Max_Inject,Distr_Max_Withdraw,Distr_Inject_Max_Reinforcement_MW,Distr_Withdraw_Max_Reinforcement_MW,Distr_MV_Reinforcement_Cost_per_MW_yr,Distr_LV_Reinforcement_Cost_per_MW_yr,DistrMarginFact_LV_Linear,DistrMarginFact_LV_Quad,DistrMarginFact_MV_Linear,DistrMargin_MV_Max,DistrMargin_MV_DiscountFact,Network_lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,Line_Loss_Percentage,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr,Line_Voltage_kV,Line_Resistance_ohms,Line_X_ohms,Line_R_ohms,Thetha_max,Peak_Withdrawal_Hours,Peak_Injection_Hours,After_Tax_WACC,LineDistance_km
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,5283,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1200,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,3200,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,2143,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,792,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,2119,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1070,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1433,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,3372,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,980,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,600,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
