R_ID,zone,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fixed_OM_cost_per_MWhyr,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Fixed_CAP,Fixed_CAP_MW,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,Cost_sheet_name,index
21,2,Wind_z02_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,73,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z02_01,21
22,2,Wind_z02_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,650,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z02_02,22
23,3,Wind_z03_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z02_02,23
24,4,Wind_z04_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3674,0,0,0,1,-1,-1,0,0,0,0,38293,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z04_01,24
25,4,Wind_z04_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2885,0,0,0,1,-1,-1,0,0,0,0,38293,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z04_02,25
26,4,Wind_z04_03,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,202,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z04_03,26
27,4,Wind_z04_04,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1110,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z04_04,27
28,5,Wind_z05_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1029,0,0,0,1,-1,-1,0,0,0,0,29648,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z05_01,28
29,5,Wind_z05_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3935,0,0,1,1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z05_02,29
30,6,Wind_z06_01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1181,0,0,1,1,-1,-1,0,0,69473,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z06_01,30
31,6,Wind_z06_02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,688,0,0,1,1,-1,-1,0,0,69473,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,trans,0,0,0,0,0,Wind_z06_02,31
