R_ID,Zone,region,Resource,Hydro_Energy_to_Power_Ratio,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,Num_VRE_Bins,LDS,RETRO,Num_RETRO_Sources,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Ratio_Power_to_Energy,Min_Duration,Max_Duration,Max_DSM_Delay,Max_DSM_Advance,DSM_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,cluster,Cost_sheet_name,index,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr
14,14,14,Solar_z14_01,1,0,1,0,0,0,0,1,0,0,0,16,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,35419,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z14_01,14,None,0,-1,None,0,-1
15,15,15,Solar_z15_01,1,0,1,0,0,0,0,1,0,0,0,22,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36541,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z15_01,15,None,0,-1,None,0,-1
16,16,16,Solar_z16_01,1,0,1,0,0,0,0,1,0,0,0,259,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,35153,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z16_01,16,None,0,-1,None,0,-1
17,17,17,Solar_z17_01,1,0,1,0,0,0,0,1,0,0,0,41,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,39613,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z17_01,17,None,0,-1,None,0,-1
18,18,18,Solar_z18_01,1,0,1,0,0,0,0,1,0,0,0,55,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,36305,0,9795,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Solar_z18_01,18,None,0,-1,None,0,-1
19,1,1,Wind_z01_02,1,0,1,0,0,0,0,1,0,0,0,164,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,37555,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z01_02,19,None,0,-1,None,0,-1
20,1,1,Wind_z01_03,1,0,1,0,0,0,0,1,0,0,0,923,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z01_03,20,None,0,-1,None,0,-1
21,2,2,Wind_z02_01,1,0,1,0,0,0,0,1,0,0,0,73,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z02_01,21,None,0,-1,None,0,-1
22,2,2,Wind_z02_02,1,0,1,0,0,0,0,1,0,0,0,650,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z02_02,22,None,0,-1,None,0,-1
23,3,3,Wind_z03_01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z02_02,23,None,0,-1,None,0,-1
24,4,4,Wind_z04_01,1,0,1,0,0,0,0,1,0,0,0,3674,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,38293,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z04_01,24,None,0,-1,None,0,-1
25,4,4,Wind_z04_02,1,0,1,0,0,0,0,1,0,0,0,2885,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,38293,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z04_02,25,None,0,-1,None,0,-1
26,4,4,Wind_z04_03,1,0,1,0,0,0,0,1,0,0,0,202,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z04_03,26,None,0,-1,None,0,-1
27,4,4,Wind_z04_04,1,0,1,0,0,0,0,1,0,0,0,1110,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z04_04,27,None,0,-1,None,0,-1
28,5,5,Wind_z05_01,1,0,1,0,0,0,0,1,0,0,0,1029,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,29648,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z05_01,28,None,0,-1,None,0,-1
29,5,5,Wind_z05_02,1,0,1,0,0,0,0,1,0,0,0,3935,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z05_02,29,None,0,-1,None,0,-1
30,6,6,Wind_z06_01,1,0,1,0,0,0,0,1,0,0,0,1181,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,69473,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z06_01,30,None,0,-1,None,0,-1
31,6,6,Wind_z06_02,1,0,1,0,0,0,0,1,0,0,0,688,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,69473,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z06_02,31,None,0,-1,None,0,-1
32,7,7,Wind_z07_01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z06_02,32,None,0,-1,None,0,-1
33,8,8,Wind_z08_01,1,0,1,0,0,0,0,1,0,0,0,1339,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,25766,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z08_01,33,None,0,-1,None,0,-1
34,8,8,Wind_z08_02,1,0,1,0,0,0,0,1,0,0,0,1920,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z08_02,34,None,0,-1,None,0,-1
35,9,9,Wind_z09_01,1,0,1,0,0,0,0,1,0,0,0,1461,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z09_01,35,None,0,-1,None,0,-1
36,9,9,Wind_z09_02,1,0,1,0,0,0,0,1,0,0,0,2805,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,32050,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z09_02,36,None,0,-1,None,0,-1
37,10,10,Wind_z10_01,1,0,1,0,0,0,0,1,0,0,0,2712,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z10_01,37,None,0,-1,None,0,-1
38,10,10,Wind_z10_02,1,0,1,0,0,0,0,1,0,0,0,1221,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,23146,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z10_02,38,None,0,-1,None,0,-1
39,11,11,Wind_z11_01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z10_02,39,None,0,-1,None,0,-1
40,12,12,Wind_z12_01,1,0,1,0,0,0,0,1,0,0,0,29,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z10_02,40,None,0,-1,None,0,-1
41,13,13,Wind_z13_01,1,0,1,0,0,0,0,1,0,0,0,344,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,33324,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z13_01,41,None,0,-1,None,0,-1
42,13,13,Wind_z13_02,1,0,1,0,0,0,0,1,0,0,0,1130,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z13_02,42,None,0,-1,None,0,-1
43,14,14,Wind_z14_01,1,0,1,0,0,0,0,1,0,0,0,861,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,44229,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z14_01,43,None,0,-1,None,0,-1
44,14,14,Wind_z14_02,1,0,1,0,0,0,0,1,0,0,0,1499,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z14_02,44,None,0,-1,None,0,-1
45,15,15,Wind_z15_01,1,0,1,0,0,0,0,1,0,0,0,2431,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,36030,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z15_01,45,None,0,-1,None,0,-1
46,15,15,Wind_z15_02,1,0,1,0,0,0,0,1,0,0,0,3380,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z15_02,46,None,0,-1,None,0,-1
47,16,16,Wind_z16_01,1,0,1,0,0,0,0,1,0,0,0,2678,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z16_01,47,None,0,-1,None,0,-1
48,16,16,Wind_z16_02,1,0,1,0,0,0,0,1,0,0,0,4645,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,62448,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z16_02,48,None,0,-1,None,0,-1
49,16,16,Wind_z16_03,1,0,1,0,0,0,0,1,0,0,0,2687,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z16_03,49,None,0,-1,None,0,-1
50,16,16,Wind_z16_04,1,0,1,0,0,0,0,1,0,0,0,326,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,39116,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z16_04,50,None,0,-1,None,0,-1
51,17,17,Wind_z17_01,1,0,1,0,0,0,0,1,0,0,0,1288,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,22210,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z17_01,51,None,0,-1,None,0,-1
52,17,17,Wind_z17_02,1,0,1,0,0,0,0,1,0,0,0,668,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,91536,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z17_02,52,None,0,-1,None,0,-1
53,18,18,Wind_z18_01,1,0,1,0,0,0,0,1,0,0,0,476,0,0,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,27445,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z18_01,53,None,0,-1,None,0,-1
54,18,18,Wind_z18_02,1,0,1,0,0,0,0,1,0,0,0,910,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,59699,0,38950,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Wind_z18_02,54,None,0,-1,None,0,-1
55,2,2,Hyd_z02_01,1,0,0,0,0,0,3,0,0,0,0,188,0,0,-1,188,-1,0,-1,0,-1,0,0,0,0,0,24143,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z02_01,55,None,0,-1,None,0,-1
56,3,3,Hyd_z03_01,1,0,0,0,0,0,3,0,0,0,0,261,0,0,-1,261,-1,0,-1,0,-1,0,0,0,0,0,16022,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z03_01,56,None,0,-1,None,0,-1
57,4,4,Hyd_z04_01,1,0,0,0,0,0,3,0,0,0,0,866,0,0,-1,866,-1,0,-1,0,-1,0,0,0,0,0,18169,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z04_01,57,None,0,-1,None,0,-1
58,6,6,Hyd_z06_01,1,0,0,0,0,0,3,0,0,0,0,85,0,0,-1,85,-1,0,-1,0,-1,0,0,0,0,0,26798,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z06_01,58,None,0,-1,None,0,-1
59,7,7,Hyd_z07_01,1,0,0,0,0,0,3,0,0,0,0,358,0,0,-1,358,-1,0,-1,0,-1,0,0,0,0,0,19127,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z07_01,59,None,0,-1,None,0,-1
60,8,8,Hyd_z08_01,1,0,0,0,0,0,3,0,0,0,0,137,0,0,-1,137,-1,0,-1,0,-1,0,0,0,0,0,16875,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z08_01,60,None,0,-1,None,0,-1
61,11,11,Hyd_z11_01,1,0,0,0,0,0,3,0,0,0,0,501,0,0,-1,501,-1,0,-1,0,-1,0,0,0,0,0,19029,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z11_01,61,None,0,-1,None,0,-1
62,12,12,Hyd_z12_01,1,0,0,0,0,0,3,0,0,0,0,3985,0,0,-1,3985,-1,0,-1,0,-1,0,0,0,0,0,18452,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z12_01,62,None,0,-1,None,0,-1
63,13,13,Hyd_z13_01,1,0,0,0,0,0,3,0,0,0,0,1594,0,0,-1,1594,-1,0,-1,0,-1,0,0,0,0,0,16345,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z13_01,63,None,0,-1,None,0,-1
64,14,14,Hyd_z14_01,1,0,0,0,0,0,3,0,0,0,0,274,0,0,-1,274,-1,0,-1,0,-1,0,0,0,0,0,19137,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z14_01,64,None,0,-1,None,0,-1
65,15,15,Hyd_z15_01,1,0,0,0,0,0,3,0,0,0,0,289,0,0,-1,289,-1,0,-1,0,-1,0,0,0,0,0,16887,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z15_01,65,None,0,-1,None,0,-1
66,16,16,Hyd_z16_01,1,0,0,0,0,0,3,0,0,0,0,1613,0,0,-1,1613,-1,0,-1,0,-1,0,0,0,0,0,18540,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z16_01,66,None,0,-1,None,0,-1
67,18,18,Hyd_z18_01,1,0,0,0,0,0,3,0,0,0,0,746,0,0,-1,746,-1,0,-1,0,-1,0,0,0,0,0,17959,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,trans,1,Hyd_z18_01,67,None,0,-1,None,0,-1
68,11,11,coal-new_1_z11,1,1,0,0,0,0,0,0,0,0,0,1279,0,0,0,142.1111111,-1,-1,-1,-1,-1,-1,0,0,0,0,45712,1.96,0,0,0,0,0,83.91,10.5,9.459,Coal_PRB_z11,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,8,24,1,1,1,1,0,0,trans,1,coal-new_1_z11,68,None,0,-1,None,0,-1
69,11,11,CoalOldUns_1_z11,1,1,0,0,0,0,0,0,0,0,0,1657,0,0,0,110.4666667,-1,-1,-1,-1,-1,-1,0,0,0,0,23771,1.2,0,0,0,0,0,83.91,10.5,10.351,Coal_PRB_z11,0.5,0,0,0,0,0,0,0,0,0,0.66,0.66,8,24,1,1,1,1,0,0,trans,1,CoalOldUns_1_z11,69,None,0,-1,None,0,-1
70,11,11,gas-CC_1_z11,1,1,0,0,0,0,0,0,0,0,0,4404,0,0,0,137.625,-1,-1,-1,-1,-1,-1,0,0,0,0,8377,5.63,0,0,0,0,0,57.11,0.21,8.03,Gas_HH_z11,0.4,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,1,1,0,0,trans,1,gas-CC_1_z11,70,None,0,-1,None,0,-1
71,11,11,gas-CT_1_z11,1,1,0,0,0,0,0,0,0,0,0,348,0,0,0,38.66666667,-1,-1,-1,-1,-1,-1,0,0,0,0,9605,4.51,0,0,0,0,0,87.95,0.2,11.202,Gas_HH_z11,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,trans,1,gas-CT_1_z11,71,None,0,-1,None,0,-1
72,11,11,nuclear_1_z11,1,0,0,1,0,0,0,0,0,0,0,1818,0,0,0,1818,-1,-1,-1,-1,-1,-1,0,0,0,0,146548,0.09,0,0,0,0,0,0,0,10.456,nuc,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,trans,1,nuclear_1_z11,72,None,0,-1,None,0,-1
73,11,11,o-g-s_1_z11,1,1,0,0,0,0,0,0,0,0,0,789,0,0,0,131.5,-1,-1,-1,-1,-1,-1,0,0,0,0,9948,0.41,0,0,0,0,0,87.95,0.2,12.122,Gas_HH_z11,0.2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,trans,1,o-g-s_1_z11,73,None,0,-1,None,0,-1
74,10,10,coal-new_1_z10,1,1,0,0,0,0,0,0,0,0,0,767,0,0,0,76.7,-1,-1,-1,-1,-1,-1,0,0,0,0,23084,1.11,0,0,0,0,0,139.22,7,10.567,Coal_PRB_z10,0.4,0,0,0,0,0,0,0,0,0,0.66,0.66,5,20,1,1,1,1,0,0,trans,1,coal-new_1_z10,74,None,0,-1,None,0,-1
