Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t22,50.44767046617702,53.87719712140104,50.47482153239295,50.474901100179,50.474878461768185,9.15746900199943e-6,62.2276749410206,257.2550069890693,50.47479256173604,50.47489153966663,62.22760085210832,257.2587402396957,50.474877499990264,50.474609910678986,50.447645448379504,50.447614461438754,50.47602197592466,257.25499314136385
t23,0.0001396269086308396,53.876218040898785,0.00024318434616552452,8.87408023665128e-5,0.00020959417207135867,7.672680166008473e-6,59.58686620299401,62.52057968203997,0.00020705376115011493,0.00018470484420908038,59.58689129225634,62.8707693155295,0.00011188433789645747,0.00016393477234021695,0.00013119020937363466,0.000127248700623534,50.47207840855413,62.52057643236558
t24,8.377751892635548e-5,0.0019526184725393162,0.00014469820724145164,2.8271375086604958e-5,0.00012711918192660784,2.7312202808835935e-6,0.0010985243091030023,62.52972052203061,0.00010135246254065538,8.929668112697215e-5,0.0012475797722832532,62.87222114234402,7.0908835352544e-5,0.0001236494822574492,0.00010093853856549801,0.00010963766793306501,0.0009087746905532585,62.529715403858916
t25,0.00015942621312890084,0.0013592424355823004,0.0002022315741809292,3.07321359916453e-5,0.0001447148281049312,3.865471753821933e-6,12.618645404029616,62.52949675467545,0.0001604977351034221,9.979008238424685e-5,12.618738861054425,257.18320867452553,6.770263595315197e-5,0.000143511409232418,0.00015583531082464836,0.00022981765930443277,0.0005378981976509081,62.52949657974359
t26,0.0001203999280312716,94.08333045822287,0.00013624965492641498,2.7808895118676797e-5,0.0001358029434717913,4.534858284113209e-6,0.0030181653109713704,62.529555227741284,0.00010872171112235107,9.329278107590042e-5,0.0030227420821510548,257.2632917057239,6.125259230894887e-5,0.00013357402222222828,0.00011905820987599856,0.0003615464960705939,0.00042401320257536175,62.52955334597923
t27,0.00013758208511566308,0.0014951444792027152,0.00017207456855979043,4.3033934048019085e-5,0.00016755064160642224,5.305445624991018e-6,59.58731262949153,257.25510819860835,0.00014588547145966425,0.00012209742554814386,59.58707258176187,257.26597822241746,7.329938492463666e-5,0.00015585324105464086,6.218315811997071e-5,0.0018251089095665633,0.00038294331728740453,257.25510255403515
t28,0.00036061014265634185,0.001342493236807933,0.00039313638709931927,8.895509479884197e-5,0.0002997107470114324,7.207412530288707e-6,62.226954426355235,280.0793104640315,0.00038312155461364493,0.00025859051569916854,59.587008298888904,257.27863978037016,0.00013546188678624133,0.00026647437852666715,5.417733299424888e-5,50.44763609244734,0.0005990274719186105,280.07930240577963
t29,0.04225704751418691,0.042718909645593765,0.042240972270092075,0.00013794743401707502,0.00907961197303402,1.145926938062656e-5,62.227607511279984,544.0086010883981,0.04224613142586393,0.008995271012345126,59.586950841077524,544.0084541944375,0.00031045332704500927,0.00899665365836635,0.008320832185999891,50.52635179865872,0.0423287391664878,544.0086168845918
t30,50.47599663905003,53.875856249907265,50.47609226204006,0.00010940763328281576,50.47454296312825,1.54881805893891e-5,62.22766558385131,563.6860835207196,50.47611864825422,50.47444954484421,59.588988235032026,563.6856312296671,0.0003257730181765067,50.474467372760785,50.20289256342567,50.47588775159198,50.47617764723887,563.6860900468199
t31,53.8775366066267,53.8775690385621,53.87759317684842,0.0002742206047860064,53.8770985307116,2.209337604413484e-5,257.22263869074897,628.4932122619341,53.87760083203479,53.87600456285715,257.22252287226047,257.2677754016174,0.0007911385855320633,53.87707221905011,50.17816827057485,50.447906369769605,53.877596615566404,628.4932121384743
