Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141.119865598696,4939.71743264489,1862.8554943319969
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8596.30184129273,5590.2188794540425,3725.7109886639937
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6877.0414730341845,6068.321779946944,1524.7947619012377
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6129.2801362982755,4044.5309763821415,2200.916226762756
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5325.97575874333,2656.0360121483573,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4623.019207275341,1848.4207857931244,1862.8554943319969
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903.7588390167953,1642.928492301085,3725.7109886639937
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.4984707582496,1915.15405584761,1524.7947619012377
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.5314845076527,2090.7356340383417,2200.916226762756
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.27111624910714,2215.4228528361973,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.4530919431404,3357.088964183512,1862.8554943319969
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.6350676371735,4830.125600497559,3725.7109886639937
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.3746993786274,6438.368949721829,1524.7947619012377
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136.5566750726607,8859.858517462259,2200.916226762756
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1417.2963068141146,9461.539116206894,0.0
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2872.478282508148,7792.416449222919,1862.8554943319969
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4327.6602582021815,6582.559583838923,3725.7109886639937
