Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,87,10382.33176864031,2964.7447957213253,1416.3082228285878
,,,,,,,,,,,,,,,,,,,88,10365.946159220477,2960.6484298550436,1413.2359707183302
,,,,,,,,,,,,,,,,,,,89,10832.936027685657,3093.7803205091964,1476.72918099698
,,,,,,,,,,,,,,,,,,,90,11851.916113481388,3385.646388481762,1616.0046099953083
,,,,,,,,,,,,,,,,,,,91,11920.530852926928,3405.1041263466,1625.22136632608
,,,,,,,,,,,,,,,,,,,92,11649.14419691098,3327.273174887249,1588.354341002993
,,,,,,,,,,,,,,,,,,,93,11222.094251406637,3205.4062903653703,1529.9815509081056
,,,,,,,,,,,,,,,,,,,94,10457.091111618287,2986.2507165193033,1425.5249791593592
,,,,,,,,,,,,,,,,,,,95,9465.761741718521,2702.577380279301,1290.345886308041
,,,,,,,,,,,,,,,,,,,96,8587.083436580093,2451.674970969552,1170.5280540080084
,,,,,,,,,,,,,,,,,,,97,8013.587106886014,2288.844427784857,1092.697667214825
,,,,,,,,,,,,,,,,,,,98,7720.694338506538,2204.868927526084,1052.758389781481
,,,,,,,,,,,,,,,,,,,99,7582.440759026716,2164.929360329838,1034.3248771199374
,,,,,,,,,,,,,,,,,,,100,7576.2961554942785,2163.905268863268,1033.300793083185
,,,,,,,,,,,,,,,,,,,101,7815.935693259305,2232.5193971234853,1065.0473982225099
,,,,,,,,,,,,,,,,,,,102,8544.071211853037,2440.4099648372776,1164.3835497874938
,,,,,,,,,,,,,,,,,,,103,9971.6674325558,2846.9742770657285,1359.983600807205
,,,,,,,,,,,,,,,,,,,104,10734.62237116667,3066.129850911796,1463.4160885191986
,,,,,,,,,,,,,,,,,,,105,10785.827400603643,3080.4671314437815,1470.5846767764654
,,,,,,,,,,,,,,,,,,,106,10753.056181763981,3071.250308244648,1466.4883406294557
,,,,,,,,,,,,,,,,,,,107,10726.429566456756,3063.0575765120843,1462.392004482446
,,,,,,,,,,,,,,,,,,,108,10655.766625833734,3043.599838647246,1452.151164114922
,,,,,,,,,,,,,,,,,,,109,10570.766276968361,3019.021643449557,1440.8862397106457
,,,,,,,,,,,,,,,,,,,110,10562.573472258448,3015.9493690498452,1439.862155673893
,,,,,,,,,,,,,,,,,,,111,10532.874555185004,3007.756637317282,1435.7658195268834
,,,,,,,,,,,,,,,,,,,112,10613.778501695419,3031.3107410484017,1447.03074393116
,,,,,,,,,,,,,,,,,,,113,11129.925198420091,3178.7799122345405,1517.6925424670767
,,,,,,,,,,,,,,,,,,,114,11941.012864701717,3410.224583679452,1628.2936184363373
,,,,,,,,,,,,,,,,,,,115,11910.289847039534,3401.007760480318,1623.173198252575
,,,,,,,,,,,,,,,,,,,116,11634.806788668628,3323.176809020967,1586.3061729294882
,,,,,,,,,,,,,,,,,,,117,11173.961523735885,3191.069009833385,1523.837046687591
,,,,,,,,,,,,,,,,,,,118,10436.6090998435,2980.106167719882,1422.4527270491021
