,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t27,8081.688753758957,0.0,-0.0,0,-0.0,0.0,0.0,-351.2371729302157,-3.4515808287415,-7727.0,2207.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2207.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,351.2371729302157,-3.4515808287415,-1054.0
t28,8088.708602659585,0.0,-0.0,0,-0.0,0.0,0.0,-352.24709738052974,-3.461505279055516,-7733.0,2209.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2209.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,352.24709738052974,-3.461505279055516,-1055.0
t29,8361.343767479682,0.0,-0.0,0,-0.0,0.0,0.0,-384.5646797905782,-3.779087689104008,-7973.0,2277.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2277.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,384.5646797905782,-3.779087689104008,-1087.0
t30,9193.308808641857,0.0,-0.0,0,-0.0,0.0,0.0,-484.5472003716658,-4.761608270191531,-8704.0,2485.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2485.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,484.5472003716658,-4.761608270191531,-1186.0
t31,10708.92130855616,0.0,-0.0,0,-0.0,0.0,0.0,-668.3534503288165,-6.567858227342329,-10034.0,2865.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-2865.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,668.3534503288165,-6.567858227342329,-1368.0
t32,11558.926047519592,0.0,-0.0,0,-0.0,0.0,0.0,-770.3558198105321,-7.570227709057884,-10781.0,3079.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3079.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,770.3558198105321,-7.570227709057884,-1469.0
t33,11743.382572234033,0.0,-0.0,0,-0.0,0.0,0.0,-793.5840821677544,-7.7984900662802366,-10942.0,3126.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3126.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,793.5840821677544,-7.7984900662802366,-1492.0
t34,11846.620759041572,0.0,-0.0,0,-0.0,0.0,0.0,-805.7031755715227,-7.917583470048422,-11033.0,3151.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3151.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,805.7031755715227,-7.917583470048422,-1504.0
t35,11944.858945849108,0.0,-0.0,0,-0.0,0.0,0.0,-817.8222689752909,-8.036676873816607,-11119.0,3176.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3176.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,817.8222689752909,-8.036676873816607,-1516.0
t36,11926.81924804785,0.0,-0.0,0,-0.0,0.0,0.0,-815.8024200746628,-8.016827973188574,-11103.0,3170.0,0.0,-0.0,0,-0.0,0.0,0.0,0.0,-0.0,-3170.0,706.2144078985258,0.0,-0.0,0,-0.0,0.0,0.0,815.8024200746628,-8.016827973188574,-1514.0
