Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4055.8221327213646,32159.00689759836,1979.314393748949
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4938.393053416387,23816.720399868012,1350.790266772518
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3895.658033691644,27153.51711742026,1882.7730878453697
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.923013966901,23521.095201185944,1254.2489608689382
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.1879942421551,17557.070421245142,1786.23178194179
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.4529745174117,8917.328947494752,1157.7076549653584
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0238952124346,4312.396070526364,529.1835279889269
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.594815907458,6629.439256430094,84.08188298302389
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.16573660248,13344.851223915612,616.0647040558755
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.736657297503,23624.302514439223,1148.047525128727
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.307577992526,33903.753804962835,1680.0303462015788
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.878498687549,44183.205095486446,2212.0131672744305
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6945.449419382571,54462.65638601005,2743.995988347282
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7828.0203400775945,64742.10767653366,3275.978809420135
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8710.591260772617,69394.18116173631,3807.9616304929864
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9593.16218146764,69394.18116173631,4339.944451565838
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.427161742897,64963.30193824848,4339.944451565838
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.692142018154,64802.121379251534,4339.944451565838
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6464.957122293411,58993.25276241548,4339.944451565838
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5670.012212299431,57716.78290088516,4339.944451565838
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4627.277192574688,47473.11635240337,3904.5029363965664
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.542172849945,38509.31006449687,3275.978809420135
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.8071531252017,39497.57061697545,3807.9616304929864
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.0721334004584,32401.3500289027,4339.944451565838
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.33711367571505,31402.871944677343,3859.926140288109
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.908034370738,22991.964169320498,3231.4020133116774
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.17301464599467,16588.875562220892,3763.384834384529
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.7439353410166,16856.919994516553,3134.8607074080974
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.00891561627304,15556.002266797312,2506.3365804316654
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.4529745174094,6559.311472896274,1877.8124534552342
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0238952124325,4727.650059864203,1249.2883264788027
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2532.5948159074555,6277.968279854548,620.7641995023712
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.1657366024797,10957.084758571955,785.7878439712682
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.7366572975025,21236.536049095565,1317.7706650441198
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.307577992526,31515.987339619176,1849.7534861169713
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.878498687549,41388.03190380841,2381.736307189823
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6945.449419382571,51667.483194332024,2913.7191282626745
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7828.0203400775945,61737.158172448064,2285.1950012862435
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8710.591260772617,68598.44629243347,2817.1778223590954
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9593.16218146764,69394.18116173631,3349.1606434319474
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9593.16218146764,63142.870469304835,2720.6365164555154
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8550.427161742897,58049.74573397725,3252.6193375283674
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.692142018154,46523.22744595129,2624.0952105519355
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6464.957122293411,40571.56458146737,3156.0780316247874
