Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
,,,,,,,90,13216.0
,,,,,,,91,13144.0
,,,,,,,92,13511.0
,,,,,,,93,13182.0
,,,,,,,94,12421.0
,,,,,,,95,11458.0
,,,,,,,96,10445.0
,,,,,,,97,9216.0
,,,,,,,98,8778.0
,,,,,,,99,8570.0
,,,,,,,100,8545.0
,,,,,,,101,8807.0
,,,,,,,102,9768.0
,,,,,,,103,11511.0
,,,,,,,104,12580.0
,,,,,,,105,13062.0
,,,,,,,106,13411.0
,,,,,,,107,13705.0
,,,,,,,108,13871.0
,,,,,,,109,13896.0
,,,,,,,110,13948.0
,,,,,,,111,13840.0
,,,,,,,112,13733.0
,,,,,,,113,13743.0
,,,,,,,114,13881.0
,,,,,,,115,14145.0
,,,,,,,116,14632.0
,,,,,,,117,13992.0
,,,,,,,118,12868.0
,,,,,,,119,11487.0
,,,,,,,120,10287.0
,,,,,,,121,11232.0
,,,,,,,122,10825.0
,,,,,,,123,10632.0
,,,,,,,124,10622.0
,,,,,,,125,10948.0
,,,,,,,126,11984.0
,,,,,,,127,13879.0
,,,,,,,128,14890.0
,,,,,,,129,15134.0
,,,,,,,130,15241.0
,,,,,,,131,15360.0
,,,,,,,132,15407.0
,,,,,,,133,15385.0
,,,,,,,134,15372.0
,,,,,,,135,15285.0
,,,,,,,136,15482.0
,,,,,,,137,16544.0
,,,,,,,138,17247.0
,,,,,,,139,17114.0
,,,,,,,140,16657.0
,,,,,,,141,15936.0
,,,,,,,142,14783.0
,,,,,,,143,13342.0
,,,,,,,144,12052.0
,,,,,,,145,11161.0
,,,,,,,146,10630.0
,,,,,,,147,10406.0
,,,,,,,148,10407.0
,,,,,,,149,10756.0
,,,,,,,150,11852.0
,,,,,,,151,13811.0
,,,,,,,152,14821.0
,,,,,,,153,14963.0
,,,,,,,154,14911.0
,,,,,,,155,14823.0
,,,,,,,156,14669.0
,,,,,,,157,14452.0
,,,,,,,158,14423.0
,,,,,,,159,14473.0
,,,,,,,160,14794.0
,,,,,,,161,16028.0
,,,,,,,162,16906.0
,,,,,,,163,16806.0
,,,,,,,164,16485.0
,,,,,,,165,16019.0
,,,,,,,166,15060.0
,,,,,,,167,13617.0
,,,,,,,168,12208.0
,,,,,,,169,11735.0
,,,,,,,170,11122.0
,,,,,,,171,10797.0
,,,,,,,172,10645.0
,,,,,,,173,10672.0
,,,,,,,174,10962.0
,,,,,,,175,11551.0
,,,,,,,176,12188.0
,,,,,,,177,13020.0
,,,,,,,178,13565.0
,,,,,,,179,13748.0
,,,,,,,180,13867.0
,,,,,,,181,13911.0
,,,,,,,182,13818.0
,,,,,,,183,13710.0
,,,,,,,184,13796.0
,,,,,,,185,15038.0
,,,,,,,186,16088.0
,,,,,,,187,16076.0
,,,,,,,188,15782.0
,,,,,,,189,15392.0
,,,,,,,190,14663.0
,,,,,,,191,13620.0
,,,,,,,192,12388.0
