Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
21,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1315,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1484,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3144,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.382502913,0.0,0.229102075,1.0,1.0,1.0,1.0,1.0,0.231769681,0.0,0.195113361,1.0,1.0,1.0,1.0,1.0,0.532498121,0.0,0.652307878,0.652422255,0.65248227
22,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1463,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1426,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.386,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.389041603,0.0,0.192775786,1.0,1.0,1.0,1.0,1.0,0.207796887,0.0,0.23948063,1.0,1.0,1.0,1.0,1.0,0.677794218,0.0,0.611466892,0.611592977,0.611702128
23,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1285,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1579,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3647,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.3803505,0.0,0.183335111,1.0,1.0,1.0,1.0,1.0,0.258410692,0.0,0.296441138,1.0,1.0,1.0,1.0,1.0,0.691874802,0.0,0.565732238,0.565686482,0.565602837
24,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1069,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1479,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3353,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.289933115,0.0,0.137859643,1.0,1.0,1.0,1.0,1.0,0.243095577,0.0,0.177257091,1.0,1.0,1.0,1.0,1.0,0.699401915,0.0,0.519393427,0.519356886,0.519503546
25,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.136,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1693,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3501,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.315427333,0.0,0.084138379,1.0,1.0,1.0,1.0,1.0,0.274803817,0.0,0.148058385,1.0,1.0,1.0,1.0,1.0,0.718370974,0.0,0.486104398,0.486143431,0.486258865
26,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1734,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.3006,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3708,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.413454682,0.0,0.213552058,1.0,1.0,1.0,1.0,1.0,0.433208376,0.0,0.109275922,1.0,1.0,1.0,1.0,1.0,0.700574815,0.0,0.469127598,0.469007827,0.468971631
27,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1678,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.225,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.4118,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.379670739,0.0,0.323283702,1.0,1.0,1.0,1.0,1.0,0.332038134,0.0,0.164830625,1.0,1.0,1.0,1.0,1.0,0.762360513,0.0,0.462240213,0.462238206,0.462322695
28,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1565,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.2714,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.4473,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.372016937,0.0,0.204186901,1.0,1.0,1.0,1.0,1.0,0.389134824,0.0,0.16150026,1.0,1.0,1.0,1.0,1.0,0.870534658,0.0,0.462602707,0.462661307,0.462765957
29,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2762,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.3333,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3735,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.533230722,0.0,0.269460559,1.0,1.0,1.0,1.0,1.0,0.501860023,0.0,0.388051033,1.0,1.0,1.0,1.0,1.0,0.829701543,0.0,0.476921218,0.476835202,0.476950355
30,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2992,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.2885,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2641,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.559709728,0.0,0.451925099,1.0,1.0,1.0,1.0,1.0,0.384678572,0.0,0.629839301,1.0,1.0,1.0,1.0,1.0,0.694203913,0.0,0.52060174,0.52062619,0.520833333
