Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,,,,,,,,,,,,41,11484.512990647241,3279.3786992619525,1564.9783576208422
,,,,,,,,,,,,,,,,,,,42,12214.172341791806,3487.7061344490307,1665.584109182182
,,,,,,,,,,,,,,,,,,,43,12112.548476729888,3459.2516554966496,1651.3570332038107
,,,,,,,,,,,,,,,,,,,44,11728.410266795843,3349.4986652517496,1599.5298278540295
,,,,,,,,,,,,,,,,,,,45,11175.576440859013,3190.96656823134,1523.3133493984692
,,,,,,,,,,,,,,,,,,,46,10362.585520363677,2959.2658110476627,1412.5454007097212
,,,,,,,,,,,,,,,,,,,47,9343.29815379265,2667.6074017857536,1273.3233000642306
,,,,,,,,,,,,,,,,,,,48,8419.537220379825,2404.403471476226,1148.3282753971114
,,,,,,,,,,,,,,,,,,,49,7832.151280321944,2236.7252919354073,1067.030698377847
,,,,,,,,,,,,,,,,,,,50,7460.207934195328,2131.0372272551335,1016.2197127408066
,,,,,,,,,,,,,,,,,,,51,7278.301215734496,2078.193194914996,991.8304396350271
,,,,,,,,,,,,,,,,,,,52,7231.554237806014,2064.9821868299623,985.7331213585824
,,,,,,,,,,,,,,,,,,,53,7437.850683881706,2123.923607517038,1014.187273315325
,,,,,,,,,,,,,,,,,,,54,8123.811773049645,2320.056266010238,1107.6794868874792
,,,,,,,,,,,,,,,,,,,55,9488.62028083119,2709.272888823169,1293.6476943190466
,,,,,,,,,,,,,,,,,,,56,10241.653120939995,2924.7139437483424,1396.2858853058683
,,,,,,,,,,,,,,,,,,,57,10317.871019736434,2947.071034353785,1406.448082433276
,,,,,,,,,,,,,,,,,,,58,10275.18899641043,2934.8762576599074,1400.3507641568312
,,,,,,,,,,,,,,,,,,,59,10287.383860217858,2937.924951833377,1402.383203582313
,,,,,,,,,,,,,,,,,,,60,10244.701836891853,2925.7301751394984,1396.2858853058683
,,,,,,,,,,,,,,,,,,,61,10126.818153420028,2892.194539231335,1380.0263699020154
