Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
12,Hyd_z12_01,12,1,62,0.0
13,Hyd_z13_01,13,1,63,0.0
14,Hyd_z14_01,14,1,64,0.0
15,Hyd_z15_01,15,1,65,0.0
16,Hyd_z16_01,16,1,66,0.0
18,Hyd_z18_01,18,1,67,0.0
11,coal-new_1_z11,11,1,68,0.0
11,CoalOldUns_1_z11,11,1,69,0.0
11,gas-CC_1_z11,11,1,70,0.0
11,gas-CT_1_z11,11,1,71,0.0
11,nuclear_1_z11,11,1,72,0.0
11,o-g-s_1_z11,11,1,73,0.0
10,coal-new_1_z10,10,1,74,0.0
10,CoalOldScr_1_z10,10,1,75,0.0
10,CoalOldScr_2_z10,10,1,76,0.0
10,gas-CC_1_z10,10,1,77,0.0
10,gas-CT_1_z10,10,1,78,0.0
10,o-g-s_1_z10,10,1,79,0.0
9,coal-new_1_z09,9,1,80,0.0
9,CoalOldScr_1_z09,9,1,81,0.0
9,gas-CC_1_z09,9,1,82,0.0
9,gas-CC_2_z09,9,1,83,0.0
9,gas-CT_1_z09,9,1,84,0.0
9,nuclear_1_z09,9,1,85,0.0
9,o-g-s_1_z09,9,1,86,0.0
8,coal-IGCC_1_z08,8,1,87,0.0
8,coal-new_1_z08,8,1,88,0.0
8,CoalOldScr_1_z08,8,1,89,0.0
8,gas-CC_1_z08,8,1,90,0.0
8,gas-CC_2_z08,8,1,91,0.0
8,gas-CC_3_z08,8,1,92,0.0
8,gas-CT_1_z08,8,1,93,0.0
8,o-g-s_1_z08,8,1,94,0.0
7,coal-new_1_z07,7,1,95,0.0
7,CoalOldScr_1_z07,7,1,96,0.0
7,gas-CC_1_z07,7,1,97,0.0
7,gas-CC_2_z07,7,1,98,0.0
7,gas-CC_4_z07,7,1,99,0.0
7,gas-CT_1_z07,7,1,100,0.0
7,nuclear_1_z07,7,1,101,0.0
7,o-g-s_1_z07,7,1,102,0.0
7,o-g-s_2_z07,7,1,103,0.0
6,biopower_1_z06,6,1,104,0.0
6,coal-new_1_z06,6,1,105,0.0
6,CoalOldScr_1_z06,6,1,106,0.0
6,gas-CC_1_z06,6,1,107,0.0
18,gas-CC_2_z18,18,1,108,0.0
6,gas-CT_1_z06,6,1,109,0.0
6,nuclear_1_z06,6,1,110,0.0
6,o-g-s_1_z06,6,1,111,0.0
5,coal-new_1_z05,5,1,112,0.0
5,CoalOldScr_1_z05,5,1,113,0.0
5,gas-CC_1_z05,5,1,114,0.0
5,gas-CT_1_z05,5,1,115,0.0
5,o-g-s_1_z05,5,1,116,0.0
4,biopower_1_z04,4,1,117,0.0
4,coal-new_1_z04,4,1,118,0.0
4,CoalOldScr_1_z04,4,1,119,0.0
4,CoalOldScr_2_z04,4,1,120,0.0
4,gas-CC_1_z04,4,1,121,0.0
4,gas-CT_1_z04,4,1,122,0.0
4,gas-CT_2_z04,4,1,123,0.0
4,nuclear_1_z04,4,1,124,0.0
4,o-g-s_1_z04,4,1,125,0.0
3,coal-new_1_z03,3,1,126,0.0
3,CoalOldUns_1_z03,3,1,127,0.0
3,CoalOldUns_2_z03,3,1,128,0.0
3,gas-CT_1_z03,3,1,129,0.0
3,nuclear_1_z03,3,1,130,0.0
3,o-g-s_1_z03,3,1,131,0.0
2,coal-new_1_z02,2,1,132,0.0
2,CoalOldScr_1_z02,2,1,133,0.0
2,gas-CC_1_z02,2,1,134,0.0
2,gas-CC_2_z02,2,1,135,0.0
2,gas-CC_3_z02,2,1,136,0.0
2,gas-CT_1_z02,2,1,137,0.0
2,nuclear_1_z02,2,1,138,0.0
2,o-g-s_2_z02,2,1,139,0.0
17,CoalOldUns_1_z17,17,1,140,0.0
17,gas-CC_1_z17,17,1,141,0.0
17,gas-CC_2_z17,17,1,142,0.0
17,gas-CT_1_z17,17,1,143,0.0
17,nuclear_1_z17,17,1,144,0.0
17,o-g-s_1_z17,17,1,145,0.0
18,coal-new_1_z18,18,1,146,0.0
18,CoalOldScr_1_z18,18,1,147,0.0
18,CoalOldScr_2_z18,18,1,148,0.0
18,gas-CC_1_z18,18,1,149,0.0
18,gas-CT_1_z18,18,1,150,0.0
18,nuclear_1_z18,18,1,151,0.0
18,o-g-s_1_z18,18,1,152,0.0
12,coal-new_1_z12,12,1,153,0.0
12,CoalOldUns_1_z12,12,1,154,0.0
12,gas-CC_1_z12,12,1,155,0.0
12,gas-CT_1_z12,12,1,156,0.0
12,nuclear_1_z12,12,1,157,0.0
12,o-g-s_1_z12,12,1,158,0.0
12,o-g-s_2_z12,12,1,159,0.0
1,CoalOldUns_1_z01,1,1,160,0.0
1,gas-CC_1_z01,1,1,161,0.0
1,gas-CT_1_z01,1,1,162,0.0
15,coal-new_1_z15,15,1,163,0.0
15,CoalOldScr_1_z15,15,1,164,0.0
15,gas-CC_1_z15,15,1,165,0.0
15,gas-CT_1_z15,15,1,166,0.0
15,nuclear_1_z15,15,1,167,0.0
15,o-g-s_1_z15,15,1,168,0.0
14,coal-new_1_z14,14,1,169,0.0
14,CoalOldUns_1_z14,14,1,170,0.0
14,CoalOldUns_2_z14,14,1,171,0.0
14,gas-CC_1_z14,14,1,172,0.0
14,gas-CT_1_z14,14,1,173,0.0
14,nuclear_1_z14,14,1,174,0.0
14,o-g-s_1_z14,14,1,175,0.0
13,coal-new_1_z13,13,1,176,0.0
13,gas-CC_1_z13,13,1,177,0.0
13,gas-CT_1_z13,13,1,178,0.0
13,o-g-s_1_z13,13,1,179,0.0
16,CoalOldScr_1_z16,16,1,180,0.0
16,gas-CC_1_z16,16,1,181,0.0
16,gas-CC_2_z16,16,1,182,0.0
16,gas-CC_3_z16,16,1,183,0.0
16,gas-CC_4_z16,16,1,184,0.0
16,gas-CT_1_z16,16,1,185,0.0
16,o-g-s_1_z16,16,1,186,0.0
6,pumped-hydro_z06,6,1,187,0.0
3,pumped-hydro_z03,3,1,188,0.0
16,pumped-hydro_z16,16,1,189,0.0
18,pumped-hydro_z18,18,1,190,0.0
15,pumped-hydro_z15,15,1,191,0.0
12,pumped-hydro_z12,12,1,192,0.0
1,battery_z01,1,1,193,0.0
2,battery_z02,2,1,194,0.0
3,battery_z03,3,1,195,0.0
4,battery_z04,4,1,196,0.0
5,battery_z05,5,1,197,0.0
6,battery_z06,6,1,198,0.0
7,battery_z07,7,1,199,0.0
8,battery_z08,8,1,200,0.0
9,battery_z09,9,1,201,0.0
10,battery_z10,10,1,202,0.0
11,battery_z11,11,1,203,0.0
12,battery_z12,12,1,204,0.0
13,battery_z13,13,1,205,0.0
14,battery_z14,14,1,206,0.0
15,battery_z15,15,1,207,0.0
16,battery_z16,16,1,208,0.0
17,battery_z17,17,1,209,0.0
18,battery_z18,18,1,210,0.0
1,gas-CC_0_z01,1,1,211,0.0
2,gas-CC_0_z02,2,1,212,0.0
3,gas-CC_0_z03,3,1,213,0.0
4,gas-CC_0_z04,4,1,214,0.0
5,gas-CC_0_z05,5,1,215,0.0
6,gas-CC_0_z06,6,1,216,0.0
7,gas-CC_0_z07,7,1,217,0.0
8,gas-CC_0_z08,8,1,218,0.0
9,gas-CC_0_z09,9,1,219,0.0
10,gas-CC_0_z10,10,1,220,0.0
11,gas-CC_0_z11,11,1,221,0.0
12,gas-CC_0_z12,12,1,222,0.0
13,gas-CC_0_z13,13,1,223,0.0
14,gas-CC_0_z14,14,1,224,0.0
15,gas-CC_0_z15,15,1,225,0.0
16,gas-CC_0_z16,16,1,226,0.0
17,gas-CC_0_z17,17,1,227,0.0
18,gas-CC_0_z18,18,1,228,0.0
1,gas-CT_0_z01,1,1,229,0.0
2,gas-CT_0_z02,2,1,230,0.0
3,gas-CT_0_z03,3,1,231,0.0
4,gas-CT_0_z04,4,1,232,0.0
5,gas-CT_0_z05,5,1,233,0.0
6,gas-CT_0_z06,6,1,234,0.0
7,gas-CT_0_z07,7,1,235,0.0
8,gas-CT_0_z08,8,1,236,0.0
9,gas-CT_0_z09,9,1,237,0.0
10,gas-CT_0_z10,10,1,238,0.0
11,gas-CT_0_z11,11,1,239,0.0
12,gas-CT_0_z12,12,1,240,0.0
13,gas-CT_0_z13,13,1,241,0.0
14,gas-CT_0_z14,14,1,242,0.0
15,gas-CT_0_z15,15,1,243,0.0
16,gas-CT_0_z16,16,1,244,0.0
17,gas-CT_0_z17,17,1,245,0.0
18,gas-CT_0_z18,18,1,246,0.0
