Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
t15,-370.86124627932503,-171.33091420567126,26.723616001095742,58.25085042184463,371.37141372805684,297.27148665139305,11.484504460470113,1531.339566396365,6.65267002108616,8.387222300077934,-121.87126615484489,-127.47483193406283,56.658253598993454,-151.60361688011002,8.27406164048783,-337.70581137152124,288.4561222997961,-376.76495148153253,-100.30073598454514,-82.41432291789307,142.2023421513612,158.59840884697985,-18.590563532810634,878.5993334116271,19.360805791445834,-296.7255399884765,-810.324840667211,58.11584024200256,126.36938286696575,106.96531606668769,-138.15553383874968,379.8527377064911,248.0367932960319,-117.75973875429968,-57.397836513895626,1503.6889773943112
t16,-1041.7224083411475,-379.0054102576005,-135.30095969884238,-11.10052368259562,237.83603756979744,329.9392444416236,-15.680159506053503,1486.8379240928252,7.014399122703074,17.153267408305805,22.82496940232015,-138.08256289735255,74.98521980992557,-22.414931067189947,-11.806391119237203,-173.649501206798,453.3842419894447,-131.66388539548612,-3.867176428173913,3.4334812042391416,297.14893517133345,182.75039898880775,-16.175001599704476,1085.8525622888076,374.99906069215604,-316.8659147380909,-811.3805569625479,2.832256126995336,227.89588069873145,74.88775253960168,-22.2274655088035,535.3262670032841,1031.6607059331106,-133.54181593727276,-140.60758705235432,2941.6703530847617
t17,-1116.605916683949,-548.7613321840836,248.07995575226815,233.87390455010592,472.38573517070546,453.2526778585491,-41.49317185170287,-26.402881625742225,16.85211159307198,48.04328081535658,451.12087934278856,-24.993234616419002,40.676721201870606,605.9666055704578,-31.2944968913077,-474.84661228398096,153.3810009872143,-1399.9999847116796,168.96160206704926,-43.43412447497563,521.7435006305586,292.70201616301716,-34.30504916215188,1877.460854335702,865.6094684025479,-496.47680707785315,-587.9547406203071,-314.36112720814526,407.2769704296946,20.58803288389166,-60.640357017959225,937.1414783113898,-311.39366685653914,-304.4588823945383,-237.57476203882055,1760.1196483660842
t18,317.7210488714519,-1023.5794952255733,1129.99993977806,1171.9999398090433,1464.9387236710743,1184.0475353751924,-88.33528515541578,-2269.175793149327,50.59888933722653,299.99994024588267,299.7309816197764,-512.9533033799323,-94.84357036708634,1067.5804166767025,154.93243851399697,486.78376633574373,-1069.044513731694,-638.8180081139279,639.7497985332203,-141.3758872665607,904.999941400109,940.117966641734,-20.94014557525381,2925.7605368949094,-1034.3255147448672,-1184.155043955612,-1646.192886168415,-1025.5316399101619,791.9999403662737,348.411708359996,-343.31820662004543,1432.9999402755268,3240.4484341633156,-964.2554341293433,-584.9261025687543,6211.051056807264
t19,228.71108878680468,-1028.1347836749856,1129.9999457094825,1171.9999510793684,1469.2073923160845,1188.9803520120472,-264.4223734702486,-1767.422211953248,9.96120710646789,299.9999460512831,617.7011995176049,94.10687636900805,182.95342123411916,721.5534786217157,-76.44178449207506,900.5731464303906,-490.8171235150336,-935.1768612563316,619.4479726773585,-68.6514560010214,904.9999527005562,944.4678746833033,-130.8484234355354,2930.664450050446,-4342.7495750815715,-1188.9600464754733,-2405.217909944024,-958.335604515356,791.9999516166216,1719.900073860233,481.9590584065057,1432.9999463446154,3371.999459662959,-968.8985578817843,-589.3332894189242,5998.776744121363
t20,-825.2692739676337,-1038.9999550227542,982.3513493329879,1036.5803575329633,1479.999945675519,1199.9999551797914,-490.1392390231556,-2016.3948053455317,-57.353559888497024,180.5278167819333,1194.9952637002766,579.9973017239632,457.2064598687073,521.0977575252156,-599.9950935127986,204.52722212908103,-222.02859081101732,-169.3731329615029,729.8875891215537,-190.2596710699995,904.999959243967,955.9999549836091,-39.688006103379806,2941.9999547919665,-3817.508653339831,-1199.9999547093555,-2902.272655480933,-1151.7131777439245,791.9999582061197,228.65098365963954,1069.9952860942033,1333.217448159112,2604.480217636892,-979.9999547219621,-599.9999553029563,3097.5191023422694
t21,-1845.0218120068507,-1038.9999394545114,877.4061498575567,952.5291936137006,1479.9998973927143,1199.9999356580468,-715.9927347468737,-2449.4366294945085,-222.99273225666585,207.2323754585777,1194.9999254626766,1000.0107544068034,715.9922842301916,1018.6267993750469,-599.999918113264,-1397.6243799622728,-166.66234049686213,-55.670051621084404,990.1827105789815,-419.87598259564464,904.9999422527806,955.999939671848,-40.0529551068296,2941.999935838579,-4007.033945204217,-1199.999939339501,-3199.99201173289,-1473.5994007405377,791.9999412036052,72.92149126737124,1069.9999106928392,1432.9955166180944,1854.6249725404457,-979.9999354204851,-599.999939550043,-750.432971723183
t22,-1583.480733123988,-981.3415322445323,1129.9999410216449,1171.999941004392,1362.5747453589731,1096.0102442412854,-573.9014047464772,-3018.318796289326,-89.64335068230304,299.9999412677454,870.3281496574189,92.2973873726125,501.3784504518817,1047.563785733154,-183.67076687167128,459.4900352162137,-448.2626283724651,-8.591341232040417,1019.3333141430282,-35.58308518612008,904.9999423571895,881.2675615114136,-37.42384209141753,2828.9319555066113,-3972.3971248836456,-1128.3269067367075,-2962.9070526912833,-1400.9673844804477,791.9999413135304,36.07365240580407,570.0216082175293,1432.9999412774393,2741.374498264052,-880.2725590945784,-547.0114487675315,1386.5450788273838
t23,-176.32840475037526,-581.4187825742746,1129.9999339742262,1171.999940607978,691.4228002824667,507.1645114983585,-323.45245782633435,-1962.6168097392697,-7.850572021197405,299.99993436027313,187.67400688758818,-49.21858276414248,243.2312543143208,534.0804341820831,38.566599079804305,884.5785759260148,480.2942760379558,16.768799876990535,938.4355907840807,-5.9956745521037025,904.9999419976463,523.7715146301185,-22.27400695286108,1932.048206780001,-1848.292113318114,-771.5932397530603,-2252.3947172043427,-1299.9767558348415,791.9999409293506,14.396921442200838,215.937465231808,1432.9999342480032,3371.9994170209998,-387.43567643936814,-320.7094457857826,6302.812760576201
t24,281.4211715000288,-85.36671738453849,722.3414282856775,1051.5761186761486,483.9209630850758,156.6679452559867,-118.99234959204253,-1175.0323505651531,17.705031969922153,76.2810664964248,19.593243741691467,239.337157351605,63.35372321196164,485.28774560555377,83.87791071172069,1284.646415510962,236.9392166109181,46.46680468836606,572.8755910459256,-25.612010901070235,794.8397585618801,151.15213153145012,-18.274889542732986,729.8957140988796,-1177.716735371808,-317.47822582904837,-836.6324706396284,-858.5090530056996,677.1738906909166,48.95648265274089,399.10094939574805,768.3468671586907,3209.0286191642977,-141.5096467842858,-109.61392390621855,7736.047573480346
