region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
17,Wind_z17_02,17,1,52,8.706780120576704e7,0.0,6.306731145454856e7,0.0,0.0,0.0,0.0,0.0,0.0,2.1128086e8,0.0,0.0,0.0,0.0,0.0,2.11280864e8,1.501351126603156e8,6.11457513396844e7
18,Wind_z18_01,18,1,53,0.0,0.0,1.3063814229333302e7,0.0,0.0,0.0,0.0,0.0,0.0,4.265284e7,0.0,0.0,0.0,0.0,0.0,4.265284e7,1.3063814229333302e7,2.9589025770666696e7
18,Wind_z18_02,18,1,54,4.979606777633144e9,0.0,3.28433784802173e9,0.0,0.0,0.0,0.0,0.0,0.0,8.3182705e9,0.0,0.0,0.0,0.0,0.0,8.318270464e9,8.263944625654875e9,5.43258383451252e7
2,Hyd_z02_01,2,1,55,0.0,0.0,4.538884e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.538884e6,-4.538884e6
3,Hyd_z03_01,3,1,56,0.0,0.0,4.181741999999999e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.181741999999999e6,-4.181741999999999e6
4,Hyd_z04_01,4,1,57,0.0,0.0,1.5734354000000002e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5734354000000002e7,-1.5734354000000002e7
6,Hyd_z06_01,6,1,58,0.0,0.0,2.27783e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27783e6,-2.27783e6
7,Hyd_z07_01,7,1,59,0.0,0.0,6.847465999999999e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.847465999999999e6,-6.847465999999999e6
8,Hyd_z08_01,8,1,60,0.0,0.0,2.311875e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.311875e6,-2.311875e6
11,Hyd_z11_01,11,1,61,0.0,0.0,9.533529e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.533529e6,-9.533529e6
12,Hyd_z12_01,12,1,62,0.0,0.0,7.353122e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353122e7,-7.353122e7
13,Hyd_z13_01,13,1,63,0.0,0.0,2.6053929999999996e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6053929999999996e7,-2.6053929999999996e7
14,Hyd_z14_01,14,1,64,0.0,0.0,5.243538e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243538e6,-5.243538e6
15,Hyd_z15_01,15,1,65,0.0,0.0,4.880343e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.880343e6,-4.880343e6
16,Hyd_z16_01,16,1,66,0.0,0.0,2.990502e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990502e7,-2.990502e7
18,Hyd_z18_01,18,1,67,0.0,0.0,1.3397413999999998e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3397413999999998e7,-1.3397413999999998e7
11,coal-new_1_z11,11,1,68,0.0,0.0,589.3046714664579,0.0,1.8531436796312466,17.797185342146754,0.0,14.036107150877722,0.0,135.94682,0.0,0.0,0.0,1986.8398375181666,0.0,135.9468231201172,2609.8309451572804,-2473.8841220371633
11,CoalOldUns_1_z11,11,1,69,0.0,0.0,619.5860934976982,0.0,1.0787759297524622,18.51762933437234,0.0,11.72082200108032,0.0,122.88139,0.0,0.0,0.0,2011.8104307338156,0.0,122.88139343261719,2662.713751496719,-2539.8323580641018
11,gas-CC_1_z11,11,1,70,0.0,0.0,7.622631405779269e6,0.0,216289.21703373635,1.1074814674748583e6,0.0,1.261008450920119e6,0.0,4.3019456e7,0.0,0.0,0.0,3.28142473900349e7,0.0,4.3019456e7,4.302165793124288e7,-2201.9312428832054
11,gas-CT_1_z11,11,1,71,0.0,0.0,1098.5079096061486,0.0,13.238570730776988,118.04689686938534,0.0,267.94141051919246,0.0,2306.8586,0.0,0.0,0.0,3509.901518075742,0.0,2306.858642578125,5007.636305801246,-2700.7776632231207
11,nuclear_1_z11,11,1,72,0.0,0.0,2.664242634524631e8,0.0,1.237554045983721e6,9.48923441019094e7,0.0,0.0,0.0,1.1117833e9,0.0,0.0,0.0,0.0,0.0,1.111783296e9,3.625541616003562e8,7.492291343996438e8
11,o-g-s_1_z11,11,1,73,0.0,0.0,928.0931338287069,0.0,0.714525497695823,75.84074711760206,0.0,162.78999693442367,0.0,916.85895,0.0,0.0,0.0,2252.7702557747893,0.0,916.8589477539062,3420.2086591532175,-2503.349711399311
10,coal-new_1_z10,10,1,74,0.0,0.0,611.6972560181599,0.0,2.363558343838764,40.50116922055819,0.0,59.26464336222004,0.0,209.20982,0.0,0.0,0.0,1869.7954324694642,0.0,209.20982360839844,2583.622059414241,-2374.4122358058426
10,CoalOldScr_1_z10,10,1,75,0.0,0.0,561.1311307176356,0.0,2.38401830967249,38.21090523105949,0.0,56.767322124804394,0.0,160.9355,0.0,0.0,0.0,1766.9797549271727,0.0,160.9355010986328,2425.473131310345,-2264.537630211712
10,CoalOldScr_2_z10,10,1,76,0.0,0.0,594.9307740766523,0.0,2.886857313712264,39.31644938571953,0.0,31.8080400537101,0.0,194.33528,0.0,0.0,0.0,1859.2622679175022,0.0,194.3352813720703,2528.2043887472964,-2333.869107375226
10,gas-CC_1_z10,10,1,77,0.0,0.0,1.126152467936178e7,0.0,627736.0486089175,1.0496919509071432e7,0.0,9.855403913807644e6,0.0,1.749017e8,0.0,0.0,0.0,1.1439383722195902e8,0.0,1.74901696e8,1.4663542137280878e8,2.8266274627191216e7
10,gas-CT_1_z10,10,1,78,0.0,0.0,974.0989367478502,0.0,52.244895311342326,242.92418322695696,0.0,235.48812945526987,0.0,1944.8977,0.0,0.0,0.0,2635.3751699868967,0.0,1944.897705078125,4140.131314728316,-2195.2336096501913
10,o-g-s_1_z10,10,1,79,0.0,0.0,695.7421959603624,0.0,21.638167496826664,154.24805885114347,0.0,212.5639899612114,0.0,664.83466,0.0,0.0,0.0,1679.1182306672108,0.0,664.8346557617188,2763.310642936755,-2098.475987175036
9,coal-new_1_z09,9,1,80,0.0,0.0,625.680490991404,0.0,4.078831671368383,35.037496665645605,0.0,25.8663424253896,0.0,221.5724,0.0,0.0,0.0,1964.306414711816,0.0,221.57240295410156,2654.9695764656235,-2433.397173511522
9,CoalOldScr_1_z09,9,1,81,0.0,0.0,577.3492968549352,0.0,2.9838571914666905,32.057815700820264,0.0,23.804592227756803,0.0,207.76561,0.0,0.0,0.0,1798.5629254284045,0.0,207.76560974121094,2434.7584874033837,-2226.9928776621728
9,gas-CC_1_z09,9,1,82,0.0,0.0,3128.024819543455,0.0,52.66251413396211,680.2368839251217,0.0,483.6745120211713,0.0,11515.676,0.0,0.0,0.0,9786.783576935302,0.0,11515.67578125,14131.382306559011,-2615.7065253090113
9,gas-CC_2_z09,9,1,83,0.0,0.0,4.082766441054882e6,0.0,507096.53882670065,3.507002032931862e6,0.0,3.1611675981057556e6,0.0,7.768889e7,0.0,0.0,0.0,5.0580481644196756e7,0.0,7.7688888e7,6.1838514255115956e7,1.5850373744884044e7
9,gas-CT_1_z09,9,1,84,0.0,0.0,1.0358801313692559e7,0.0,349902.44152589096,3.0515303656739034e6,0.0,4.587537422978909e6,0.0,7.602075e7,0.0,0.0,0.0,4.403003134616389e7,0.0,7.6020752e7,6.237780289003515e7,1.3642949109964848e7
9,nuclear_1_z09,9,1,85,0.0,0.0,1.979019997996782e8,0.0,1.0578734669663652e6,6.083618733830202e7,0.0,0.0,0.0,5.3196758e8,0.0,0.0,0.0,0.0,0.0,5.31967584e8,2.5979606060494658e8,2.721715233950534e8
9,o-g-s_1_z09,9,1,86,0.0,0.0,352512.3345507648,0.0,3715.2847185866,55876.56194543772,0.0,29975.159380243433,0.0,822138.75,0.0,0.0,0.0,342736.97550531675,0.0,822138.75,784816.3161003493,37322.4338996507
8,coal-IGCC_1_z08,8,1,87,0.0,0.0,600.134203606062,0.0,11.223006921347459,31.804638072201687,0.0,17.38244796889283,0.0,176.39386,0.0,0.0,0.0,1990.0550735386237,0.0,176.39385986328125,2650.5993701071275,-2474.205510243846
8,coal-new_1_z08,8,1,88,0.0,0.0,561.080976540552,0.0,2.371278463082632,30.01123303978616,0.0,20.766722214210425,0.0,216.25485,0.0,0.0,0.0,1927.1134034951735,0.0,216.25485229492188,2541.3436137528047,-2325.088761457883
8,CoalOldScr_1_z08,8,1,89,0.0,0.0,577.5261278473023,0.0,2.8309248642991878,30.035971968181315,0.0,20.6910242391556,0.0,216.65039,0.0,0.0,0.0,1927.6540818734316,0.0,216.650390625,2558.7381307923697,-2342.0877401673697
8,gas-CC_1_z08,8,1,90,0.0,0.0,5.2987988619465925e7,0.0,2.4929091158864372e6,2.9748490233489815e7,0.0,2.6609281512745664e7,0.0,7.3018394e8,0.0,0.0,0.0,5.134710626225077e8,0.0,7.30183936e8,6.253097321040955e8,1.0487420389590454e8
8,gas-CC_2_z08,8,1,91,0.0,0.0,5292.6869599988495,0.0,57.38106090532471,1036.1153374343226,0.0,755.6835241490776,0.0,22400.072,0.0,0.0,0.0,17845.532877750156,0.0,22400.072265625,24987.399760237728,-2587.3274946127276
8,gas-CC_3_z08,8,1,92,0.0,0.0,2.3007634253368303e6,0.0,49756.68203084713,727971.1816566685,0.0,697228.8407420602,0.0,1.7923628e7,0.0,0.0,0.0,1.257532787392696e7,0.0,1.7923628e7,1.6351048003693366e7,1.5725799963066336e6
8,gas-CT_1_z08,8,1,93,0.0,0.0,4.704848198400838e6,0.0,223652.2724452154,1.3299336882264484e6,0.0,1.8246585904816529e6,0.0,3.1023402e7,0.0,0.0,0.0,2.2942791059336033e7,0.0,3.1023402e7,3.102588380889019e7,-2481.8088901899755
8,o-g-s_1_z08,8,1,94,0.0,0.0,682.6594080473728,0.0,1.574834718581403,281.0380264853258,0.0,126.24005724337309,0.0,716.1207,0.0,0.0,0.0,2116.293776399017,0.0,716.1207275390625,3207.8061028936704,-2491.685375354608
7,coal-new_1_z07,7,1,95,0.0,0.0,566.7219233195606,0.0,1.0069162221402104,14.175925973191063,0.0,9.540471884308156,0.0,141.01903,0.0,0.0,0.0,2093.6141938445726,0.0,141.01902770996094,2685.059431243773,-2544.040403533812
7,CoalOldScr_1_z07,7,1,96,0.0,0.0,625.5217119861012,0.0,1.2324885423873762,14.421550783339859,0.0,9.198613950695732,0.0,136.47868,0.0,0.0,0.0,2116.3541488323012,0.0,136.4786834716797,2766.7285140948256,-2630.249830623146
7,gas-CC_1_z07,7,1,97,0.0,0.0,2169.982871641208,0.0,18.375113144600547,146.95920127098105,0.0,146.75027308640006,0.0,6018.259,0.0,0.0,0.0,6046.6156409529085,0.0,6018.2587890625,8528.683100096097,-2510.4243110335974
7,gas-CC_2_z07,7,1,98,0.0,0.0,1.1053318458516966e8,0.0,1.9720927542790796e6,1.2268411744332759e7,0.0,1.4507525714788243e7,0.0,6.580005e8,0.0,0.0,0.0,5.059823134937797e8,0.0,6.58000512e8,6.452635282923495e8,1.2736983707650542e7
7,gas-CC_4_z07,7,1,99,0.0,0.0,4446.854024553081,0.0,32.134662299163175,233.85659890412813,0.0,262.1479716425075,0.0,12146.142,0.0,0.0,0.0,9637.221571191538,0.0,12146.1416015625,14612.214828590417,-2466.073227027917
