region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,Commit,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag_1,MinCapTag_2,MinCapTag_3
NENGREST,1,NENGREST_onshore_wind_turbine_1,onshore_wind,1,11,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,145.8,0,0,0,9.75,0,0,0,-1,0,-1,0,43205,0,0,0,0,-18,0,0,0,9.12,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,1,0,0
NENGREST,1,NENGREST_small_hydroelectric_1,other_renewables,0,12,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,186.355,0,0,-1,0.79,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.116,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENGREST,1,NENGREST_solar_photovoltaic_1,solar,1,13,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,821.4,0,0,0,2.6,0,0,0,-1,0,-1,0,18760,0,0,0,0,0,0,0,0,9.13,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,1
NENG_CT,1,NENG_CT_biomass_1,other_renewables,0,14,2,1,1,0,0,0,0,0,0,0,0.93,1,1,0,0,27.248,0,0,-1,3.41,0,0,0,-1,0,-1,0,122976,0,0,0,0,5.37,0,0,0,15.33,None,0.348,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_CT,1,NENG_CT_conventional_hydroelectric_1,other_renewables,0,15,2,0,0,0,1,0,0,0,0,0,0.8,0,1,0,0,67.7,0,0,-1,13.54,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.18,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
NENG_CT,1,NENG_CT_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,0,16,2,0,0,1,0,0,0,0,0,0,0.95,0,0,0,0,30.999,0,4920.47619,-1,10.33,0,0,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,0,None,0.871,0,0.866,0.866,158.730159,0,200,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_CT,1,NENG_CT_natural_gas_fired_combined_cycle_1,natural_gas,1,17,2,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,3488.704,0,0,0,436.09,0,0,0,-1,0,-1,0,9698,0,0,0,0,3.57,0,91,2,7.12,NENG_CT_NG,0.338,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENG_CT,2,NENG_CT_natural_gas_fired_combined_cycle_2,natural_gas,1,18,2,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,35.2,0,0,0,17.6,0,0,0,-1,0,-1,0,16291,0,0,0,0,4.5,0,91,2,10.77,NENG_CT_NG,0.466,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENG_CT,1,NENG_CT_natural_gas_fired_combustion_turbine_1,natural_gas,1,19,2,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,434,0,0,0,54.25,0,0,0,-1,0,-1,0,10609,0,0,0,0,4.6,0,118,3.5,11.06,NENG_CT_NG,0.124,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENG_CT,2,NENG_CT_natural_gas_fired_combustion_turbine_2,natural_gas,1,20,2,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,124.9,0,0,0,24.98,0,0,0,-1,0,-1,0,13991,0,0,0,0,4.6,0,118,3.5,8.35,NENG_CT_NG,0.476,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENG_CT,1,NENG_CT_nuclear_1,nuclear,1,21,2,1,1,0,0,0,0,0,0,0,0.93,0,1,0,0,2162.9,0,0,0,1081.45,0,0,0,-1,0,-1,0,190920,0,0,0,0,2.32,0,245,0,10.46,new_england_uranium,0.5,0,1,1,1,0,0,0,0,1,0.25,0.25,24,24,0.020833333,0.041666667,0,0,0,0,0
NENG_CT,1,NENG_CT_onshore_wind_turbine_1,onshore_wind,1,22,2,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,6.5,0,0,0,5,0,0,0,-1,0,-1,0,43205,0,0,0,0,-18,0,0,0,9.12,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_CT,1,NENG_CT_small_hydroelectric_1,other_renewables,0,23,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18.711,0,0,-1,0.57,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.18,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_CT,1,NENG_CT_solar_photovoltaic_1,solar,1,24,2,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,374.6,0,0,0,5.67,0,0,0,-1,0,-1,0,18760,0,0,0,0,0,0,0,0,9.16,None,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENG_ME,1,NENG_ME_biomass_1,other_renewables,0,25,3,1,1,0,0,0,0,0,0,0,0.93,1,1,0,0,24.95,0,0,-1,2.5,0,0,0,-1,0,-1,0,122976,0,0,0,0,4.85,0,0,0,13.84,None,0.404,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
