Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15768.051317493437,7798.728742676576,111.87652823900363
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14165.095243188385,6139.864749333648,14.896181291184945
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10716.666560567766,4117.488330955063,96.98034694781869
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6223.091301051134,1276.5622788264923,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6878.030884068185,1324.0774977228796,82.08416565663374
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4469.831968972005,1760.5571387925975,111.87652823900363
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3192.7476531512802,914.424248247568,193.96069389563738
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2339.077629545793,1630.5911268048808,96.98034694781869
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.5667940073183,2143.4027128477637,96.98034694781869
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4293.061223974316,3129.0425831437165,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8096.423323629194,5533.602393665339,82.08416565663374
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11899.785423284073,7938.162204186961,164.1683313132675
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14824.791327957018,8935.854413492498,193.96069389563738
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14705.991035665917,8935.854413492498,96.98034694781869
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12967.115929316355,8369.846072539172,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13961.707401846104,6712.7541305958075,82.08416565663374
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11219.822108299377,4313.132951955404,164.1683313132675
