Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.00111221464108,-37.439654698176945,1.4596836925542336
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.4838269367947,-58.38154657650381,1.4596836925542336
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.4838269367947,-58.38154657650381,1.4596836925542336
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.4838269367947,-58.38154657650381,1.4596836925542336
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.69687578396215,-37.183197640214715,1.4596836925542336
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.69687578396215,-37.183197640214715,1.4596836925542336
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.69687578396215,-37.183197640214715,1.4596836925542336
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.69687578396215,-37.183197640214715,1.4596836925542336
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5447461712604,-37.183197640214715,1.4596836925542336
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5447461712604,-37.183197640214715,1.4596836925542336
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5447461712604,-37.183197640214715,1.4596836925542336
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5447461712604,-37.183197640214715,1.4596836925542336
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.5447461712604,-37.183197640214715,1.4596836925542336
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922165149795543,4.870259870284891,1.4596836925542336
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-40.85294410373146,-44.205584103823774
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-40.85294410373146,-44.205584103823774
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-40.85294410373146,-44.205584103823774
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-40.85294410373146,-44.205584103823774
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-45.46999987001812
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382377
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.3045354339711,-42.001922721032216,-44.20558410382376
