Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.45504717502627,466.7631722468861,196.749411221565
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093637,196.749411221565
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.749411221565
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.1065943072799,466.41898116093626,196.74941122156505
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2317.4592950633405,-2171.3935231900305,6.160756527444822
