Zone,1,2,3,Total
t29,3000.0248911390054,687.2175692794444,0.0,3687.24246041845
t30,3203.5483125200026,687.2175692794444,0.0,3890.765881799447
t31,3509.2340336833954,687.2175692794444,0.0,4196.451602962839
t32,3759.882571508831,687.2175692794444,0.0,4447.100140788276
t33,4028.845350548362,723.4826199841332,0.0,4752.327970532495
t34,4028.845350548362,1022.1238824431833,0.0,5050.969232991545
t35,4028.845350548362,1244.9787852089285,0.0,5273.824135757291
t36,4028.845350548362,1336.3502539998883,0.0,5365.19560454825
t37,4028.845350548362,1327.9319612188533,0.0,5356.777311767215
t38,4028.845350548362,1294.2938339010589,0.0,5323.139184449421
t39,4028.845350548362,1277.8595740966207,0.0,5306.704924644982
t40,4028.845350548362,1356.6073994706164,0.0,5385.452750018979
t41,4028.845350548362,1850.4696757669676,0.0,5879.315026315329
t42,4028.845350548362,2033.1880747912553,0.0,6062.033425339618
t43,4028.845350548362,2033.1880747912553,0.0,6062.033425339618
t44,4028.845350548362,2033.1880747912553,0.0,6062.033425339618
t45,4028.845350548362,1900.5496543983766,0.0,5929.3950049467385
t46,4028.845350548362,1515.233498079071,0.0,5544.078848627433
t47,4028.845350548362,1037.8054815871585,0.0,5066.65083213552
t48,3949.5549758287184,687.2175692794444,0.0,4636.772545108162
t49,3652.183382506065,687.2175692794444,0.0,4339.400951785509
t50,3503.6922630264507,687.2175692794444,0.0,4190.909832305895
t51,3432.421059807012,687.2175692794444,0.0,4119.638629086457
t52,3441.1343048843273,687.2175692794444,0.0,4128.351874163772
t53,3590.4090145273667,687.2175692794444,0.0,4277.626583806811
t54,4028.845350548362,691.9914100275648,0.0,4720.836760575927
t55,4028.845350548362,1444.143713316471,0.0,5472.989063864833
t56,4028.845350548362,1868.4413869591388,0.0,5897.286737507501
t57,4028.845350548362,1940.3036931701936,0.0,5969.149043718556
t58,4028.845350548362,1980.4401969116511,0.0,6009.285547460013
t59,4028.845350548362,2033.1880747912558,0.0,6062.033425339618
t60,4028.845350548362,2033.1880747912553,0.0,6062.033425339618
t61,4028.845350548362,2019.0468407745502,0.0,6047.892191322912
t62,4028.845350548362,2010.6285479935163,0.0,6039.473898541879
t63,4028.845350548362,1988.0859682442308,0.0,6016.931318792593
t64,4028.845350548362,2033.1880747912553,0.0,6062.033425339618
