Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Subperiods,Hours_per_period,Sub_Weights_1,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18
,,,,,,,,,,40,2918.1604,8039.966008,5318.846414,12998.95647,3832.706463,12834.0677,16666.89456,12463.13138,6229.941089,2797.936605,4694.01562,21514.976,2849.543075,4205.815929,8623.192252,17748.83644,12218.46039,30510.99849
,,,,,,,,,,41,3190.4212,8078.921169,5381.936799,12975.19053,3868.926873,13334.96311,17187.8027,12474.05823,6390.057468,2824.378079,4840.737477,22989.8464,2910.306594,4443.722306,9049.61259,18917.27099,13019.62899,30865.59398
,,,,,,,,,,42,3421.6268,8533.481117,5796.745835,13811.3709,4028.566322,13672.69026,17626.4762,13124.15679,6555.831021,2940.917413,4949.722236,23494.0,2894.045769,4462.813221,9033.422642,19233.01062,13290.9581,30970.36118
,,,,,,,,,,43,3464.8428,8722.81399,5956.854809,14226.82552,4122.157721,13784.22534,17813.65945,13420.33947,6605.062545,3009.240621,4987.116689,23380.1232,2821.469375,4451.559628,8993.657546,19339.54987,13269.98183,30604.72626
,,,,,,,,,,44,3500.496,8730.440585,5926.077198,14170.11083,4102.072086,13584.72701,17593.22291,13405.3892,6509.714692,2994.577788,4915.161268,23111.4624,2741.428288,4346.22778,8786.612064,19119.46728,13108.42735,29676.4483
,,,,,,,,,,45,3411.9032,8704.932777,5833.660801,13970.51952,4102.80614,13309.35577,17043.89629,13326.73119,6385.618748,2995.11366,4757.271194,22344.176,2562.279472,4188.419068,8470.244425,18566.52603,12800.36663,28838.61759
,,,,,,,,,,46,3247.6824,8455.636921,5570.984348,13517.30379,3925.826981,12718.76464,16316.88404,12909.94319,6115.415874,2865.916062,4549.09609,21296.0672,2568.731353,4037.021017,8139.031342,17970.27117,12279.68026,28129.0634
,,,,,,,,,,47,3132.0796,8074.221467,5234.602098,12714.40903,3710.796159,12149.52307,15662.40721,12330.0027,5836.652634,2708.940146,4365.360134,20485.6624,2417.321324,3952.771876,8036.313882,17845.29002,11868.03713,27912.18878
,,,,,,,,,,48,3110.4716,7207.653647,4608.747831,11245.44812,3302.781439,10928.52307,14074.2524,11004.65389,5256.383092,2411.082919,3916.051172,20124.1312,2474.32573,3917.75915,7943.408293,17780.00962,11558.38661,27836.90687
,,,,,,,,,,49,3119.1148,7570.832398,4829.49893,11671.12105,3464.935853,11525.49245,14980.49633,11581.15593,5520.480863,2529.458217,4177.600735,20020.2048,2458.126998,3909.006342,7964.652513,17900.95323,11418.84632,27908.39744
,,,,,,,,,,50,3158.0092,7472.540135,4731.760089,11420.797,3397.786924,11439.42356,14958.8806,11408.98939,5470.427717,2480.438432,4174.608044,20210.368,2439.974352,3852.573847,8052.148187,18162.35758,11363.18919,28369.97248
,,,,,,,,,,51,3203.386,7425.476882,4697.503977,11280.24157,3371.567529,11457.00067,15191.67323,11332.26631,5473.556693,2461.297857,4239.823491,20589.5888,2509.193356,3939.941481,8163.675746,18516.25717,11400.03368,29705.34941
,,,,,,,,,,52,3321.1496,7409.470996,4707.904134,11158.33932,3372.100427,11756.92949,15852.81123,11318.79084,5572.011399,2461.686881,4415.360672,21408.8384,2609.33326,4089.765505,8547.757257,19507.55946,11600.00756,31786.80099
,,,,,,,,,,53,3539.3904,7518.198237,4815.377451,11231.55283,3428.956352,12466.28303,16933.78753,11442.63902,5782.000963,2503.192609,4735.284793,23048.4432,2967.23989,4371.103321,9189.957608,20987.55792,12122.96339,32975.03865
,,,,,,,,,,54,3857.028,8152.054808,5295.683705,12123.04693,3721.649847,13826.12096,17540.95143,12290.46246,6245.577532,2716.86351,4922.105009,24995.4048,3214.592077,4583.675654,9597.612013,21654.88794,13043.31608,32427.95547
