Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
280,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
281,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
282,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
283,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
284,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
285,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
286,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
287,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
288,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
289,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
290,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
291,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
292,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
293,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
294,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
295,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
296,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
297,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
298,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
299,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
300,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
301,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
302,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
303,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
304,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
305,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
306,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
307,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
308,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
309,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
310,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
311,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
312,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
313,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
314,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
315,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
316,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
317,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
318,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
319,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
320,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
321,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
322,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
323,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
324,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
325,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
326,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
327,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
328,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
329,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
330,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
331,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
332,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
333,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
334,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
335,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
336,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
337,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
338,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
339,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
340,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
341,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
342,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
343,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
344,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
345,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
346,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
347,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
348,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
349,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
350,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
351,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
352,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
353,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
354,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
355,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
356,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
357,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
358,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
359,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
360,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
361,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
362,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
363,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
364,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
365,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
366,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
367,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
368,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
369,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
370,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
371,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
372,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
373,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
374,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
375,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
376,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
377,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
378,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
379,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
380,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
381,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
382,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
383,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
384,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
385,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
386,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
387,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
388,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
389,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
390,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
391,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
392,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
393,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
394,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
395,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
396,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
397,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
398,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
399,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
400,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
401,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
402,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
403,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
404,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
405,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
406,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
407,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
408,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
409,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
410,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
411,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
412,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
413,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
414,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
415,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
416,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
417,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
418,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
419,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
420,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
421,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
422,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
423,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
424,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
425,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
426,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
427,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
428,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
429,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
430,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
431,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
432,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
433,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
434,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
435,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
436,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
437,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
438,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
439,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
440,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
441,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
442,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
443,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
444,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
445,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
446,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
447,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
448,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
449,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
450,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
451,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
452,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
453,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
454,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
455,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
456,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
457,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
458,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
459,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
460,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
461,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
462,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
463,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
464,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
465,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
466,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
467,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
468,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
469,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
470,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
471,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
472,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
473,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
474,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
475,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
476,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
477,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
478,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
479,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
480,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
481,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
482,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
483,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
484,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
485,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
486,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
487,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
488,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
489,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
490,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
491,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
492,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
493,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
494,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
495,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
496,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
497,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
498,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
499,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
500,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
501,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
502,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
503,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
504,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
505,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
506,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
507,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
508,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
509,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
510,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
511,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
512,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
513,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
514,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
515,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
516,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
517,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
518,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
519,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
520,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
521,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
522,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
523,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
524,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
525,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
526,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
527,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
528,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
529,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
530,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
531,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
532,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
533,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
534,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
535,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
536,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
537,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
538,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
539,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
540,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
541,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
542,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
543,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
544,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
545,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
546,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
547,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
548,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
549,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
550,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
551,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
552,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
553,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
554,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
555,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
556,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
557,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
558,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
559,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
560,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
561,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
562,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
563,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
