Time_Index,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0.151,0.247,0.193
107,0.44,0.524,0.469
108,0.597,0.692,0.626
109,0.697,0.79,0.721
110,0.734,0.826,0.768
111,0.731,0.831,0.772
112,0.674,0.794,0.732
113,0.543,0.698,0.675
114,0.377,0.556,0.515
115,0.106,0.297,0.254
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0.151,0.247,0.193
131,0.44,0.524,0.469
132,0.597,0.692,0.626
133,0.697,0.79,0.721
134,0.734,0.826,0.768
135,0.731,0.831,0.772
136,0.674,0.794,0.732
137,0.543,0.698,0.675
138,0.377,0.556,0.515
139,0.106,0.297,0.254
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0.151,0.247,0.193
155,0.44,0.524,0.469
156,0.597,0.692,0.626
157,0.697,0.79,0.721
158,0.734,0.826,0.768
159,0.731,0.831,0.772
160,0.674,0.794,0.732
161,0.543,0.698,0.675
162,0.377,0.556,0.515
163,0.106,0.297,0.254
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0.151,0.247,0.193
179,0.44,0.524,0.469
180,0.597,0.692,0.626
181,0.697,0.79,0.721
182,0.734,0.826,0.768
183,0.731,0.831,0.772
184,0.674,0.794,0.732
185,0.543,0.698,0.675
186,0.377,0.556,0.515
187,0.106,0.297,0.254
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0.151,0.247,0.193
203,0.44,0.524,0.469
204,0.597,0.692,0.626
205,0.697,0.79,0.721
206,0.734,0.826,0.768
207,0.731,0.831,0.772
208,0.674,0.794,0.732
209,0.543,0.698,0.675
210,0.377,0.556,0.515
211,0.106,0.297,0.254
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0.151,0.247,0.193
227,0.44,0.524,0.469
228,0.597,0.692,0.626
229,0.697,0.79,0.721
230,0.734,0.826,0.768
231,0.731,0.831,0.772
232,0.674,0.794,0.732
233,0.543,0.698,0.675
234,0.377,0.556,0.515
235,0.106,0.297,0.254
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0.151,0.247,0.193
251,0.44,0.524,0.469
252,0.597,0.692,0.626
253,0.697,0.79,0.721
254,0.734,0.826,0.768
255,0.731,0.831,0.772
256,0.674,0.794,0.732
257,0.543,0.698,0.675
258,0.377,0.556,0.515
259,0.106,0.297,0.254
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0.151,0.247,0.193
275,0.44,0.524,0.469
276,0.597,0.692,0.626
277,0.697,0.79,0.721
278,0.734,0.826,0.768
279,0.731,0.831,0.772
280,0.674,0.794,0.732
281,0.543,0.698,0.675
282,0.377,0.556,0.515
283,0.106,0.297,0.254
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0.151,0.247,0.193
299,0.44,0.524,0.469
300,0.597,0.692,0.626
301,0.697,0.79,0.721
302,0.734,0.826,0.768
303,0.731,0.831,0.772
304,0.674,0.794,0.732
305,0.543,0.698,0.675
306,0.377,0.556,0.515
307,0.106,0.297,0.254
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0.151,0.247,0.193
323,0.44,0.524,0.469
324,0.597,0.692,0.626
325,0.697,0.79,0.721
326,0.734,0.826,0.768
327,0.731,0.831,0.772
328,0.674,0.794,0.732
329,0.543,0.698,0.675
330,0.377,0.556,0.515
331,0.106,0.297,0.254
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0.151,0.247,0.193
347,0.44,0.524,0.469
348,0.597,0.692,0.626
349,0.697,0.79,0.721
350,0.734,0.826,0.768
351,0.731,0.831,0.772
352,0.674,0.794,0.732
353,0.543,0.698,0.675
354,0.377,0.556,0.515
355,0.106,0.297,0.254
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,0
370,0.151,0.247,0.193
371,0.44,0.524,0.469
372,0.597,0.692,0.626
373,0.697,0.79,0.721
374,0.734,0.826,0.768
375,0.731,0.831,0.772
376,0.674,0.794,0.732
377,0.543,0.698,0.675
378,0.377,0.556,0.515
379,0.106,0.297,0.254
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,0,0,0
394,0.151,0.247,0.193
395,0.44,0.524,0.469
396,0.597,0.692,0.626
397,0.697,0.79,0.721
398,0.734,0.826,0.768
399,0.731,0.831,0.772
400,0.674,0.794,0.732
401,0.543,0.698,0.675
402,0.377,0.556,0.515
403,0.106,0.297,0.254
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0,0,0
417,0,0,0
418,0.151,0.247,0.193
419,0.44,0.524,0.469
420,0.597,0.692,0.626
421,0.697,0.79,0.721
422,0.734,0.826,0.768
423,0.731,0.831,0.772
424,0.674,0.794,0.732
425,0.543,0.698,0.675
426,0.377,0.556,0.515
427,0.106,0.297,0.254
428,0,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,0,0,0
442,0.151,0.247,0.193
443,0.44,0.524,0.469
444,0.597,0.692,0.626
445,0.697,0.79,0.721
446,0.734,0.826,0.768
447,0.731,0.831,0.772
448,0.674,0.794,0.732
449,0.543,0.698,0.675
450,0.377,0.556,0.515
451,0.106,0.297,0.254
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0.151,0.247,0.193
467,0.44,0.524,0.469
468,0.597,0.692,0.626
469,0.697,0.79,0.721
470,0.734,0.826,0.768
471,0.731,0.831,0.772
472,0.674,0.794,0.732
473,0.543,0.698,0.675
474,0.377,0.556,0.515
475,0.106,0.297,0.254
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0.151,0.247,0.193
491,0.44,0.524,0.469
492,0.597,0.692,0.626
493,0.697,0.79,0.721
494,0.734,0.826,0.768
495,0.731,0.831,0.772
496,0.674,0.794,0.732
497,0.543,0.698,0.675
498,0.377,0.556,0.515
499,0.106,0.297,0.254
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0,0,0
513,0,0,0
514,0.151,0.247,0.193
515,0.44,0.524,0.469
516,0.597,0.692,0.626
517,0.697,0.79,0.721
518,0.734,0.826,0.768
519,0.731,0.831,0.772
520,0.674,0.794,0.732
521,0.543,0.698,0.675
522,0.377,0.556,0.515
523,0.106,0.297,0.254
524,0,0,0
525,0,0,0
526,0,0,0
527,0,0,0
528,0,0,0
529,0,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,0,0,0
538,0.151,0.247,0.193
539,0.44,0.524,0.469
540,0.597,0.692,0.626
541,0.697,0.79,0.721
542,0.734,0.826,0.768
543,0.731,0.831,0.772
544,0.674,0.794,0.732
545,0.543,0.698,0.675
546,0.377,0.556,0.515
547,0.106,0.297,0.254
548,0,0,0
549,0,0,0
550,0,0,0
551,0,0,0
552,0,0,0
553,0,0,0
554,0,0,0
555,0,0,0
556,0,0,0
557,0,0,0
558,0,0,0
559,0,0,0
560,0,0,0
561,0,0,0
562,0.151,0.247,0.193
563,0.44,0.524,0.469
564,0.597,0.692,0.626
565,0.697,0.79,0.721
566,0.734,0.826,0.768
567,0.731,0.831,0.772
568,0.674,0.794,0.732
569,0.543,0.698,0.675
570,0.377,0.556,0.515
571,0.106,0.297,0.254
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0.151,0.247,0.193
587,0.44,0.524,0.469
588,0.597,0.692,0.626
589,0.697,0.79,0.721
590,0.734,0.826,0.768
591,0.731,0.831,0.772
592,0.674,0.794,0.732
593,0.543,0.698,0.675
594,0.377,0.556,0.515
595,0.106,0.297,0.254
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0
608,0,0,0
609,0,0,0
610,0.151,0.247,0.193
611,0.44,0.524,0.469
612,0.597,0.692,0.626
613,0.697,0.79,0.721
614,0.734,0.826,0.768
615,0.731,0.831,0.772
616,0.674,0.794,0.732
617,0.543,0.698,0.675
618,0.377,0.556,0.515
619,0.106,0.297,0.254
620,0,0,0
621,0,0,0
622,0,0,0
623,0,0,0
624,0,0,0
625,0,0,0
626,0,0,0
627,0,0,0
628,0,0,0
629,0,0,0
630,0,0,0
631,0,0,0
632,0,0,0
633,0,0,0
634,0.151,0.247,0.193
635,0.44,0.524,0.469
636,0.597,0.692,0.626
637,0.697,0.79,0.721
638,0.734,0.826,0.768
639,0.731,0.831,0.772
640,0.674,0.794,0.732
641,0.543,0.698,0.675
642,0.377,0.556,0.515
643,0.106,0.297,0.254
644,0,0,0
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,0,0,0
655,0,0,0
656,0,0,0
657,0,0,0
658,0.151,0.247,0.193
659,0.44,0.524,0.469
660,0.597,0.692,0.626
661,0.697,0.79,0.721
662,0.734,0.826,0.768
663,0.731,0.831,0.772
664,0.674,0.794,0.732
665,0.543,0.698,0.675
666,0.377,0.556,0.515
667,0.106,0.297,0.254
668,0,0,0
669,0,0,0
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,0,0,0
682,0.151,0.247,0.193
683,0.44,0.524,0.469
684,0.597,0.692,0.626
685,0.697,0.79,0.721
686,0.734,0.826,0.768
687,0.731,0.831,0.772
688,0.674,0.794,0.732
689,0.543,0.698,0.675
690,0.377,0.556,0.515
691,0.106,0.297,0.254
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,0,0,0
701,0,0,0
702,0,0,0
703,0,0,0
704,0,0,0
705,0,0,0
706,0.151,0.247,0.193
707,0.44,0.524,0.469
708,0.597,0.692,0.626
709,0.697,0.79,0.721
710,0.734,0.826,0.768
711,0.731,0.831,0.772
712,0.674,0.794,0.732
713,0.543,0.698,0.675
714,0.377,0.556,0.515
715,0.106,0.297,0.254
716,0,0,0
717,0,0,0
718,0,0,0
719,0,0,0
720,0,0,0
721,0,0,0
722,0,0,0
723,0,0,0
724,0,0,0
725,0,0,0
726,0,0,0
727,0,0,0
728,0,0,0
729,0,0,0
730,0.151,0.247,0.193
731,0.44,0.524,0.469
732,0.597,0.692,0.626
733,0.697,0.79,0.721
734,0.734,0.826,0.768
735,0.731,0.831,0.772
736,0.674,0.794,0.732
737,0.543,0.698,0.675
738,0.377,0.556,0.515
739,0.106,0.297,0.254
740,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,0,0,0
745,0,0,0
746,0,0,0
747,0,0,0
748,0,0,0
749,0,0,0
750,0,0,0
751,0,0,0
752,0,0,0
753,0,0,0
754,0.151,0.247,0.193
755,0.44,0.524,0.469
756,0.597,0.692,0.626
757,0.697,0.79,0.721
758,0.734,0.826,0.768
759,0.731,0.831,0.772
760,0.674,0.794,0.732
761,0.543,0.698,0.675
762,0.377,0.556,0.515
763,0.106,0.297,0.254
764,0,0,0
765,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
771,0,0,0
772,0,0,0
773,0,0,0
774,0,0,0
775,0,0,0
776,0,0,0
777,0,0,0
778,0.151,0.247,0.193
779,0.44,0.524,0.469
780,0.597,0.692,0.626
781,0.697,0.79,0.721
782,0.734,0.826,0.768
783,0.731,0.831,0.772
784,0.674,0.794,0.732
785,0.543,0.698,0.675
786,0.377,0.556,0.515
787,0.106,0.297,0.254
788,0,0,0
789,0,0,0
790,0,0,0
791,0,0,0
792,0,0,0
793,0,0,0
794,0,0,0
795,0,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,0,0,0
800,0,0,0
801,0,0,0
802,0.151,0.247,0.193
803,0.44,0.524,0.469
804,0.597,0.692,0.626
805,0.697,0.79,0.721
806,0.734,0.826,0.768
807,0.731,0.831,0.772
808,0.674,0.794,0.732
809,0.543,0.698,0.675
810,0.377,0.556,0.515
811,0.106,0.297,0.254
812,0,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0.151,0.247,0.193
827,0.44,0.524,0.469
828,0.597,0.692,0.626
829,0.697,0.79,0.721
830,0.734,0.826,0.768
831,0.731,0.831,0.772
832,0.674,0.794,0.732
833,0.543,0.698,0.675
834,0.377,0.556,0.515
835,0.106,0.297,0.254
836,0,0,0
837,0,0,0
838,0,0,0
839,0,0,0
840,0,0,0
841,0,0,0
842,0,0,0
843,0,0,0
844,0,0,0
845,0,0,0
846,0,0,0
847,0,0,0
848,0,0,0
849,0,0,0
850,0.151,0.247,0.193
851,0.44,0.524,0.469
852,0.597,0.692,0.626
853,0.697,0.79,0.721
854,0.734,0.826,0.768
855,0.731,0.831,0.772
856,0.674,0.794,0.732
857,0.543,0.698,0.675
858,0.377,0.556,0.515
859,0.106,0.297,0.254
860,0,0,0
861,0,0,0
862,0,0,0
863,0,0,0
864,0,0,0
865,0,0,0
866,0,0,0
867,0,0,0
868,0,0,0
869,0,0,0
870,0,0,0
871,0,0,0
872,0,0,0
873,0,0,0
874,0.151,0.247,0.193
875,0.44,0.524,0.469
876,0.597,0.692,0.626
877,0.697,0.79,0.721
878,0.734,0.826,0.768
879,0.731,0.831,0.772
880,0.674,0.794,0.732
881,0.543,0.698,0.675
882,0.377,0.556,0.515
883,0.106,0.297,0.254
884,0,0,0
885,0,0,0
886,0,0,0
887,0,0,0
888,0,0,0
889,0,0,0
890,0,0,0
891,0,0,0
892,0,0,0
893,0,0,0
894,0,0,0
895,0,0,0
896,0,0,0
897,0,0,0
898,0.151,0.247,0.193
899,0.44,0.524,0.469
900,0.597,0.692,0.626
901,0.697,0.79,0.721
902,0.734,0.826,0.768
903,0.731,0.831,0.772
904,0.674,0.794,0.732
905,0.543,0.698,0.675
906,0.377,0.556,0.515
907,0.106,0.297,0.254
908,0,0,0
909,0,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,0,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0
918,0,0,0
919,0,0,0
920,0,0,0
921,0,0,0
922,0.151,0.247,0.193
923,0.44,0.524,0.469
924,0.597,0.692,0.626
925,0.697,0.79,0.721
926,0.734,0.826,0.768
927,0.731,0.831,0.772
928,0.674,0.794,0.732
929,0.543,0.698,0.675
930,0.377,0.556,0.515
931,0.106,0.297,0.254
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0.151,0.247,0.193
947,0.44,0.524,0.469
948,0.597,0.692,0.626
949,0.697,0.79,0.721
950,0.734,0.826,0.768
951,0.731,0.831,0.772
952,0.674,0.794,0.732
953,0.543,0.698,0.675
954,0.377,0.556,0.515
955,0.106,0.297,0.254
956,0,0,0
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,0,0,0
970,0.151,0.247,0.193
971,0.44,0.524,0.469
972,0.597,0.692,0.626
973,0.697,0.79,0.721
974,0.734,0.826,0.768
975,0.731,0.831,0.772
976,0.674,0.794,0.732
977,0.543,0.698,0.675
978,0.377,0.556,0.515
979,0.106,0.297,0.254
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
985,0,0,0
986,0,0,0
987,0,0,0
988,0,0,0
989,0,0,0
990,0,0,0
991,0,0,0
992,0,0,0
993,0,0,0
994,0.151,0.247,0.193
995,0.44,0.524,0.469
996,0.597,0.692,0.626
997,0.697,0.79,0.721
998,0.734,0.826,0.768
999,0.731,0.831,0.772
1000,0.674,0.794,0.732
1001,0.543,0.698,0.675
1002,0.377,0.556,0.515
1003,0.106,0.297,0.254
1004,0,0,0
1005,0,0,0
1006,0,0,0
1007,0,0,0
1008,0,0,0
1009,0,0,0
1010,0,0,0
1011,0,0,0
1012,0,0,0
1013,0,0,0
1014,0,0,0
1015,0,0,0
1016,0,0,0
1017,0,0,0
1018,0.151,0.247,0.193
1019,0.44,0.524,0.469
1020,0.597,0.692,0.626
1021,0.697,0.79,0.721
1022,0.734,0.826,0.768
1023,0.731,0.831,0.772
1024,0.674,0.794,0.732
1025,0.543,0.698,0.675
1026,0.377,0.556,0.515
1027,0.106,0.297,0.254
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,0,0,0
1032,0,0,0
1033,0,0,0
1034,0,0,0
1035,0,0,0
1036,0,0,0
1037,0,0,0
1038,0,0,0
1039,0,0,0
1040,0,0,0
1041,0,0,0
1042,0.151,0.247,0.193
1043,0.44,0.524,0.469
1044,0.597,0.692,0.626
1045,0.697,0.79,0.721
1046,0.734,0.826,0.768
1047,0.731,0.831,0.772
1048,0.674,0.794,0.732
1049,0.543,0.698,0.675
1050,0.377,0.556,0.515
1051,0.106,0.297,0.254
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,0,0,0
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,0
1060,0,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,0.151,0.247,0.193
1067,0.44,0.524,0.469
1068,0.597,0.692,0.626
1069,0.697,0.79,0.721
1070,0.734,0.826,0.768
1071,0.731,0.831,0.772
1072,0.674,0.794,0.732
1073,0.543,0.698,0.675
1074,0.377,0.556,0.515
1075,0.106,0.297,0.254
1076,0,0,0
1077,0,0,0
1078,0,0,0
1079,0,0,0
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,0
1084,0,0,0
1085,0,0,0
1086,0,0,0
1087,0,0,0
1088,0,0,0
1089,0,0,0
1090,0.151,0.247,0.193
1091,0.44,0.524,0.469
1092,0.597,0.692,0.626
1093,0.697,0.79,0.721
1094,0.734,0.826,0.768
1095,0.731,0.831,0.772
1096,0.674,0.794,0.732
1097,0.543,0.698,0.675
1098,0.377,0.556,0.515
1099,0.106,0.297,0.254
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,0
1104,0,0,0
1105,0,0,0
1106,0,0,0
1107,0,0,0
1108,0,0,0
1109,0,0,0
1110,0,0,0
1111,0,0,0
1112,0,0,0
1113,0,0,0
1114,0.151,0.247,0.193
1115,0.44,0.524,0.469
1116,0.597,0.692,0.626
1117,0.697,0.79,0.721
1118,0.734,0.826,0.768
1119,0.731,0.831,0.772
1120,0.674,0.794,0.732
1121,0.543,0.698,0.675
1122,0.377,0.556,0.515
1123,0.106,0.297,0.254
1124,0,0,0
1125,0,0,0
1126,0,0,0
1127,0,0,0
1128,0,0,0
1129,0,0,0
1130,0,0,0
1131,0,0,0
1132,0,0,0
1133,0,0,0
1134,0,0,0
1135,0,0,0
1136,0,0,0
1137,0,0,0
1138,0.151,0.247,0.193
1139,0.44,0.524,0.469
1140,0.597,0.692,0.626
1141,0.697,0.79,0.721
1142,0.734,0.826,0.768
1143,0.731,0.831,0.772
1144,0.674,0.794,0.732
1145,0.543,0.698,0.675
1146,0.377,0.556,0.515
1147,0.106,0.297,0.254
1148,0,0,0
1149,0,0,0
1150,0,0,0
1151,0,0,0
1152,0,0,0
1153,0,0,0
1154,0,0,0
1155,0,0,0
1156,0,0,0
1157,0,0,0
1158,0,0,0
1159,0,0,0
1160,0,0,0
1161,0,0,0
1162,0.151,0.247,0.193
1163,0.44,0.524,0.469
1164,0.597,0.692,0.626
1165,0.697,0.79,0.721
1166,0.734,0.826,0.768
1167,0.731,0.831,0.772
1168,0.674,0.794,0.732
1169,0.543,0.698,0.675
1170,0.377,0.556,0.515
1171,0.106,0.297,0.254
1172,0,0,0
1173,0,0,0
1174,0,0,0
1175,0,0,0
1176,0,0,0
1177,0,0,0
1178,0,0,0
1179,0,0,0
1180,0,0,0
1181,0,0,0
1182,0,0,0
1183,0,0,0
1184,0,0,0
1185,0,0,0
1186,0.151,0.247,0.193
1187,0.44,0.524,0.469
1188,0.597,0.692,0.626
1189,0.697,0.79,0.721
1190,0.734,0.826,0.768
1191,0.731,0.831,0.772
1192,0.674,0.794,0.732
1193,0.543,0.698,0.675
1194,0.377,0.556,0.515
1195,0.106,0.297,0.254
1196,0,0,0
1197,0,0,0
1198,0,0,0
1199,0,0,0
1200,0,0,0
1201,0,0,0
1202,0,0,0
1203,0,0,0
1204,0,0,0
1205,0,0,0
1206,0,0,0
1207,0,0,0
1208,0,0,0
1209,0,0,0
1210,0.151,0.247,0.193
1211,0.44,0.524,0.469
1212,0.597,0.692,0.626
1213,0.697,0.79,0.721
1214,0.734,0.826,0.768
1215,0.731,0.831,0.772
1216,0.674,0.794,0.732
1217,0.543,0.698,0.675
1218,0.377,0.556,0.515
1219,0.106,0.297,0.254
1220,0,0,0
1221,0,0,0
1222,0,0,0
1223,0,0,0
1224,0,0,0
1225,0,0,0
1226,0,0,0
1227,0,0,0
1228,0,0,0
1229,0,0,0
1230,0,0,0
1231,0,0,0
1232,0,0,0
1233,0,0,0
1234,0.151,0.247,0.193
1235,0.44,0.524,0.469
1236,0.597,0.692,0.626
1237,0.697,0.79,0.721
1238,0.734,0.826,0.768
1239,0.731,0.831,0.772
1240,0.674,0.794,0.732
1241,0.543,0.698,0.675
1242,0.377,0.556,0.515
1243,0.106,0.297,0.254
1244,0,0,0
1245,0,0,0
1246,0,0,0
1247,0,0,0
1248,0,0,0
1249,0,0,0
1250,0,0,0
1251,0,0,0
1252,0,0,0
1253,0,0,0
1254,0,0,0
1255,0,0,0
1256,0,0,0
1257,0,0,0
1258,0.151,0.247,0.193
1259,0.44,0.524,0.469
1260,0.597,0.692,0.626
1261,0.697,0.79,0.721
1262,0.734,0.826,0.768
1263,0.731,0.831,0.772
1264,0.674,0.794,0.732
1265,0.543,0.698,0.675
1266,0.377,0.556,0.515
1267,0.106,0.297,0.254
1268,0,0,0
1269,0,0,0
1270,0,0,0
1271,0,0,0
1272,0,0,0
1273,0,0,0
1274,0,0,0
1275,0,0,0
1276,0,0,0
1277,0,0,0
1278,0,0,0
1279,0,0,0
1280,0,0,0
1281,0,0,0
1282,0.151,0.247,0.193
1283,0.44,0.524,0.469
1284,0.597,0.692,0.626
1285,0.697,0.79,0.721
1286,0.734,0.826,0.768
1287,0.731,0.831,0.772
1288,0.674,0.794,0.732
1289,0.543,0.698,0.675
1290,0.377,0.556,0.515
1291,0.106,0.297,0.254
1292,0,0,0
1293,0,0,0
1294,0,0,0
