Time_Index,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
405,0.768,0.764,0.246
406,0.797,0.816,0.226
407,0.846,0.819,0.172
408,0.842,0.837,0.202
409,0.966,0.84,0.814
410,0.972,0.848,0.749
411,0.967,0.872,0.594
412,0.969,0.856,0.514
413,0.953,0.8,0.436
414,0.953,0.749,0.424
415,0.95,0.758,0.391
416,0.917,0.789,0.338
417,0.876,0.816,0.387
418,0.594,0.414,0.183
419,0.662,0.514,0.179
420,0.78,0.783,0.202
421,0.785,0.771,0.268
422,0.714,0.59,0.303
423,0.728,0.549,0.269
424,0.754,0.549,0.223
425,0.761,0.589,0.202
426,0.703,0.516,0.232
427,0.673,0.633,0.291
428,0.717,0.642,0.241
429,0.768,0.764,0.246
430,0.797,0.816,0.226
431,0.846,0.819,0.172
432,0.842,0.837,0.202
433,0.966,0.84,0.814
434,0.972,0.848,0.749
435,0.967,0.872,0.594
436,0.969,0.856,0.514
437,0.953,0.8,0.436
438,0.953,0.749,0.424
439,0.95,0.758,0.391
440,0.917,0.789,0.338
441,0.876,0.816,0.387
442,0.594,0.414,0.183
443,0.662,0.514,0.179
444,0.78,0.783,0.202
445,0.785,0.771,0.268
446,0.714,0.59,0.303
447,0.728,0.549,0.269
448,0.754,0.549,0.223
449,0.761,0.589,0.202
450,0.703,0.516,0.232
451,0.673,0.633,0.291
452,0.717,0.642,0.241
453,0.768,0.764,0.246
454,0.797,0.816,0.226
455,0.846,0.819,0.172
456,0.842,0.837,0.202
457,0.966,0.84,0.814
458,0.972,0.848,0.749
459,0.967,0.872,0.594
460,0.969,0.856,0.514
461,0.953,0.8,0.436
462,0.953,0.749,0.424
463,0.95,0.758,0.391
464,0.917,0.789,0.338
465,0.876,0.816,0.387
466,0.594,0.414,0.183
467,0.662,0.514,0.179
468,0.78,0.783,0.202
469,0.785,0.771,0.268
470,0.714,0.59,0.303
471,0.728,0.549,0.269
472,0.754,0.549,0.223
473,0.761,0.589,0.202
474,0.703,0.516,0.232
475,0.673,0.633,0.291
476,0.717,0.642,0.241
477,0.768,0.764,0.246
478,0.797,0.816,0.226
479,0.846,0.819,0.172
480,0.842,0.837,0.202
481,0.966,0.84,0.814
482,0.972,0.848,0.749
483,0.967,0.872,0.594
484,0.969,0.856,0.514
485,0.953,0.8,0.436
486,0.953,0.749,0.424
487,0.95,0.758,0.391
488,0.917,0.789,0.338
489,0.876,0.816,0.387
490,0.594,0.414,0.183
491,0.662,0.514,0.179
492,0.78,0.783,0.202
493,0.785,0.771,0.268
494,0.714,0.59,0.303
495,0.728,0.549,0.269
496,0.754,0.549,0.223
497,0.761,0.589,0.202
498,0.703,0.516,0.232
499,0.673,0.633,0.291
500,0.717,0.642,0.241
501,0.768,0.764,0.246
502,0.797,0.816,0.226
503,0.846,0.819,0.172
504,0.842,0.837,0.202
505,0.966,0.84,0.814
506,0.972,0.848,0.749
507,0.967,0.872,0.594
508,0.969,0.856,0.514
509,0.953,0.8,0.436
510,0.953,0.749,0.424
511,0.95,0.758,0.391
512,0.917,0.789,0.338
513,0.876,0.816,0.387
514,0.594,0.414,0.183
515,0.662,0.514,0.179
516,0.78,0.783,0.202
517,0.785,0.771,0.268
518,0.714,0.59,0.303
519,0.728,0.549,0.269
520,0.754,0.549,0.223
521,0.761,0.589,0.202
522,0.703,0.516,0.232
523,0.673,0.633,0.291
524,0.717,0.642,0.241
525,0.768,0.764,0.246
526,0.797,0.816,0.226
527,0.846,0.819,0.172
528,0.842,0.837,0.202
529,0.966,0.84,0.814
530,0.972,0.848,0.749
531,0.967,0.872,0.594
532,0.969,0.856,0.514
533,0.953,0.8,0.436
534,0.953,0.749,0.424
535,0.95,0.758,0.391
536,0.917,0.789,0.338
537,0.876,0.816,0.387
538,0.594,0.414,0.183
539,0.662,0.514,0.179
540,0.78,0.783,0.202
541,0.785,0.771,0.268
542,0.714,0.59,0.303
543,0.728,0.549,0.269
544,0.754,0.549,0.223
545,0.761,0.589,0.202
546,0.703,0.516,0.232
547,0.673,0.633,0.291
548,0.717,0.642,0.241
549,0.768,0.764,0.246
550,0.797,0.816,0.226
551,0.846,0.819,0.172
552,0.842,0.837,0.202
553,0.966,0.84,0.814
554,0.972,0.848,0.749
555,0.967,0.872,0.594
556,0.969,0.856,0.514
557,0.953,0.8,0.436
558,0.953,0.749,0.424
559,0.95,0.758,0.391
560,0.917,0.789,0.338
561,0.876,0.816,0.387
562,0.594,0.414,0.183
563,0.662,0.514,0.179
564,0.78,0.783,0.202
565,0.785,0.771,0.268
566,0.714,0.59,0.303
567,0.728,0.549,0.269
568,0.754,0.549,0.223
569,0.761,0.589,0.202
570,0.703,0.516,0.232
571,0.673,0.633,0.291
572,0.717,0.642,0.241
573,0.768,0.764,0.246
574,0.797,0.816,0.226
575,0.846,0.819,0.172
576,0.842,0.837,0.202
577,0.966,0.84,0.814
578,0.972,0.848,0.749
579,0.967,0.872,0.594
580,0.969,0.856,0.514
581,0.953,0.8,0.436
582,0.953,0.749,0.424
583,0.95,0.758,0.391
584,0.917,0.789,0.338
585,0.876,0.816,0.387
586,0.594,0.414,0.183
587,0.662,0.514,0.179
588,0.78,0.783,0.202
589,0.785,0.771,0.268
590,0.714,0.59,0.303
591,0.728,0.549,0.269
592,0.754,0.549,0.223
593,0.761,0.589,0.202
594,0.703,0.516,0.232
595,0.673,0.633,0.291
596,0.717,0.642,0.241
597,0.768,0.764,0.246
598,0.797,0.816,0.226
599,0.846,0.819,0.172
600,0.842,0.837,0.202
601,0.966,0.84,0.814
602,0.972,0.848,0.749
603,0.967,0.872,0.594
604,0.969,0.856,0.514
605,0.953,0.8,0.436
606,0.953,0.749,0.424
607,0.95,0.758,0.391
608,0.917,0.789,0.338
609,0.876,0.816,0.387
610,0.594,0.414,0.183
611,0.662,0.514,0.179
612,0.78,0.783,0.202
613,0.785,0.771,0.268
614,0.714,0.59,0.303
615,0.728,0.549,0.269
616,0.754,0.549,0.223
617,0.761,0.589,0.202
618,0.703,0.516,0.232
619,0.673,0.633,0.291
620,0.717,0.642,0.241
621,0.768,0.764,0.246
622,0.797,0.816,0.226
623,0.846,0.819,0.172
624,0.842,0.837,0.202
625,0.966,0.84,0.814
626,0.972,0.848,0.749
627,0.967,0.872,0.594
628,0.969,0.856,0.514
629,0.953,0.8,0.436
630,0.953,0.749,0.424
631,0.95,0.758,0.391
632,0.917,0.789,0.338
633,0.876,0.816,0.387
634,0.594,0.414,0.183
635,0.662,0.514,0.179
636,0.78,0.783,0.202
637,0.785,0.771,0.268
638,0.714,0.59,0.303
639,0.728,0.549,0.269
640,0.754,0.549,0.223
641,0.761,0.589,0.202
642,0.703,0.516,0.232
643,0.673,0.633,0.291
644,0.717,0.642,0.241
645,0.768,0.764,0.246
646,0.797,0.816,0.226
647,0.846,0.819,0.172
648,0.842,0.837,0.202
649,0.966,0.84,0.814
650,0.972,0.848,0.749
651,0.967,0.872,0.594
652,0.969,0.856,0.514
653,0.953,0.8,0.436
654,0.953,0.749,0.424
655,0.95,0.758,0.391
656,0.917,0.789,0.338
657,0.876,0.816,0.387
658,0.594,0.414,0.183
659,0.662,0.514,0.179
660,0.78,0.783,0.202
661,0.785,0.771,0.268
662,0.714,0.59,0.303
663,0.728,0.549,0.269
664,0.754,0.549,0.223
665,0.761,0.589,0.202
666,0.703,0.516,0.232
667,0.673,0.633,0.291
668,0.717,0.642,0.241
669,0.768,0.764,0.246
670,0.797,0.816,0.226
671,0.846,0.819,0.172
672,0.842,0.837,0.202
673,0.966,0.84,0.814
674,0.972,0.848,0.749
675,0.967,0.872,0.594
676,0.969,0.856,0.514
677,0.953,0.8,0.436
678,0.953,0.749,0.424
679,0.95,0.758,0.391
680,0.917,0.789,0.338
681,0.876,0.816,0.387
682,0.594,0.414,0.183
683,0.662,0.514,0.179
684,0.78,0.783,0.202
685,0.785,0.771,0.268
686,0.714,0.59,0.303
687,0.728,0.549,0.269
688,0.754,0.549,0.223
689,0.761,0.589,0.202
690,0.703,0.516,0.232
691,0.673,0.633,0.291
692,0.717,0.642,0.241
693,0.768,0.764,0.246
694,0.797,0.816,0.226
695,0.846,0.819,0.172
696,0.842,0.837,0.202
697,0.966,0.84,0.814
698,0.972,0.848,0.749
699,0.967,0.872,0.594
700,0.969,0.856,0.514
701,0.953,0.8,0.436
702,0.953,0.749,0.424
703,0.95,0.758,0.391
704,0.917,0.789,0.338
705,0.876,0.816,0.387
706,0.594,0.414,0.183
707,0.662,0.514,0.179
708,0.78,0.783,0.202
709,0.785,0.771,0.268
710,0.714,0.59,0.303
711,0.728,0.549,0.269
712,0.754,0.549,0.223
713,0.761,0.589,0.202
714,0.703,0.516,0.232
715,0.673,0.633,0.291
716,0.717,0.642,0.241
717,0.768,0.764,0.246
718,0.797,0.816,0.226
719,0.846,0.819,0.172
720,0.842,0.837,0.202
721,0.966,0.84,0.814
722,0.972,0.848,0.749
723,0.967,0.872,0.594
724,0.969,0.856,0.514
725,0.953,0.8,0.436
726,0.953,0.749,0.424
727,0.95,0.758,0.391
728,0.917,0.789,0.338
729,0.876,0.816,0.387
730,0.594,0.414,0.183
731,0.662,0.514,0.179
732,0.78,0.783,0.202
733,0.785,0.771,0.268
734,0.714,0.59,0.303
735,0.728,0.549,0.269
736,0.754,0.549,0.223
737,0.761,0.589,0.202
738,0.703,0.516,0.232
739,0.673,0.633,0.291
740,0.717,0.642,0.241
741,0.768,0.764,0.246
742,0.797,0.816,0.226
743,0.846,0.819,0.172
744,0.842,0.837,0.202
745,0.966,0.84,0.814
746,0.972,0.848,0.749
747,0.967,0.872,0.594
748,0.969,0.856,0.514
749,0.953,0.8,0.436
750,0.953,0.749,0.424
751,0.95,0.758,0.391
752,0.917,0.789,0.338
753,0.876,0.816,0.387
754,0.594,0.414,0.183
755,0.662,0.514,0.179
756,0.78,0.783,0.202
757,0.785,0.771,0.268
758,0.714,0.59,0.303
759,0.728,0.549,0.269
760,0.754,0.549,0.223
761,0.761,0.589,0.202
762,0.703,0.516,0.232
763,0.673,0.633,0.291
764,0.717,0.642,0.241
765,0.768,0.764,0.246
766,0.797,0.816,0.226
767,0.846,0.819,0.172
768,0.842,0.837,0.202
769,0.966,0.84,0.814
770,0.972,0.848,0.749
771,0.967,0.872,0.594
772,0.969,0.856,0.514
773,0.953,0.8,0.436
774,0.953,0.749,0.424
775,0.95,0.758,0.391
776,0.917,0.789,0.338
777,0.876,0.816,0.387
778,0.594,0.414,0.183
779,0.662,0.514,0.179
780,0.78,0.783,0.202
781,0.785,0.771,0.268
782,0.714,0.59,0.303
783,0.728,0.549,0.269
784,0.754,0.549,0.223
785,0.761,0.589,0.202
786,0.703,0.516,0.232
787,0.673,0.633,0.291
788,0.717,0.642,0.241
789,0.768,0.764,0.246
790,0.797,0.816,0.226
791,0.846,0.819,0.172
792,0.842,0.837,0.202
793,0.966,0.84,0.814
794,0.972,0.848,0.749
795,0.967,0.872,0.594
796,0.969,0.856,0.514
797,0.953,0.8,0.436
798,0.953,0.749,0.424
799,0.95,0.758,0.391
800,0.917,0.789,0.338
801,0.876,0.816,0.387
802,0.594,0.414,0.183
803,0.662,0.514,0.179
804,0.78,0.783,0.202
805,0.785,0.771,0.268
806,0.714,0.59,0.303
807,0.728,0.549,0.269
808,0.754,0.549,0.223
809,0.761,0.589,0.202
810,0.703,0.516,0.232
811,0.673,0.633,0.291
812,0.717,0.642,0.241
813,0.768,0.764,0.246
814,0.797,0.816,0.226
815,0.846,0.819,0.172
816,0.842,0.837,0.202
817,0.966,0.84,0.814
818,0.972,0.848,0.749
819,0.967,0.872,0.594
820,0.969,0.856,0.514
821,0.953,0.8,0.436
822,0.953,0.749,0.424
823,0.95,0.758,0.391
824,0.917,0.789,0.338
825,0.876,0.816,0.387
826,0.594,0.414,0.183
827,0.662,0.514,0.179
828,0.78,0.783,0.202
829,0.785,0.771,0.268
830,0.714,0.59,0.303
831,0.728,0.549,0.269
832,0.754,0.549,0.223
833,0.761,0.589,0.202
834,0.703,0.516,0.232
835,0.673,0.633,0.291
836,0.717,0.642,0.241
837,0.768,0.764,0.246
838,0.797,0.816,0.226
839,0.846,0.819,0.172
840,0.842,0.837,0.202
841,0.966,0.84,0.814
842,0.972,0.848,0.749
843,0.967,0.872,0.594
844,0.969,0.856,0.514
845,0.953,0.8,0.436
846,0.953,0.749,0.424
847,0.95,0.758,0.391
848,0.917,0.789,0.338
849,0.876,0.816,0.387
850,0.594,0.414,0.183
851,0.662,0.514,0.179
852,0.78,0.783,0.202
853,0.785,0.771,0.268
854,0.714,0.59,0.303
855,0.728,0.549,0.269
856,0.754,0.549,0.223
857,0.761,0.589,0.202
858,0.703,0.516,0.232
859,0.673,0.633,0.291
860,0.717,0.642,0.241
861,0.768,0.764,0.246
862,0.797,0.816,0.226
863,0.846,0.819,0.172
864,0.842,0.837,0.202
865,0.966,0.84,0.814
866,0.972,0.848,0.749
867,0.967,0.872,0.594
868,0.969,0.856,0.514
869,0.953,0.8,0.436
870,0.953,0.749,0.424
871,0.95,0.758,0.391
872,0.917,0.789,0.338
873,0.876,0.816,0.387
874,0.594,0.414,0.183
875,0.662,0.514,0.179
876,0.78,0.783,0.202
877,0.785,0.771,0.268
878,0.714,0.59,0.303
879,0.728,0.549,0.269
880,0.754,0.549,0.223
881,0.761,0.589,0.202
882,0.703,0.516,0.232
883,0.673,0.633,0.291
884,0.717,0.642,0.241
885,0.768,0.764,0.246
886,0.797,0.816,0.226
887,0.846,0.819,0.172
888,0.842,0.837,0.202
889,0.966,0.84,0.814
890,0.972,0.848,0.749
891,0.967,0.872,0.594
892,0.969,0.856,0.514
893,0.953,0.8,0.436
894,0.953,0.749,0.424
895,0.95,0.758,0.391
896,0.917,0.789,0.338
897,0.876,0.816,0.387
898,0.594,0.414,0.183
899,0.662,0.514,0.179
900,0.78,0.783,0.202
901,0.785,0.771,0.268
902,0.714,0.59,0.303
903,0.728,0.549,0.269
904,0.754,0.549,0.223
905,0.761,0.589,0.202
906,0.703,0.516,0.232
907,0.673,0.633,0.291
908,0.717,0.642,0.241
909,0.768,0.764,0.246
910,0.797,0.816,0.226
911,0.846,0.819,0.172
912,0.842,0.837,0.202
913,0.966,0.84,0.814
914,0.972,0.848,0.749
915,0.967,0.872,0.594
916,0.969,0.856,0.514
917,0.953,0.8,0.436
918,0.953,0.749,0.424
919,0.95,0.758,0.391
920,0.917,0.789,0.338
921,0.876,0.816,0.387
922,0.594,0.414,0.183
923,0.662,0.514,0.179
924,0.78,0.783,0.202
925,0.785,0.771,0.268
926,0.714,0.59,0.303
927,0.728,0.549,0.269
928,0.754,0.549,0.223
929,0.761,0.589,0.202
930,0.703,0.516,0.232
931,0.673,0.633,0.291
932,0.717,0.642,0.241
933,0.768,0.764,0.246
934,0.797,0.816,0.226
935,0.846,0.819,0.172
936,0.842,0.837,0.202
937,0.966,0.84,0.814
938,0.972,0.848,0.749
939,0.967,0.872,0.594
940,0.969,0.856,0.514
941,0.953,0.8,0.436
942,0.953,0.749,0.424
943,0.95,0.758,0.391
944,0.917,0.789,0.338
945,0.876,0.816,0.387
946,0.594,0.414,0.183
947,0.662,0.514,0.179
948,0.78,0.783,0.202
949,0.785,0.771,0.268
950,0.714,0.59,0.303
951,0.728,0.549,0.269
952,0.754,0.549,0.223
953,0.761,0.589,0.202
954,0.703,0.516,0.232
955,0.673,0.633,0.291
956,0.717,0.642,0.241
957,0.768,0.764,0.246
958,0.797,0.816,0.226
959,0.846,0.819,0.172
960,0.842,0.837,0.202
961,0.966,0.84,0.814
962,0.972,0.848,0.749
963,0.967,0.872,0.594
964,0.969,0.856,0.514
965,0.953,0.8,0.436
966,0.953,0.749,0.424
967,0.95,0.758,0.391
968,0.917,0.789,0.338
969,0.876,0.816,0.387
970,0.594,0.414,0.183
971,0.662,0.514,0.179
972,0.78,0.783,0.202
973,0.785,0.771,0.268
974,0.714,0.59,0.303
975,0.728,0.549,0.269
976,0.754,0.549,0.223
977,0.761,0.589,0.202
978,0.703,0.516,0.232
979,0.673,0.633,0.291
980,0.717,0.642,0.241
981,0.768,0.764,0.246
982,0.797,0.816,0.226
983,0.846,0.819,0.172
984,0.842,0.837,0.202
985,0.966,0.84,0.814
986,0.972,0.848,0.749
987,0.967,0.872,0.594
988,0.969,0.856,0.514
989,0.953,0.8,0.436
990,0.953,0.749,0.424
991,0.95,0.758,0.391
