Time_Index,CT_NG,ME_NG,MA_NG,None
269,3.14,3.14,3.69,0
270,3.14,3.14,3.69,0
271,2.13,2.13,3.18,0
272,2.13,2.13,3.18,0
273,2.13,2.13,3.18,0
274,2.13,2.13,3.18,0
275,1.82,1.82,2.23,0
276,1.82,1.82,2.23,0
277,1.82,1.82,2.23,0
278,1.82,1.82,2.23,0
279,1.75,1.75,2.11,0
280,1.75,1.75,2.11,0
281,1.75,1.75,2.11,0
282,1.63,1.63,1.81,0
283,1.63,1.63,1.81,0
284,1.63,1.63,1.81,0
285,2.78,2.78,2.74,0
286,2.78,2.78,2.74,0
287,3.78,3.78,4.28,0
288,3.78,3.78,4.28,0
289,5.45,5.45,5.28,0
290,5.45,5.45,5.28,0
291,4.09,4.09,3.98,0
292,4.09,4.09,3.98,0
293,3.14,3.14,3.69,0
294,3.14,3.14,3.69,0
295,2.13,2.13,3.18,0
296,2.13,2.13,3.18,0
297,2.13,2.13,3.18,0
298,2.13,2.13,3.18,0
299,1.82,1.82,2.23,0
300,1.82,1.82,2.23,0
301,1.82,1.82,2.23,0
302,1.82,1.82,2.23,0
303,1.75,1.75,2.11,0
304,1.75,1.75,2.11,0
305,1.75,1.75,2.11,0
306,1.63,1.63,1.81,0
307,1.63,1.63,1.81,0
308,1.63,1.63,1.81,0
309,2.78,2.78,2.74,0
310,2.78,2.78,2.74,0
311,3.78,3.78,4.28,0
312,3.78,3.78,4.28,0
313,5.45,5.45,5.28,0
314,5.45,5.45,5.28,0
315,4.09,4.09,3.98,0
316,4.09,4.09,3.98,0
317,3.14,3.14,3.69,0
318,3.14,3.14,3.69,0
319,2.13,2.13,3.18,0
320,2.13,2.13,3.18,0
321,2.13,2.13,3.18,0
322,2.13,2.13,3.18,0
323,1.82,1.82,2.23,0
324,1.82,1.82,2.23,0
325,1.82,1.82,2.23,0
326,1.82,1.82,2.23,0
327,1.75,1.75,2.11,0
328,1.75,1.75,2.11,0
329,1.75,1.75,2.11,0
330,1.63,1.63,1.81,0
331,1.63,1.63,1.81,0
332,1.63,1.63,1.81,0
333,2.78,2.78,2.74,0
334,2.78,2.78,2.74,0
335,3.78,3.78,4.28,0
336,3.78,3.78,4.28,0
337,5.45,5.45,5.28,0
338,5.45,5.45,5.28,0
339,4.09,4.09,3.98,0
340,4.09,4.09,3.98,0
341,3.14,3.14,3.69,0
342,3.14,3.14,3.69,0
343,2.13,2.13,3.18,0
344,2.13,2.13,3.18,0
345,2.13,2.13,3.18,0
346,2.13,2.13,3.18,0
347,1.82,1.82,2.23,0
348,1.82,1.82,2.23,0
349,1.82,1.82,2.23,0
350,1.82,1.82,2.23,0
351,1.75,1.75,2.11,0
352,1.75,1.75,2.11,0
353,1.75,1.75,2.11,0
354,1.63,1.63,1.81,0
355,1.63,1.63,1.81,0
356,1.63,1.63,1.81,0
357,2.78,2.78,2.74,0
358,2.78,2.78,2.74,0
359,3.78,3.78,4.28,0
360,3.78,3.78,4.28,0
361,5.45,5.45,5.28,0
362,5.45,5.45,5.28,0
363,4.09,4.09,3.98,0
364,4.09,4.09,3.98,0
365,3.14,3.14,3.69,0
366,3.14,3.14,3.69,0
367,2.13,2.13,3.18,0
368,2.13,2.13,3.18,0
369,2.13,2.13,3.18,0
370,2.13,2.13,3.18,0
371,1.82,1.82,2.23,0
372,1.82,1.82,2.23,0
373,1.82,1.82,2.23,0
374,1.82,1.82,2.23,0
375,1.75,1.75,2.11,0
376,1.75,1.75,2.11,0
377,1.75,1.75,2.11,0
378,1.63,1.63,1.81,0
379,1.63,1.63,1.81,0
380,1.63,1.63,1.81,0
381,2.78,2.78,2.74,0
382,2.78,2.78,2.74,0
383,3.78,3.78,4.28,0
384,3.78,3.78,4.28,0
385,5.45,5.45,5.28,0
386,5.45,5.45,5.28,0
387,4.09,4.09,3.98,0
388,4.09,4.09,3.98,0
389,3.14,3.14,3.69,0
390,3.14,3.14,3.69,0
391,2.13,2.13,3.18,0
392,2.13,2.13,3.18,0
393,2.13,2.13,3.18,0
394,2.13,2.13,3.18,0
395,1.82,1.82,2.23,0
396,1.82,1.82,2.23,0
397,1.82,1.82,2.23,0
398,1.82,1.82,2.23,0
399,1.75,1.75,2.11,0
400,1.75,1.75,2.11,0
401,1.75,1.75,2.11,0
402,1.63,1.63,1.81,0
403,1.63,1.63,1.81,0
404,1.63,1.63,1.81,0
405,2.78,2.78,2.74,0
406,2.78,2.78,2.74,0
407,3.78,3.78,4.28,0
408,3.78,3.78,4.28,0
409,5.45,5.45,5.28,0
410,5.45,5.45,5.28,0
411,4.09,4.09,3.98,0
412,4.09,4.09,3.98,0
413,3.14,3.14,3.69,0
414,3.14,3.14,3.69,0
415,2.13,2.13,3.18,0
416,2.13,2.13,3.18,0
417,2.13,2.13,3.18,0
418,2.13,2.13,3.18,0
419,1.82,1.82,2.23,0
420,1.82,1.82,2.23,0
421,1.82,1.82,2.23,0
422,1.82,1.82,2.23,0
423,1.75,1.75,2.11,0
424,1.75,1.75,2.11,0
425,1.75,1.75,2.11,0
426,1.63,1.63,1.81,0
427,1.63,1.63,1.81,0
428,1.63,1.63,1.81,0
429,2.78,2.78,2.74,0
430,2.78,2.78,2.74,0
431,3.78,3.78,4.28,0
432,3.78,3.78,4.28,0
433,5.45,5.45,5.28,0
434,5.45,5.45,5.28,0
435,4.09,4.09,3.98,0
436,4.09,4.09,3.98,0
437,3.14,3.14,3.69,0
438,3.14,3.14,3.69,0
439,2.13,2.13,3.18,0
440,2.13,2.13,3.18,0
441,2.13,2.13,3.18,0
442,2.13,2.13,3.18,0
443,1.82,1.82,2.23,0
444,1.82,1.82,2.23,0
445,1.82,1.82,2.23,0
446,1.82,1.82,2.23,0
447,1.75,1.75,2.11,0
448,1.75,1.75,2.11,0
449,1.75,1.75,2.11,0
450,1.63,1.63,1.81,0
451,1.63,1.63,1.81,0
452,1.63,1.63,1.81,0
453,2.78,2.78,2.74,0
454,2.78,2.78,2.74,0
455,3.78,3.78,4.28,0
456,3.78,3.78,4.28,0
457,5.45,5.45,5.28,0
458,5.45,5.45,5.28,0
459,4.09,4.09,3.98,0
460,4.09,4.09,3.98,0
461,3.14,3.14,3.69,0
462,3.14,3.14,3.69,0
463,2.13,2.13,3.18,0
464,2.13,2.13,3.18,0
465,2.13,2.13,3.18,0
466,2.13,2.13,3.18,0
467,1.82,1.82,2.23,0
468,1.82,1.82,2.23,0
469,1.82,1.82,2.23,0
470,1.82,1.82,2.23,0
471,1.75,1.75,2.11,0
472,1.75,1.75,2.11,0
473,1.75,1.75,2.11,0
