Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Subperiods,Hours_per_period,Sub_Weights
,,,,,,,94,3994.2388,10224.45998,6603.320107,16782.12505,4790.335013,15271.58459,18257.22803,15369.19831,7269.560866,3497.020659,5133.637876,31082.8384,3146.792023,4615.629667,9131.541007,19524.32258,12808.18001,26377.23888,,,
,,,,,,,95,3898.0832,9796.734062,6282.560772,15927.1365,4570.102622,14686.39513,17691.42937,14850.09588,7030.103467,3336.247515,4974.998548,30574.2624,3147.615078,4532.951509,8893.8297,19137.0633,12204.54101,25941.69506,,,
,,,,,,,96,3849.4652,9569.075851,6092.540052,15325.75416,4423.483178,14401.44579,17304.2128,14565.85463,6931.19388,3229.212992,4861.615154,30328.8192,3048.125581,4500.388034,8802.339921,18990.65165,11808.67517,25851.84093,,,
,,,,,,,97,3809.4904,9313.494626,5924.371883,14732.36768,4291.039222,14060.29041,17158.66234,14248.25119,6815.773975,3132.5268,4840.220364,30276.856,3046.098329,4477.859425,8745.978312,18944.84773,11601.7612,26078.77091,,,
,,,,,,,98,3857.028,9199.297724,5873.318621,14421.95678,4258.248132,13968.88494,17143.94079,14148.71402,6781.216179,3108.588783,4840.652491,30340.9808,3042.484973,4517.9955,8819.216876,19079.08141,11481.1825,26456.0509,,,
,,,,,,,99,3903.4852,9139.70383,5843.947109,14241.62027,4240.019061,14044.79279,17198.00572,14089.94585,6816.280806,3095.281272,4849.168693,30497.976,3104.640049,4602.594563,9004.437972,19465.25184,11498.5096,27829.45839,,,
,,,,,,,100,3996.3996,9149.864225,5873.98188,14113.00525,4187.481381,14378.99416,17656.92067,14118.65445,6962.035098,3056.927931,4970.726873,30678.1888,3211.376381,4733.496199,9435.060046,20277.34473,11705.50118,30059.86796,,,
,,,,,,,101,4197.354,9209.70595,5984.871687,14044.09683,4213.49313,15126.28161,18587.77268,14209.24626,7179.362031,3075.91692,5237.243023,31258.6288,3426.626491,5027.881696,10079.77901,21590.86791,12233.86531,31415.92279,,,
,,,,,,,102,4462.052,9723.355278,6394.951954,14737.63261,4505.891449,16298.43603,18896.7222,14849.14684,7548.166858,3289.372339,5348.005816,32323.3216,3720.794396,5241.93686,10501.89827,22201.83429,13130.6775,31081.75561,,,
,,,,,,,103,4486.9012,10450.67056,6938.960592,16300.84094,4891.392459,16933.7884,19290.2917,15770.94816,7806.369222,3570.7942,5469.11548,32452.6768,3555.315468,5143.831808,10399.46306,21953.37249,13576.7279,30535.12599,,,
,,,,,,,104,4281.6252,10639.52103,7052.154542,17085.84169,4984.996383,17072.19928,19628.67808,15993.64655,7789.715026,3639.126551,5583.626867,31772.7328,3343.629012,5007.459769,10032.61521,21362.42084,13575.92908,29851.52072,,,
