Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t43,0.0,0.0,0.0,0.0,-3.565575339936906
t44,0.0,0.0,0.0,0.0,-3.5652480164862266
t45,0.0,0.0,0.0,0.0,-3.5652343939519358
t46,0.0,0.0,0.0,0.0,-3.5652983226081885
t47,0.0,0.0,0.0,0.0,-3.5652703513798962
t48,0.0,0.0,0.0,0.0,-3.5651820961337024
t49,0.0,0.0,0.0,0.0,-3.565168130437074
t50,0.0,0.0,0.0,0.0,-3.565134998880413
t51,0.0,0.0,0.0,0.0,-3.5650183819731267
t52,0.0,0.0,0.0,0.0,-3.5648518016678628
t53,0.0,0.0,0.0,0.0,-3.5647190478892927
t54,0.0,0.0,0.0,0.0,-3.5647514111342185
t55,0.0,0.0,0.0,0.0,-3.5650989321482016
t56,0.0,0.0,0.0,0.0,-3.5654212326937413
t57,0.0,0.0,0.0,0.0,-3.5655904886017478
t58,0.0,0.0,0.0,0.0,-3.565679902344974
t59,0.0,0.0,0.0,0.0,-3.565698832903776
t60,0.0,0.0,0.0,0.0,-3.565596760997613
t61,0.0,0.0,0.0,0.0,-3.5653882543361903
t62,0.0,0.0,0.0,0.0,-3.5650613376894165
t63,0.0,0.0,0.0,0.0,-3.5645542758520206
t64,0.0,0.0,0.0,0.0,-3.5642036358634974
t65,0.0,0.0,0.0,0.0,-3.565381273992199
t66,0.0,0.0,0.0,0.0,-3.569568903835082
t67,0.0,0.0,0.0,0.0,-3.5693559404769815
t68,0.0,0.0,0.0,0.0,-3.5666510450553104
t69,0.0,0.0,0.0,0.0,-3.5647489180683913
t70,0.0,0.0,0.0,0.0,-3.5642296788873518
t71,0.0,0.0,0.0,0.0,-3.5645576405577493
t72,0.0,0.0,0.0,0.0,-3.56477737348044
t73,0.0,0.0,0.0,0.0,-3.5645396383586574
t74,0.0,0.0,0.0,0.0,-3.564481738963546
t75,0.0,0.0,0.0,0.0,-3.564414837764156
t76,0.0,0.0,0.0,0.0,-3.5642794285464507
t77,0.0,0.0,0.0,0.0,-3.564151649980548
t78,0.0,0.0,0.0,0.0,-3.564359397679871
t79,0.0,0.0,0.0,0.0,-3.5649767130292696
t80,0.0,0.0,0.0,0.0,-3.5657766056961093
t81,0.0,0.0,0.0,0.0,-3.5661044706242033
t82,0.0,0.0,0.0,0.0,-3.5663004984342885
t83,0.0,0.0,0.0,0.0,-3.5664268941251382
t84,0.0,0.0,0.0,0.0,-3.566057780278899
t85,0.0,0.0,0.0,0.0,-3.5656446776660866
t86,0.0,0.0,0.0,0.0,-3.565068596097279
t87,0.0,0.0,0.0,0.0,-3.5642562777041658
t88,0.0,0.0,0.0,0.0,-3.5639459233055097
t89,0.0,0.0,0.0,0.0,-3.565523600517857
t90,0.0,0.0,0.0,0.0,-3.5702682872388776
t91,0.0,0.0,0.0,0.0,-3.5681352343084525
t92,0.0,0.0,0.0,0.0,-3.565311574764377
t93,0.0,0.0,0.0,0.0,-3.564095327284987
t94,0.0,0.0,0.0,0.0,-3.5641743368886605
t95,0.0,0.0,0.0,0.0,-3.564814927048527
t96,0.0,0.0,0.0,0.0,-3.564809877502088
t97,0.0,0.0,0.0,0.0,-3.5648063522469147
t98,0.0,0.0,0.0,0.0,-3.564931253241589
t99,0.0,0.0,0.0,0.0,-3.564997670110888
t100,0.0,0.0,0.0,0.0,-3.564879787766937
t101,0.0,0.0,0.0,0.0,-3.5647025319409664
t102,0.0,0.0,0.0,0.0,-3.564686364540568
t103,0.0,0.0,0.0,0.0,-3.5651310898676725
t104,0.0,0.0,0.0,0.0,-3.5656097372555418
t105,0.0,0.0,0.0,0.0,-3.565782447238566
t106,0.0,0.0,0.0,0.0,-3.5658430431310078
t107,0.0,0.0,0.0,0.0,-3.5658391286592916
t108,0.0,0.0,0.0,0.0,-3.565801699131178
t109,0.0,0.0,0.0,0.0,-3.5658466959917483
t110,0.0,0.0,0.0,0.0,-3.56589090474907
t111,0.0,0.0,0.0,0.0,-3.565818154043999
t112,0.0,0.0,0.0,0.0,-3.5656229144711045
t113,0.0,0.0,0.0,0.0,-3.5661000289610656
t114,0.0,0.0,0.0,0.0,-3.5671163376486827
t115,0.0,0.0,0.0,0.0,-3.566627670042972
t116,0.0,0.0,0.0,0.0,-3.565493916179199
t117,0.0,0.0,0.0,0.0,-3.564852342683707
t118,0.0,0.0,0.0,0.0,-3.5646333372974697
t119,0.0,0.0,0.0,0.0,-3.56490039355254
t120,0.0,0.0,0.0,0.0,-3.5648352011323783
t121,0.0,0.0,0.0,0.0,-3.564987979787243
t122,0.0,0.0,0.0,0.0,-3.565114214800269
t123,0.0,0.0,0.0,0.0,-3.565077773308302
t124,0.0,0.0,0.0,0.0,-3.564924446539967
t125,0.0,0.0,0.0,0.0,-3.564819972897536
t126,0.0,0.0,0.0,0.0,-3.5648991778612107
