,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t899,16846.36449322463,0.0007638507890989443,-0.0009024132699565813,0.0,-0.0,0.0,-4.590349188924676e-7,0.0,0.0,-16846.364354210866
t900,17510.067193543193,0.0007639071431735069,-0.0009025343444242365,0.0,-0.0,0.0,-4.5903344604348536e-7,0.0,0.0,-17510.067054464882
t901,17960.197451873908,0.0007639214553507983,-0.0009024098882280146,0.0,-0.0,0.0,-4.590317982614301e-7,0.0,0.0,-17960.197312934415
t902,18329.878897965275,0.0007639777083108563,-0.0009022399311167193,0.0,-0.0,0.0,-4.590379490728619e-7,0.0,0.0,-18329.878759251947
t903,18522.381412511582,0.0007640271881388107,-0.0009020433571900417,0.0,-0.0,0.0,-4.590315388459527e-7,0.0,0.0,-18522.38127404424
t904,18657.420489716656,0.0007640937540743157,-0.0009017740178612319,0.0,-0.0,0.0,-4.5903033962327825e-7,0.0,0.0,-18657.4203515851
t905,18818.318112971432,0.0007644943261218934,-0.0009011252392492172,0.0,-0.0,0.0,-4.590281566306202e-7,0.0,0.0,-18818.317975889106
t906,18776.178258828222,0.000764505277281486,-0.0009009772917999105,0.0,-0.0,0.0,-4.5902513606079694e-7,0.0,0.0,-18776.178121904723
t907,18314.555314351655,0.0007638286862642871,-0.0009017438967971386,0.0,-0.0,0.0,-4.590232010724127e-7,0.0,0.0,-18314.5551759849
t908,17619.24772493803,0.0007633878122991013,-0.0009026317100156331,0.0,-0.0,0.0,-4.5902228486862473e-7,0.0,0.0,-17619.247585242596
t909,17279.255720442736,0.0007637326479673755,-0.0009022189841372166,0.0,-0.0,0.0,-4.5904033960919417e-7,0.0,0.0,-17279.255581504975
t910,16790.816503502672,0.0007641162613974063,-0.0009022997512207837,0.0,-0.0,0.0,-4.5904609450821277e-7,0.0,0.0,-16790.81636486782
t911,15249.838661716947,0.0007639539056153721,-0.0009026438705214307,0.0,-0.0,0.0,-4.5902576859228954e-7,0.0,0.0,-15249.838522575306
t912,13629.369730518074,0.0007637597326177217,-0.0009017407655009417,0.0,-0.0,0.0,-4.5903427361691833e-7,0.0,0.0,-13629.369592084982
t913,12448.496095694969,0.000763641478617043,-0.0009023162576597403,0.0,-0.0,0.0,-4.590400049840987e-7,0.0,0.0,-12448.495956568097
t914,11678.486037244818,0.0007634440756920608,-0.0009028383945421718,0.0,-0.0,0.0,-4.5904231287179705e-7,0.0,0.0,-11678.485897398938
t915,11163.230551083989,0.0007630486178269365,-0.0009036373005198565,0.0,-0.0,0.0,-4.590522805395421e-7,0.0,0.0,-11163.23041004445
t916,10895.067845088664,0.0007626667141253527,-0.0009044327771525558,0.0,-0.0,0.0,-4.590606500201253e-7,0.0,0.0,-10895.06770287111
t917,10951.573558114425,0.0007628564418403713,-0.0009043502055267518,0.0,-0.0,0.0,-4.5905783531081166e-7,0.0,0.0,-10951.573416168349
t918,11399.788367654322,0.0007632832166434993,-0.0009037554556166115,0.0,-0.0,0.0,-4.590376851134315e-7,0.0,0.0,-11399.788226729503
t919,12750.179140668599,0.0007641774491637507,-0.0009022553542272794,0.0,-0.0,0.0,-4.590314973433547e-7,0.0,0.0,-12750.179002138106
t920,14350.535867138908,0.0007643270953688982,-0.0009014233813283627,0.0,-0.0,0.0,-4.59031026574967e-7,0.0,0.0,-14350.535729590429
t921,15595.577009192635,0.0007638812951336357,-0.0009025841296642835,0.0,-0.0,0.0,-4.5903623036233687e-7,0.0,0.0,-15595.576870038074
t922,16636.622948801476,0.0007634924944839928,-0.0009035995354817939,0.0,-0.0,0.0,-4.5903960140083324e-7,0.0,0.0,-16636.622808243148
t923,17661.387579665694,0.0007636714400868118,-0.0009036591593064091,0.0,-0.0,0.0,-4.590388811437573e-7,0.0,0.0,-17661.387439226983
t924,18463.96025338712,0.0007635409257153842,-0.0009036384860523508,0.0,-0.0,0.0,-4.590356696785755e-7,0.0,0.0,-18463.960112838617
