Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t1149,0.0,0.0,0.0,0.0,0.0025062424674014115,0.0025062424674014115
t1150,0.0,0.0,0.0,0.0,0.002502672722323739,0.002502672722323739
t1151,0.0,0.0,0.0,0.0,0.002494144854651983,0.002494144854651983
t1152,0.0,0.0,0.0,0.0,0.0024695536553054577,0.0024695536553054577
t1153,0.0,0.0,0.0,0.0,0.002403015087958726,0.002403015087958726
t1154,0.0,0.0,0.0,0.0,0.002233294994478319,0.002233294994478319
t1155,0.0,0.0,0.0,0.0,0.0018562307171555736,0.0018562307171555736
t1156,0.0,0.0,0.0,0.0,0.0011158983127993662,0.0011158983127993662
t1157,0.0,0.0,0.0,0.0,0.0018933330971060646,0.0018933330971060646
t1158,0.0,0.0,0.0,0.0,0.01086787144035732,0.01086787144035732
t1159,0.0,0.0,0.0,0.0,0.001782127749055594,0.001782127749055594
t1160,0.0,0.0,0.0,0.0,0.002213829857975822,0.002213829857975822
t1161,0.0,0.0,0.0,0.0,0.0024018363621933093,0.0024018363621933093
t1162,0.0,0.0,0.0,0.0,0.002470573367442613,0.002470573367442613
t1163,0.0,0.0,0.0,0.0,0.002494945685018596,0.002494945685018596
t1164,0.0,0.0,0.0,0.0,0.0025033915171535893,0.0025033915171535893
t1165,0.0,0.0,0.0,0.0,0.0025063355878008876,0.0025063355878008876
t1166,0.0,0.0,0.0,0.0,0.002507517402219644,0.002507517402219644
t1167,0.0,0.0,0.0,0.0,0.0025079689473348735,0.0025079689473348735
t1168,0.0,0.0,0.0,0.0,0.0025081012648778245,0.0025081012648778245
t1169,0.0,0.0,0.0,0.0,0.0025078879832308794,0.0025078879832308794
t1170,0.0,0.0,0.0,0.0,0.002507494151135059,0.002507494151135059
t1171,0.0,0.0,0.0,0.0,0.002507669878985231,0.002507669878985231
t1172,0.0,0.0,0.0,0.0,0.0025080540560405156,0.0025080540560405156
t1173,0.0,0.0,0.0,0.0,0.0025075203199642873,0.0025075203199642873
t1174,0.0,0.0,0.0,0.0,0.002507276295245161,0.002507276295245161
t1175,0.0,0.0,0.0,0.0,0.0025081611073423412,0.0025081611073423412
t1176,0.0,0.0,0.0,0.0,0.0025107952887466673,0.0025107952887466673
t1177,0.0,0.0,0.0,0.0,0.002179352947375725,0.002179352947375725
t1178,0.0,0.0,0.0,0.0,0.002180532968862495,0.002180532968862495
t1179,0.0,0.0,0.0,0.0,0.0021830187670811314,0.0021830187670811314
t1180,0.0,0.0,0.0,0.0,0.0021837617374603803,0.0021837617374603803
t1181,0.0,0.0,0.0,0.0,0.0021811910593600515,0.0021811910593600515
t1182,0.0,0.0,0.0,0.0,0.0021777616814185065,0.0021777616814185065
t1183,0.0,0.0,0.0,0.0,0.002176716818943941,0.002176716818943941
t1184,0.0,0.0,0.0,0.0,0.0021770896181249203,0.0021770896181249203
t1185,0.0,0.0,0.0,0.0,0.0021773366964017824,0.0021773366964017824
t1186,0.0,0.0,0.0,0.0,0.002177563891352653,0.002177563891352653
t1187,0.0,0.0,0.0,0.0,0.0021775573638260393,0.0021775573638260393
t1188,0.0,0.0,0.0,0.0,0.0021776778822363493,0.0021776778822363493
t1189,0.0,0.0,0.0,0.0,0.002177901743141193,0.002177901743141193
t1190,0.0,0.0,0.0,0.0,0.0021780697208425514,0.0021780697208425514
t1191,0.0,0.0,0.0,0.0,0.0021785109690115236,0.0021785109690115236
t1192,0.0,0.0,0.0,0.0,0.002179564028415804,0.002179564028415804
t1193,0.0,0.0,0.0,0.0,0.0021784021240972475,0.0021784021240972475
t1194,0.0,0.0,0.0,0.0,0.002175082646323119,0.002175082646323119
t1195,0.0,0.0,0.0,0.0,0.002176162345507844,0.002176162345507844
t1196,0.0,0.0,0.0,0.0,0.002176876920802856,0.002176876920802856
t1197,0.0,0.0,0.0,0.0,0.0021770258542963866,0.0021770258542963866
t1198,0.0,0.0,0.0,0.0,0.002177257087541715,0.002177257087541715
t1199,0.0,0.0,0.0,0.0,0.0021771646314279317,0.0021771646314279317
t1200,0.0,0.0,0.0,0.0,0.0021774771268332897,0.0021774771268332897
t1201,0.0,0.0,0.0,0.0,0.0021785114996575447,0.0021785114996575447
t1202,0.0,0.0,0.0,0.0,0.002180222497961906,0.002180222497961906
t1203,0.0,0.0,0.0,0.0,0.0021830016162816745,0.0021830016162816745
t1204,0.0,0.0,0.0,0.0,0.002183960466019684,0.002183960466019684
t1205,0.0,0.0,0.0,0.0,0.002181986190259624,0.002181986190259624
t1206,0.0,0.0,0.0,0.0,0.0021782854902069014,0.0021782854902069014
