Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
t22,1.1540447469819349e-7,1.1833961394268364e-7,0.0,0.0,0.0,2.3374408864087713e-7
t23,1.1540361279867193e-7,1.1835292139470937e-7,0.0,0.0,0.0,2.337565341933813e-7
t24,1.154054610817365e-7,1.1837237529730501e-7,0.0,0.0,0.0,2.337778363790415e-7
t25,1.1541216986611316e-7,1.18400427290038e-7,0.0,0.0,0.0,2.3381259715615116e-7
t26,1.1542773020680957e-7,1.1844154218243396e-7,0.0,0.0,0.0,2.3386927238924353e-7
t27,1.1545707122210695e-7,1.1850148932953127e-7,0.0,0.0,0.0,2.3395856055163823e-7
t28,1.155019139158001e-7,1.185816669945529e-7,0.0,0.0,0.0,2.34083580910353e-7
t29,1.1555277488660065e-7,1.1867276918784606e-7,0.0,0.0,0.0,2.3422554407444671e-7
t30,1.1558779824830356e-7,1.1874802701810128e-7,0.0,0.0,0.0,2.3433582526640485e-7
t31,1.1560558223625303e-7,1.1880122618728804e-7,0.0,0.0,0.0,2.3440680842354107e-7
t32,1.1561359732079317e-7,1.1883586312568993e-7,0.0,0.0,0.0,2.3444946044648312e-7
t33,1.1561782453282451e-7,1.1886020121670006e-7,0.0,0.0,0.0,2.3447802574952458e-7
t34,1.1561917833290181e-7,1.1887756991052536e-7,0.0,0.0,0.0,2.3449674824342716e-7
t35,1.1561831248320459e-7,1.1889052765917418e-7,0.0,0.0,0.0,2.3450884014237875e-7
t36,1.156162036985737e-7,1.1890099994127337e-7,0.0,0.0,0.0,2.3451720363984708e-7
t37,1.1561394173091343e-7,1.1891110858417384e-7,0.0,0.0,0.0,2.3452505031508727e-7
t38,1.1561231751613846e-7,1.1892294825440257e-7,0.0,0.0,0.0,2.34535265770541e-7
t39,1.15611488092286e-7,1.1893721477880821e-7,0.0,0.0,0.0,2.345487028710942e-7
t40,1.1561134062517136e-7,1.1895446180158077e-7,0.0,0.0,0.0,2.3456580242675212e-7
t41,1.1561131989975684e-7,1.1897249434268422e-7,0.0,0.0,0.0,2.3458381424244104e-7
t42,1.1560713076729391e-7,1.1896472334709184e-7,0.0,0.0,0.0,2.3457185411438573e-7
t43,1.1559546022713597e-7,1.1891103904340963e-7,0.0,0.0,0.0,2.345064992705456e-7
t44,1.1558549392063851e-7,1.1886478017380304e-7,0.0,0.0,0.0,2.3445027409444155e-7
t45,1.1557842918465717e-7,1.1883403570149173e-7,0.0,0.0,0.0,2.344124648861489e-7
t46,1.1557470312085883e-7,1.1882388545140612e-7,0.0,0.0,0.0,2.3439858857226493e-7
t47,1.1557458496503178e-7,1.1883011106502552e-7,0.0,0.0,0.0,2.344046960300573e-7
t48,1.155781390397242e-7,1.1884711413862332e-7,0.0,0.0,0.0,2.344252531783475e-7
t49,1.1558548250114718e-7,1.1887318194624689e-7,0.0,0.0,0.0,2.3445866444739406e-7
t50,1.1559651262996245e-7,1.189082241242354e-7,0.0,0.0,0.0,2.3450473675419783e-7
t51,1.1561024046055255e-7,1.1895041492656588e-7,0.0,0.0,0.0,2.3456065538711843e-7
t52,1.156257374617865e-7,1.1899845986013389e-7,0.0,0.0,0.0,2.3462419732192037e-7
t53,1.156413032520494e-7,1.1904811632667785e-7,0.0,0.0,0.0,2.3468941957872724e-7
t54,1.1565432488564497e-7,1.1908741351519837e-7,0.0,0.0,0.0,2.3474173840084334e-7
t55,1.156624409316725e-7,1.1910993932500156e-7,0.0,0.0,0.0,2.3477238025667405e-7
t56,1.1566465692234222e-7,1.1912100512339043e-7,0.0,0.0,0.0,2.3478566204573265e-7
t57,1.1566385694102075e-7,1.1912700091202873e-7,0.0,0.0,0.0,2.3479085785304946e-7
t58,1.1566316156625398e-7,1.1913456765416853e-7,0.0,0.0,0.0,2.3479772922042252e-7
t59,1.1566263261164532e-7,1.1914507253948404e-7,0.0,0.0,0.0,2.3480770515112937e-7
t60,1.1566214917358105e-7,1.1915518621877466e-7,0.0,0.0,0.0,2.3481733539235572e-7
t61,1.1566227644545847e-7,1.1916768698447466e-7,0.0,0.0,0.0,2.3482996342993314e-7
t62,1.1566349275098856e-7,1.1918515636444004e-7,0.0,0.0,0.0,2.348486491154286e-7
