Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5
t113,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,30000.0,0.0,21031.626422113986
t114,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,30000.0,0.0,29680.8115369203
t115,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,30000.0,0.0,23051.74848848408
t116,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,13481.56207828757,30000.0,0.0,27372.253964537005
t117,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7654.643038348739,30000.0,0.0,30000.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,16668.99195535628,0.0,30000.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,8626.307496608479,16500.0,0.0,30000.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,25184.662913979508,0.0,16500.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,9145.27717969463,6882.926044705816,16500.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,11566.18862044532,9025.660579799682,6882.926044705816,16500.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,7414.859143058165,12211.988596621435,6882.926044705816,16500.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,10551.190765331594,9025.660579799682,6882.926044705816,16500.0
t125,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,12181.191429224964,9025.660579799682,6882.926044705816,16500.0
t126,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,9976.563109875728,16410.29196327215,6882.926044705816,16500.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,7414.859143058165,14946.917025137303,6882.926044705816,30000.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,16410.29196327215,12514.410990374208,21893.42107440357
t129,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,15155.2134783089,6882.926044705816,30000.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,12761.549678495801,16410.29196327215,6882.926044705816,30000.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13355.971499890016,16410.29196327215,6882.926044705816,30000.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,16410.29196327215,12514.410990374208,24478.253124906394
t133,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,16410.29196327215,6882.926044705816,30000.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,13481.56207828757,10713.794292810648,12514.410990374208,30000.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,12981.510364773303,16410.29196327215,6882.926044705816,30000.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,18454.943422084183,7414.859143058165,9025.660579799684,12514.410990374208,30000.0
t137,0.0,0.0,0.0,0.0,0.0,0.0,10313.463777634788,13481.56207828757,16410.29196327215,12514.410990374208,30000.0
t138,0.0,0.0,0.0,0.0,0.0,0.0,18454.943422084183,13481.56207828757,11783.759399473856,12514.410990374208,30000.0
t139,0.0,0.0,0.0,0.0,0.0,0.0,13163.33883984832,13481.56207828757,16410.29196327215,12514.410990374208,30000.0
t140,0.0,0.0,0.0,0.0,0.0,0.0,10878.144484656328,13481.56207828757,16410.29196327215,12514.410990374208,30000.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,10604.43886022422,16410.29196327215,12514.410990374208,30000.0
t142,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,10470.736934617362,16410.29196327215,6882.926044705816,30000.0
t143,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,7414.859143058165,12261.161916191288,6882.926044705816,30000.0
t144,0.0,0.0,0.0,0.0,0.0,0.0,10150.218882146302,10315.83686323426,16410.29196327215,6882.926044705816,16500.0
t145,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,11031.772928296163,0.0,16500.0
t146,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,12452.14079424904,9382.639449482576,0.0,16500.0
t147,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,11351.616559071288,9382.639449482576,0.0,16500.0
t148,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,11358.56347070005,9382.639449482576,0.0,16500.0
t149,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13111.32300071816,9382.639449482576,0.0,16500.0
t150,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,10918.693366193325,17059.344453604685,0.0,16500.0
t151,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,7414.859143058165,17059.34445360468,0.0,29818.13781558774
t152,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,17059.344453604685,0.0,28797.754572051097
t153,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,7414.859143058165,10603.892998149508,0.0,30000.0
t154,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,17059.344453604685,0.0,17217.661453261906
