Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t40,0.0,402.2553165498182,0.0,0.0,409.29856852535244,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1939.4740445758744
t41,0.0,455.44493941517754,0.0,0.0,353.3283667659533,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1936.6934656818346
t42,0.0,361.4250883300657,0.0,0.0,353.32836676595343,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1842.6736145967227
t43,0.0,198.78379858153613,0.0,0.0,128.0586828388985,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1454.7626409211384
t44,0.0,0.0,0.0,0.0,0.0,0.0,255.7085002456156,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1115.6682309322334
t45,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,134.8156207828757,267.4466199474253,125.14410990374209,300.0,0.0,0.0,0.0,1095.366779448129
t46,0.0,0.0,0.0,0.0,0.0,0.0,195.3646542557658,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1055.3243849423836
t47,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,300.0,82.66879122625211,300.0,0.0,0.0,0.0,964.8626478568751
t48,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,134.8156207828757,238.214417178009,68.82926044705816,165.0,0.0,0.0,0.0,874.8197272220287
t49,0.0,0.0,0.0,0.0,0.0,0.0,220.275148973018,32.591970269446065,165.0,68.82926044705816,165.0,0.0,0.0,0.0,651.6963796895222
t50,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,165.0,68.82926044705816,198.96455872768774,0.0,0.0,0.0,612.7640252919393
t51,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,17.92558364819534,190.02679902538006,68.82926044705816,165.0,0.0,0.0,0.0,589.1598789683808
t52,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,165.0,68.82926044705816,165.0,0.0,0.0,0.0,578.7994665642516
t53,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,165.0,73.74013207515732,165.0,0.0,0.0,0.0,583.7103381923507
t54,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,165.0,68.82926044705816,205.2099085502963,0.0,0.0,0.0,619.0093751145478
t55,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,165.0,125.14410990374209,209.06203266472846,0.0,0.0,0.0,679.1763486856639
t56,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,17.92558364819534,300.0,114.43999653230537,165.0,0.0,0.0,0.0,744.743816028248
t57,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,300.0,125.14410990374209,193.10983921403957,0.0,0.0,0.0,798.224155234975
t58,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,17.92558364819534,300.0,125.14410990374209,256.56187380594156,0.0,0.0,0.0,847.0098032056263
t59,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,32.591970269446065,300.0,125.14410990374209,165.8360285242429,0.0,0.0,0.0,891.532537511517
t60,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,32.591970269446065,300.0,125.14410990374209,198.71700632349388,0.0,0.0,0.0,924.4135153107679
t61,0.0,0.0,0.0,0.0,0.0,0.0,244.3974803528317,32.591970269446065,300.0,68.82926044705816,300.0,0.0,0.0,0.0,945.8187110693359
t62,0.0,0.0,0.0,0.0,0.0,0.0,206.81118447904376,32.591970269446065,300.0,125.14410990374209,300.0,0.0,0.0,0.0,964.547264652232
t63,0.0,0.0,0.0,0.0,0.0,0.0,217.15037417797157,32.591970269446065,300.0,125.14410990374209,300.0,0.0,0.0,0.0,974.8864543511597
t64,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,32.591970269446065,300.0,125.14410990374209,253.45737475590374,0.0,0.0,0.0,979.1538837431779
t65,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,32.591970269446065,300.0,125.14410990374209,255.26013166272972,0.0,0.0,0.0,980.9566406500038
t66,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,32.591970269446065,300.0,125.14410990374209,245.15548167467074,0.0,0.0,0.0,970.8519906619449
t67,0.0,0.0,0.0,0.0,0.0,0.0,236.83846522684055,32.591970269446065,300.0,68.82926044705816,300.0,0.0,0.0,0.0,938.2596959433448
t68,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,17.92558364819534,300.0,125.14410990374209,198.19883806608757,0.0,0.0,0.0,909.228960432111
t69,0.0,0.0,0.0,0.0,0.0,0.0,148.84444267132466,32.591970269446065,300.0,125.14410990374209,300.0,0.0,0.0,0.0,906.5805228445128
t70,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,300.0,125.14410990374209,248.99158838422304,0.0,0.0,0.0,854.1059044051585
t71,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,17.92558364819534,165.0,68.82926044705816,253.9231060374091,0.0,0.0,0.0,773.6383789467486
t72,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,32.591970269446065,278.30189752549825,68.82926044705816,165.0,0.0,0.0,0.0,692.1013640897497
t73,0.0,0.0,0.0,0.0,0.0,0.0,175.374146301719,74.14859143058165,0.0,0.0,300.0,0.0,0.0,0.0,549.5227377323006
t74,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,252.95666444575636,0.0,0.0,0.0,520.0288110407078
t75,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,235.82604213000621,0.0,0.0,0.0,502.8981887249576
t76,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,226.53862210486153,0.0,0.0,0.0,493.6107686998129
t77,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,226.8951762022729,0.0,0.0,0.0,493.96732279722426
t78,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,77.02856842422221,0.0,0.0,300.0,0.0,0.0,0.0,509.2850942362979
t79,0.0,0.0,0.0,0.0,0.0,0.0,132.25652581207567,134.8156207828757,0.0,0.0,266.77266199606123,0.0,0.0,0.0,533.8448085910127
t80,0.0,0.0,0.0,0.0,0.0,0.0,240.46641056741026,134.8156207828757,0.0,0.0,196.00933259741709,0.0,0.0,0.0,571.2913639477031
t81,0.0,0.0,0.0,0.0,0.0,0.0,184.50494263887583,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,619.3205634217516
t82,0.0,0.0,0.0,0.0,0.0,0.0,217.07010823557655,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,651.8857290184523
t83,0.0,0.0,0.0,0.0,0.0,0.0,232.54892368763677,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,667.3645444705124
t84,0.0,0.0,0.0,0.0,0.0,0.0,237.08147067380102,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,671.8970914566767
t85,0.0,0.0,0.0,0.0,0.0,0.0,236.57759312147684,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,671.3932139043525
t86,0.0,0.0,0.0,0.0,0.0,0.0,231.72625834063416,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,666.5418791235098
t87,0.0,0.0,0.0,0.0,0.0,0.0,226.2172793020703,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,661.032900084946
t88,0.0,0.0,0.0,0.0,0.0,0.0,223.4347781949099,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,658.2503989777856
t89,0.0,0.0,0.0,0.0,0.0,0.0,224.98111738614193,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,659.7967381690177
t90,0.0,0.0,0.0,0.0,0.0,0.0,225.19863997766709,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,660.0142607605428
t91,0.0,0.0,0.0,0.0,0.0,0.0,221.9258468193878,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,656.7414676022635
t92,0.0,0.0,0.0,0.0,0.0,0.0,240.46641056741026,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,675.2820313502859
t93,0.0,0.0,0.0,0.0,0.0,0.0,223.85294984634393,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,658.6685706292196
t94,0.0,0.0,0.0,0.0,0.0,0.0,185.66913590563425,134.8156207828757,0.0,0.0,300.0,0.0,0.0,0.0,620.48475668851
t95,0.0,0.0,0.0,0.0,0.0,0.0,240.46641056741026,134.8156207828757,0.0,0.0,197.22511701945294,0.0,0.0,0.0,572.5071483697388
