,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t32,1146.7485883694178,5060.893009317397,-530.4391296550266,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-10781.0,1344.6406656269078,12972.560033206473,-11238.200698833381,0.0,-0.0,0.0,0.0,0.0,-0.0,-3079.0,7081.203704291094,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1469.0
t33,4625.037250845629,671.8543394492845,-4919.477799523139,0.0,-0.0,0.0,0.0,10649.04639858872,-84.46018936049482,-10942.0,5768.692503369588,13548.236257306822,-10662.524474733033,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3126.0,6290.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1492.0
t34,11469.92640773689,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,5205.371432187269,-50.965700951736466,-11033.0,12430.667884071492,7491.163839550766,-16719.59689248909,0.0,-0.0,0.0,0.0,-50.92151520024402,-0.31331593292361265,-3151.0,6302.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1504.0
t35,12516.604096995788,974.6396436900877,-4616.692495282336,0.0,-0.0,0.0,0.0,2266.7236747438064,-22.27492014734627,-11119.0,11513.17718509897,7936.791773470443,-16273.968958569412,0.0,-0.0,0.0,0.0,0.0,-0.0,-3176.0,4212.099997176409,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-2266.7236747438064,-22.27492014734627,-1516.0
t36,13221.835101039129,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,3506.939305304821,-34.44226737152705,-11103.0,14353.622064656465,6516.329390443752,-17694.4313415961,0.0,-0.0,0.0,0.0,-5.486356400323486,-0.03375710379314378,-3170.0,5456.962861457488,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-3501.4529489044976,-34.40851026773391,-1514.0
t37,11824.13745501658,725.2462880409076,-4866.085850931516,0.0,-0.0,0.0,0.0,3345.5788553487587,-32.87674747472982,-10996.0,10624.804286562403,8362.978222738726,-15847.78250930113,0.0,-0.0,0.0,0.0,0.0,-0.0,-3140.0,5284.557005108744,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-3345.5788553487587,-32.87674747472982,-1499.0
t38,9472.303744700093,1706.5180688295604,-3884.8140701428624,0.0,-0.0,0.0,0.0,3662.988161053286,-35.995904440076316,-10921.0,11681.001893648438,7824.379419195709,-16386.381312844147,0.0,-0.0,0.0,0.0,0.0,-0.0,-3119.0,5595.085467778617,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-3662.988161053286,-35.995904440076316,-1489.0
t39,8744.73510704452,0.0,-5591.332138972423,0.0,-0.0,0.0,0.0,7715.395181573193,-65.79814964528995,-10803.0,8910.680092945626,10564.626582320552,-13646.134149719304,0.0,-0.0,0.0,0.0,-2727.391110327405,-16.781415219469032,-3085.0,6102.919403386354,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-4988.0040712457885,-49.016734425820914,-1473.0
t40,5317.50389282484,3244.675430843368,-2346.6567081290555,0.0,-0.0,0.0,0.0,4638.055198081169,-45.57781362032099,-10808.0,9483.055749341023,8906.852491349415,-15303.90824069044,0.0,-0.0,0.0,0.0,0.0,-0.0,-3086.0,6273.785362263282,145.47452586173117,-261.626876423524,0.0,-0.0,0.0,0.0,-4638.055198081169,-45.57781362032099,-1474.0
t41,1995.578665634255,4896.477970684979,-694.8541682874452,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-11301.0,2631.8456306410003,12402.957550699428,-11807.803181340427,0.0,-0.0,0.0,0.0,0.0,-0.0,-3227.0,6761.045145967326,195.579279161884,-211.52212312337122,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1540.0
t42,1146.7485883694178,2949.49867068739,-2641.833468285033,0.0,-0.0,0.0,0.0,10649.04639858872,-84.46018936049482,-12019.0,2876.627227455339,15147.268895263946,-9063.49183677591,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3432.0,7044.926251230909,103.13872653009271,-303.9626757551625,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1639.0
t43,1146.7485883694178,5591.332138972423,-0.0,0.0,-0.0,0.0,0.0,5232.049119244126,-51.1298465859658,-11919.0,3100.3593812992503,12296.23900728243,-11914.521724757426,0.0,-0.0,0.0,0.0,-77.59920225710056,-0.4774615671529558,-3404.0,6423.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1625.0
t44,1146.7485883694178,2710.4986706873906,-2880.8334682850327,0.0,-0.0,0.0,0.0,10649.04639858872,-84.46018936049482,-11541.0,3300.197786501211,14867.48361574101,-9343.277116298845,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3296.0,6372.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1574.0
t45,1146.7485883694178,2438.49867068739,-3152.833468285033,0.0,-0.0,0.0,0.0,10649.04639858872,-84.46018936049482,-10997.0,3430.18969112414,14724.487663429545,-9486.27306861031,0.0,-0.0,0.0,0.0,-5494.596481601694,-33.80780434168197,-3140.0,6776.057358750005,167.57317277054474,-239.5282295147105,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1499.0
t46,1146.7485883694178,4768.893009317397,-822.4391296550264,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-10197.0,3298.4728809675917,11912.143925536131,-12298.616806503724,0.0,-0.0,0.0,0.0,0.0,-0.0,-2912.0,7002.203704291093,0.0,-407.10140228525523,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1390.0
t47,1146.7485883694178,4267.393009317397,-1323.9391296550264,0.0,-0.0,0.0,0.0,5154.449916987025,-50.65238501881285,-9194.0,3161.310078423309,11837.225326808273,-12373.535405231582,0.0,-0.0,0.0,0.0,0.0,-0.0,-2625.0,6051.000899720583,407.10140228525523,-0.0,0.0,-0.0,0.0,0.0,-5154.449916987025,-50.65238501881285,-1253.0
