Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
t121,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t122,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t123,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t124,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t125,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t126,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t127,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t128,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t129,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t138,0.0,158.1949404,0.0,0.0,0.0,0.0,14.449999999999998
t139,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t140,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t141,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t142,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t143,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t144,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t145,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t146,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t147,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t148,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t149,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t150,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t151,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t152,0.0,158.1949404,0.0,0.0,0.0,0.0,14.45
t153,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t161,0.0,46.77333598384536,0.0,0.0,0.0,0.0,14.449999999999998
t162,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t163,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t164,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t165,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t166,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t167,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
