Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery
91,1,0,0,1,0.291266352,0.291266352,0,0,1,0.277302444,0.277302444,1,1,1
92,1,0,0,1,0.210415676,0.210415676,0,0,1,0.370590001,0.370590001,1,1,1
93,1,0,0,1,0.223368809,0.223368809,0,0,1,0.342927366,0.342927366,1,1,1
94,1,0,0,1,0.409326077,0.409326077,0,0,1,0.468558729,0.468558729,1,1,1
95,1,0,0,1,0.685454428,0.685454428,0,0,1,0.585748136,0.585748136,1,1,1
96,1,0,0,1,0.560226202,0.560226202,0,0,1,0.687084079,0.687084079,1,1,1
97,1,0,0,1,0.414616615,0.414616615,0,0,1,0.582934856,0.582934856,1,1,1
98,1,0,0,1,0.492882252,0.492882252,0,0,1,0.574557364,0.574557364,1,1,1
99,1,0,0,1,0.543901205,0.543901205,0,0,1,0.535381913,0.535381913,1,1,1
100,1,0,0,1,0.584094465,0.584094465,0,0,1,0.601786137,0.601786137,1,1,1
101,1,0,0,1,0.575396657,0.575396657,0,0,1,0.5711748,0.5711748,1,1,1
102,1,0,0,1,0.222339511,0.222339511,0,0,1,0.524353385,0.524353385,1,1,1
103,1,0,0,1,0.063489825,0.063489825,0,0,1,0.469980359,0.469980359,1,1,1
104,1,0,0,1,0.034827486,0.034827486,0,0,1,0.364646316,0.364646316,1,1,1
105,1,0.1033,0.1033,1,0.0359466,0.0359466,0.1154,0.1154,1,0.391142845,0.391142845,1,1,1
106,1,0.2804,0.2804,1,0.168909371,0.168909371,0.2997,0.2997,1,0.372059673,0.372059673,1,1,1
107,1,0.4372,0.4372,1,0.119043224,0.119043224,0.4896,0.4896,1,0.292032659,0.292032659,1,1,1
108,1,0.5913,0.5913,1,0.057592459,0.057592459,0.5795,0.5795,1,0.214939833,0.214939833,1,1,1
109,1,0.5349,0.5349,1,0.084502511,0.084502511,0.5517,0.5517,1,0.320211053,0.320211053,1,1,1
