Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t377,105.955938,109.18593026921423,1766.8513593433247,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,279.48907116000004,27.220752,14.537694899999998,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,141.41977866000002,24.92505,175.163990358,274.2255,1112.9859,163.3365,0.0,104.44778340000002,3.8323438200000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,130.68999997864,37.320000002490005,17.81999999952,19568.597185904895
t378,105.955938,109.13090268021422,1766.8997449486812,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,141.22157706000002,27.220752,14.543313999999999,30.968000999999997,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,82.66639086,24.92505,175.13678212800002,274.2255,1112.9859,163.3365,0.0,104.44778340000002,1.7988793200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,130.08000001904,37.15000001802,17.740000006080002,19368.623609453738
t379,105.955938,109.18593026921423,1766.7465734521886,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,60.886932120000004,27.220752,14.541603446666665,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,39.36851208,24.92505,175.109573898,274.2255,1112.9859,163.3365,0.0,104.44778340000002,0.8192799000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,126.50188992914161,36.20348000103283,17.30000000832,19238.950792518266
t380,105.955938,109.13893549399998,1767.82985797548,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,32.494912559999996,27.220752,14.535984346666666,30.968000999999997,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,10.74026898,24.92505,175.13678212800002,274.2255,1112.9859,163.3365,0.0,104.44778340000002,1.6420962600000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,122.240000058,34.919999999290006,16.65999999312,19177.59485620826
t381,105.955938,109.19396308299999,1767.9481823355482,7070.2227,2682.118197,302.398299,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.541603446666665,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.163990358,274.2255,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,120.24999994016001,34.34999999853,16.38999999552,19130.124756571127
t382,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.42810398436814,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,116.78992005486097,33.35284999723198,15.92226000703392,19125.490767560197
t383,105.955938,109.24899067199999,1768.002,7070.2227,2682.118197,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.543313999999999,30.999,3485.2152960000003,35.1648,433.566,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,105.82311001087086,30.223759977318956,14.42270000031168,19110.030171849205
t384,105.955938,109.24899067199999,1768.002,7070.2227,2682.933650553242,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.543313999999999,30.999,3485.2152960000003,35.183596800000004,433.946184,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.170223431,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,94.66776005522199,27.035080004580713,12.903339989606879,19095.381216263355
t385,105.955938,109.24899067199999,1768.002,7070.3348909242695,2683.441804879,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.543313999999999,30.999,3485.2152960000003,35.183596800000004,433.946184,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.1729278635,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5936162615824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,86.44974994037983,24.685649985691477,11.793610004484481,19084.878383806066
t386,105.955938,109.24899067199999,1768.002,7071.01649803652,2683.441804879,302.562968344,62.641296,0.5993999999999999,0.0,29.97,0.0,30.729939499999993,0.0,27.220752,14.543313999999999,30.999,3485.2152960000003,35.183596800000004,433.946184,124.77510000000001,0.0,0.0,4.0228649999999995,0.0,24.92505,175.20013609350002,274.369887,1112.9859,163.3365,0.0,104.44778340000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.5936162615824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,81.25307995090512,23.20661001523275,11.07405999583296,19078.19193917973
