,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t118,1053.0207240801321,14531.064442075061,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15584.085166155193
t119,4026.85524228124,10121.746720498642,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14148.60196277988
t120,1815.5554493301404,11094.65017593063,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12910.205625260769
t121,3601.6162849140023,8496.875908289532,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12098.492193203534
t122,3225.4682918501726,8433.13414405576,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11658.602435905932
t123,1644.7850716289033,9788.284971390038,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11433.07004301894
t124,757.3335340788085,10619.861366558218,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11377.194900637027
t125,1607.1223444703755,10047.416444716873,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11654.538789187247
t126,2259.1784662915557,10380.794652176693,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12639.973118468248
t127,2612.3135453485343,11879.666565160189,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14491.980110508724
t128,2513.7434060974765,13088.628170291799,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15602.371576389274
t129,15730.376448027837,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15730.376448027837
t130,33845.13079653149,0.0,-18098.499761628915,0.0,-0.0,0.0,0.0,0.0,0.0,-15746.631034902573
t131,57990.372597386486,0.0,-42312.82355670154,0.0,-0.0,0.0,0.0,0.0,0.0,-15677.549040684937
t132,62626.09967671639,0.0,-47181.19441067614,0.0,-0.0,0.0,0.0,0.0,0.0,-15444.905266040247
t133,15189.911434442793,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15189.911434442793
t134,30520.72877825641,0.0,-15464.917685530203,0.0,-0.0,0.0,0.0,0.0,0.0,-15055.811092726204
t135,42020.20074341135,0.0,-27173.667456697392,0.0,-0.0,0.0,0.0,0.0,0.0,-14846.533286713951
t136,14918.663015970602,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14918.663015970602
t137,4779.942354734941,11008.341059034152,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15788.283413769092
t138,4426.932282064756,12195.414620714333,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16622.34690277909
