Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t815,0.0,5234.926711299418,4377.121398734057,11168.318167560847,0.0,2323.9413311272533,2906.18941525966,0.0,322.9560152632791,7385.675166859586,0.0,6462.869694189994,592.0459484396912,74.46322879390533,40848.50707752769
t816,0.0,5234.926711299418,4377.121398734057,8738.969386198723,0.0,2323.9413311272533,2274.030874605326,0.0,322.9560152632791,7119.2594722012045,0.0,6461.2774441267775,592.0459484396912,74.44148346625927,37518.970065461996
t817,0.0,5234.926711299418,4377.121398734057,11823.396306666575,0.0,2323.9413311272533,3076.6520691234023,0.0,322.9560152632791,7362.555119151687,0.0,6462.950198981639,591.8482527266817,74.39496007981178,41650.74236315381
t818,0.0,5234.926711299418,4377.121398734057,12631.707033436676,0.0,2323.9413311272533,3286.988490698787,0.0,322.9560152632791,7147.630872209926,0.0,6462.839555462709,591.9614865467651,74.46322879390533,42454.536123572776
t819,0.0,5234.926711299418,4377.121398734057,13054.413028802448,0.0,2323.9413311272533,3396.983896548431,0.0,322.9560152632791,7019.108544966703,0.0,6463.303145832935,592.0459484396912,74.42909443685856,42859.229115451075
t820,0.0,5234.926711299418,4377.121398734057,11370.814814538042,0.0,2323.9413311272533,2958.88254266178,0.0,322.9560152632791,6428.81757376123,0.0,6462.4866775935125,591.9823183773007,74.42909443685856,40146.35847779274
t821,0.0,5234.926711299418,4377.121398734057,12283.807023626312,0.0,2323.9413311272533,3196.4588952028134,0.0,322.9560152632791,5743.485039911379,0.0,6463.099397028801,592.0459484396912,74.42909443685856,40612.270855069866
t822,0.0,5234.926711299418,4377.121398734057,11436.402415016733,1067.401591743324,2323.9413311272533,2975.9495698921737,1221.3942839043918,322.9560152632791,4703.212934873437,12.397590000000003,6464.070282195233,591.7745512934827,74.42909443685856,40805.977769779645
t823,0.0,5234.926711299418,4377.121398734057,4615.196556230333,746.5790343539121,2323.9413311272533,1200.9539108598606,1063.0831630526834,322.9560152632791,3705.821482629496,8.67132,6463.283432777981,592.0459484396912,74.46322879390533,30729.04353356188
t824,0.0,5234.926711299418,4377.121398734057,2033.2689341690855,1896.5515792055028,2323.9413311272533,529.0917187533012,2391.937116868538,322.9560152632791,3741.43140401814,22.02795,6459.660894900393,592.0459484396912,74.46322879390533,29999.424231572564
t825,0.0,5234.926711299418,4377.121398734057,1171.5314062073553,3311.4392652794495,2323.9413311272533,304.852720103663,3865.6697327971674,322.9560152632791,3836.9728905705415,38.4615,6461.816335775257,592.0459484396912,74.38876556511143,31916.12402116225
t826,0.0,5234.926711299418,4377.121398734057,374.28770727781585,4383.141427497162,2323.9413311272533,97.39613044979704,4949.861045296746,322.9560152632791,4707.325837437072,50.909040000000005,6460.743159301129,592.0459484396912,74.38876556511143,33949.04451768853
t827,0.0,5234.926711299418,4377.121398734057,18.821910045970487,5166.705367930819,2323.9413311272533,4.897786303174002,5680.970585230089,322.9560152632791,5809.738120823724,60.009930000000004,6463.126040865316,592.0459484396912,74.46322879390533,36129.7243748567
t828,0.0,5234.926711299418,4377.121398734057,1786.033391853622,5427.319938678786,2323.9413311272533,464.7567575377304,5837.362783404808,322.9560152632791,6601.9517695758095,63.0369,6464.3990466357545,592.0459484396912,74.46322879390533,39570.31522134411
t829,0.0,5234.926711299418,4377.121398734057,2993.8435255606432,5292.282025782974,2323.9413311272533,779.0498295616006,5914.119690484423,322.9560152632791,7097.61619727313,61.46847,6464.3990466357545,592.0459484396912,74.44148346625927,41528.21167362849
t830,0.0,5234.926711299418,4377.121398734057,2220.6468155793855,5217.452099528608,2323.9413311272533,577.850682049144,5912.200767807432,322.9560152632791,5358.19111072019,60.599340000000005,6460.9662089531785,592.0459484396912,74.38876556511143,38733.287195066754
t831,0.0,5234.926711299418,4377.121398734057,5173.312898434463,4843.302468256774,2323.9413311272533,1346.1854293268282,5566.79468594916,322.9560152632791,7487.4209340625775,56.25369,6464.3990466357545,592.0459484396912,74.39973305788646,43863.06029058715
t832,0.0,5234.926711299418,4377.121398734057,8356.68482776735,4011.572138509961,2323.9413311272533,2174.5538252714855,4676.414563825612,322.9560152632791,7267.5693509003595,46.593360000000004,6463.604346648856,592.0459484396912,74.46322879390533,45922.44704658123
t833,0.0,5234.926711299418,4377.121398734057,9666.762383499656,2866.7602782276376,2323.9413311272533,2515.4586480492912,3600.858403372492,322.9560152632791,7147.932160472029,33.296670000000006,6464.3990466357545,592.0459484396912,74.46322879390533,45220.922223914466
t834,0.0,5234.654925122593,4377.121398734057,6569.082615519236,1444.9916793946688,2323.9413311272533,1709.3888335523404,2093.5446405965304,322.9560152632791,6009.442736378011,16.7832,6461.751537011088,592.0459484396912,74.43051597348423,37230.135377112245
t835,0.0,5234.50204539813,4377.121398734057,6092.626585783565,630.4636315454119,2323.9413311272533,1585.4067397688445,991.1235626655433,322.9560152632791,4982.099819402259,7.3226700000000005,6459.257277370899,591.4539024912515,74.46322879390533,33672.738208344395
t836,0.0,5234.50204539813,4377.121398734057,7621.158374960143,271.7960539813782,2323.9413311272533,1983.1571297510686,621.7309473448908,322.9560152632791,3915.212945132513,3.1568400000000003,6459.725419823834,591.8005722628525,74.41164066899691,33800.670714448395
t837,0.0,5234.50204539813,4377.121398734057,5899.727504303017,0.0,2323.9413311272533,1535.2110647888476,0.0,322.9560152632791,5475.951316193695,0.0,6458.682765655335,591.4539024912515,74.46322879390533,32294.010572748775
t838,0.0,5234.50204539813,4377.121398734057,8755.412719944143,0.0,2323.9413311272533,2278.3097142448805,0.0,322.9560152632791,5409.729365879026,0.0,6462.169359442584,592.0459484396912,74.38876556511143,35830.576664038155
t839,0.0,5234.7279676576145,4377.121398734057,9224.155928426877,0.0,2323.9413311272533,2400.2847986335164,0.0,322.9560152632791,6783.930626109862,0.0,6464.3990466357545,592.0459484396912,74.46322879390533,37798.026289821806
t840,0.0,5234.7279676576145,4377.121398734057,13337.20733688557,0.0,2323.9413311272533,3470.5718631980544,0.0,322.9560152632791,7358.797734877608,0.0,6464.3990466357545,592.0459484396912,74.46322879390533,43556.23187161279
t841,0.0,5234.926711299418,4377.121398734057,14348.615429231571,0.0,2323.9413311272533,3732.805833497356,0.0,322.9560152632791,8236.287061271796,0.0,6460.929592985121,592.0459484396912,74.46322879390533,45704.09255064345
t842,0.0,5234.926711299418,4377.121398734057,14358.041128394641,0.0,2323.9413311272533,3737.8017651362156,0.0,322.9560152632791,7716.490122161185,0.0,6463.872513706871,591.5448407489318,74.46322879390533,45201.15905536576
t843,0.0,5234.926711299418,4377.121398734057,14372.197468914366,0.0,2323.9413311272533,3737.3957800593207,0.0,322.9560152632791,7438.642612714426,0.0,6457.934647589119,592.0459484396912,74.42909443685856,44931.591008577794
t844,0.0,5234.926711299418,4377.121398734057,14360.174964233278,0.0,2323.9413311272533,3738.5572532921765,0.0,322.9560152632791,7270.3857051393325,0.0,6463.954407957533,591.4678706076312,74.42909443685856,44757.914752090815
t845,0.0,5234.926711299418,4377.121398734057,14362.851039471383,0.0,2323.9413311272533,3737.397091498037,0.0,322.9560152632791,7026.71476707578,0.0,6462.56691742649,592.0341258259874,74.39496007981178,44514.904357801504
t846,0.0,5234.926711299418,4377.121398734057,14371.86778283444,0.0,2323.9413311272533,3737.6371394145135,0.0,322.9560152632791,6438.970339413498,0.0,6457.934647589119,591.8784741572173,74.46322879390533,43931.6970686267
t847,0.0,5234.926711299418,4377.121398734057,14334.686127557536,0.0,2323.9413311272533,3731.724703550075,0.0,322.9560152632791,5994.289879900657,0.0,6463.5545355139775,591.4539024912515,74.42909443685856,43449.083699874354
t848,0.0,5234.926711299418,4377.121398734057,13632.52396166048,0.0,2323.9413311272533,3547.5121704197963,0.0,322.9560152632791,5666.500431695938,0.0,6462.972322742566,592.0459484396912,74.42909443685856,42234.929385819334
t849,0.0,5234.926711299418,4377.121398734057,14286.63405265152,2069.4345122759364,2323.9413311272533,3721.1798615187636,2287.355830972561,322.9560152632791,6034.711774497813,24.035940000000004,6464.009494361903,591.4539024912515,74.42909443685856,47812.18991963062
t850,0.0,5234.926711299418,4377.121398734057,14280.805777418916,4034.7952190716614,2323.9413311272533,3717.7129992683585,4526.7385950203625,322.9560152632791,6124.591902129433,46.86309000000001,6461.042130776668,592.0459484396912,74.39496007981178,52117.93607862891
t851,0.0,5234.926711299418,4377.121398734057,13107.759060765942,5429.040166868541,2323.9413311272533,3410.865456073545,6083.944347398074,322.9560152632791,6847.478667548519,63.05688,6459.627296632991,591.67677822898,74.46322879390533,54326.857338734495
t852,0.0,5234.926711299418,4377.121398734057,11595.304667310473,6092.1881340193095,2323.9413311272533,3017.2986823322467,6888.013917740792,322.9560152632791,7720.601989280304,70.75917000000001,6459.914535376142,592.0459484396912,74.42909443685856,54769.50159535982
t853,0.0,5234.926711299418,4377.121398734057,14365.382329495076,6186.800684455865,2323.9413311272533,3740.427526310155,7018.633404163028,322.9560152632791,7884.827410546341,71.85807000000001,6464.3990466357545,592.0459484396912,74.42909443685856,58657.748970906774
t854,0.0,5234.926711299418,4377.121398734057,13602.665282684355,6074.125738026875,2323.9413311272533,3541.9542759795077,6900.53449657777,322.9560152632791,7895.341331873116,70.54938,6464.3990466357545,592.0459484396912,74.42909443685856,57474.99005107793
t855,0.0,5234.926711299418,4377.121398734057,14343.876356786108,5269.919059316152,2323.9413311272533,3735.196634080152,6110.809264875939,322.9560152632791,8005.0813086626085,61.20873000000001,6464.3990466357545,592.0459484396912,74.39496007981178,56915.87676530023
t856,0.0,5234.926711299418,4377.121398734057,14358.044884748622,3790.522816126372,2323.9413311272533,3738.0410496730533,4511.387213604438,322.9560152632791,8142.434182657545,44.02593,6461.43573026169,591.7979338358678,74.46322879390533,53971.09842612551
t857,0.0,5234.926711299418,4377.121398734057,14363.549390649045,1705.6062501426359,2323.9413311272533,3739.2393635376056,2255.693606802219,322.9560152632791,8087.294194241434,19.810170000000003,6461.43573026169,591.7745512934827,74.42909443685856,49557.777807788974
t858,0.0,5234.926711299418,4377.121398734057,14212.078152060614,0.0,2323.9413311272533,3698.085113127758,0.0,322.9560152632791,7942.074906124193,0.0,6461.43573026169,591.7247806654003,74.42909443685856,45238.773233100525
t859,0.0,5234.926711299418,4377.121398734057,14269.935810609144,0.0,2323.9413311272533,3711.486694548355,0.0,322.9560152632791,8116.409059337387,0.0,6458.275453146646,591.7293611361143,74.42909443685856,45481.21092963852
t860,0.0,5234.926711299418,4377.121398734057,12902.880341209644,0.0,2323.9413311272533,3357.5524722156983,0.0,322.9560152632791,8133.891661636135,0.0,6461.230962237526,591.604329054306,74.39496007981178,43780.50018285713
t861,0.0,5234.926711299418,4377.121398734057,13559.598455376814,0.0,2323.9413311272533,3529.0180138725195,0.0,322.9560152632791,7980.465468074388,0.0,6461.742572581538,591.4539024912515,74.46322879390533,44455.68709761443
t862,0.0,5234.926711299418,4377.121398734057,11259.723266039688,0.0,2323.9413311272533,2929.97460168742,0.0,322.9560152632791,8047.385587935006,0.0,6460.900963411923,591.530709930736,74.42909443685856,41622.88967986564
