Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery,Total
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5962.335022624002,471.5210891517414,0.0,6433.856111775744
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5480.386147775359,592.0459484396912,74.46322879390533,6146.895325008956
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903.8741742548955,126.06062746545088,74.46322879390533,4104.398030514252
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.820292236055,0.0,40.32887174713243,2141.1491639831875
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.395522975833,0.0,0.0,1571.395522975833
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.40943835743332,0.0,0.0,202.40943835743332
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3313.1209517096177,581.1096015024798,74.46322879390533,3968.6937820060025
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.171641087214,193.32137682541057,52.71790114785151,3106.210919060476
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2556.4455037087946,113.4701443822479,74.46322879390533,2744.3788768849477
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.7011060860345,592.0459484396912,40.32887174713243,3409.075926272858
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827.596990610081,592.0459484396912,0.0,3419.642939049772
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4094.7471161724707,465.6400828400683,0.0,4560.387199012539
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5829.028225418598,592.0459484396912,74.46322879390533,6495.537402652195
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.852121976701,592.0459484396912,74.46322879390533,6567.361299210298
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4885.583526102114,320.6488022312019,12.389029400719064,5218.621357734034
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150.070153954368,320.6488022312019,0.0,4470.71895618557
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.621222729374,245.12542025876184,74.46322879390533,2473.2098717820413
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.795566671169,0.0,74.46322879390533,3196.2587954650744
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.7470175601131,0.0,52.71790114785151,1104.4649187079647
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2756.0780130694934,0.0,0.0,2756.0780130694934
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3398.0113506152456,543.9271522717797,0.0,3941.9385028870256
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.2556685871987,592.0459484396912,74.46322879390533,3162.764845820795
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.2071598614416,592.0459484396912,74.46322879390533,3982.716337095038
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3125.4686873742253,592.0459484396912,47.85256585972663,3765.367201673643
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3327.4325833620546,86.28853799611002,11.059849988484416,3424.780971346649
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4189.044137821185,0.0,74.46322879390533,4263.507366615091
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3683.1230422193244,335.7946932322599,40.32887174713243,4059.2466071987164
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4516.453336963774,34.94332563779001,40.32887174713243,4591.725534348696
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205.997277336902,0.0,40.32887174713243,3246.326149084034
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5267.25400865449,340.2380622817045,6.194514700359532,5613.686585636554
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839.8641456777486,304.06845252445646,74.46322879390533,4218.395826996111
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2934.2855816181805,501.9109394836885,40.32887174713243,3476.525392849001
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2924.5977221106095,0.0,40.32887174713243,2964.926593857742
