BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t159,52140.12633924906,866.2974360941271,-4898.067945343198,0.0,0.0,0.0,0.0,0.0,0.0,-55760.35583
t160,49040.35264,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56692.35264
t161,48880.04631,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56532.04631
t162,47738.27631,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55390.27631
t163,45549.147269999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53201.14727
t164,41279.463929926336,2668.2256400736633,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51599.68957
t165,35659.39698856267,5764.365381437325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49075.76237
t166,37799.24975,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45451.24975
t167,35944.72064332349,0.0,-1067.2347733234942,0.0,0.0,0.0,0.0,0.0,0.0,-42529.48587
t168,36472.88129838174,0.0,-4248.023158381746,0.0,0.0,0.0,0.0,0.0,0.0,-39876.85814
t169,32369.05787751665,0.0,-1734.5570675166528,0.0,0.0,0.0,0.0,0.0,0.0,-38286.50081
t170,29502.188589999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37154.18859
t171,28929.17392,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36581.17392
t172,32280.268227466055,0.0,-2714.696177466052,0.0,0.0,0.0,0.0,0.0,0.0,-37217.57205
t173,33524.88360563682,0.0,-2675.5781856368285,0.0,0.0,0.0,0.0,0.0,0.0,-38501.30542
t174,38750.125481437324,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-40637.7601
t175,33429.403162944196,2548.507927055809,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43629.91109
t176,33838.53628902222,5400.500180977779,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46891.03647
