,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t25,3410.401253677011,0.0,-734.5450244993297,0.0,-0.0,0.0,0.0,5500.219465588359,-50.07569476604075,-8125.999999999999,3570.1549544213017,31.956418607537866,-192.6544484161457,0.0,-0.0,0.0,0.0,-1081.8006931147152,-6.656231497978354,-2321.0,5569.838235741706,0.0,-0.0,0.0,-0.0,0.0,0.0,-4418.418772473643,-43.419463268062394,-1108.0
t26,3410.401253677011,0.0,-1689.1251377559054,0.0,-0.0,0.0,0.0,6176.037034382445,-55.31315030355139,-7842.0,3936.495461904283,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-1463.877476076316,-9.007118804283271,-2239.0,6793.440400800517,0.0,-965.97481099512,0.0,-0.0,0.0,0.0,-4712.159558306129,-46.306031499268116,-1069.0
t27,3410.401253677011,0.0,-1887.2299180917241,0.0,-0.0,0.0,0.0,6260.252429417073,-56.423765002361016,-7727.0,3826.98387590541,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-1386.8398960289126,-8.533112852814371,-2207.0,6941.277996532827,0.0,-965.97481099512,0.0,-0.0,0.0,0.0,-4873.41253338816,-47.890652149546646,-1054.0
t28,3410.401253677011,0.0,-1887.2299180917241,0.0,-0.0,0.0,0.0,6264.53236483369,-54.703700418977185,-7733.0,3899.702622120688,205.9257342383511,-18.68513278533242,0.0,-0.0,0.0,0.0,-1866.4590531361728,-11.48417043753404,-2209.0,5496.29284167896,0.0,-0.0,0.0,-0.0,0.0,0.0,-4398.073311697517,-43.219529981443145,-1055.0
t29,3410.401253677011,0.0,-1887.2299180917241,0.0,-0.0,0.0,0.0,6508.348392709594,-58.51972829488208,-7973.0,3990.658600565936,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-1479.9417724317343,-9.105961110518008,-2277.0,7130.795198457344,0.0,-965.97481099512,0.0,-0.0,0.0,0.0,-5028.4066202778595,-49.41376718436407,-1087.0
t30,3410.401253677011,0.0,-1548.8317340481124,0.0,-0.0,0.0,0.0,6905.321161231707,-62.89068086060112,-8704.0,3864.0387060523226,102.96286711917557,-121.64799990450798,0.0,-0.0,0.0,0.0,-1352.0346144749471,-8.318958792043269,-2485.0,6793.858268825317,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1186.0
t31,3410.401253677011,341.87188600134584,-0.0,0.0,-0.0,0.0,0.0,6341.146218741359,-59.41935841971582,-10034.0,3525.8670505465634,131.84025778919394,-0.0,0.0,-0.0,0.0,0.0,-787.8596719845996,-4.847636351157975,-2865.0,7014.623132619703,0.0,-38.76486379438493,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1368.0
t32,3410.401253677011,1871.8839216347874,-0.0,0.0,-0.0,0.0,0.0,5553.28654675676,-54.57172206855785,-10781.0,2918.029586792882,160.97041320711813,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3079.0,7921.957907109425,0.0,-845.0996382841076,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1469.0
t33,4107.498771661271,1212.8101482025945,-0.0,0.0,-0.0,0.0,0.0,5677.024149590313,-55.333069454178066,-10942.0,3025.88808319549,224.61086702368354,-0.0,0.0,-0.0,0.0,0.0,-123.73760283355317,-0.7613473856202218,-3126.0,7314.918182766396,0.0,-215.05991394107843,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1492.0
t34,5479.309942373416,0.0,-191.60786463005635,0.0,-0.0,0.0,0.0,5801.3962430656475,-56.09832080900619,-11033.0,3625.2471620730194,0.0,-224.61086702368354,0.0,-0.0,0.0,0.0,-248.1096963088875,-1.5265987404483357,-3151.0,7111.858268825317,0.0,-0.0,0.0,-0.0,0.0,0.0,-5553.28654675676,-54.57172206855785,-1504.0
