Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_natural_gas_H2_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
t942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59882.478543143814,-50188.940873671505,-51772.81493642275
t943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971366,-82784.40766357988,-86751.55838272866
t944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971366,-82784.40766357988,-86751.55838272866
t945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971366,-82784.40766357988,-86751.55838272866
t946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971365,-82784.40766357988,-86751.55838272866
t955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82605.33505971366,-82784.40766357988,-83342.98695010995
t956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.9324493153,-66486.67426862568,-67557.90094326633
t957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.9324493153,-66486.67426862568,-67557.90094326633
t958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66506.9324493153,-41864.180450044994,-44294.09453531491
t959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42340.82041555759,-41864.180450044994,-44294.09453531491
t966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
t973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41201.568948482156,-40710.82274558473,-43177.01585201791
