Zone,1,2,3
t60,91.03906331249968,92.16631104971235,89.26720738379687
t61,91.03906331249968,92.16631104971235,89.26720738379687
t62,91.03906331249968,92.16631104971235,89.26720738379687
t63,32.77661105749515,33.18245179556642,33.427190753298994
t64,32.77661105749515,33.18245179556642,32.13869332732631
t65,32.77661105749515,33.18245179556642,32.13869332732631
t66,32.77661105749515,33.18245179556642,32.13869332732631
t67,32.77661105749515,33.18245179556642,32.13869332732631
t68,32.77661105749515,33.18245179556642,32.13869332732631
t69,32.77661105749515,33.18245179556642,32.13869332732631
t70,32.77661105749515,33.18245179556642,32.13869332732631
t71,32.77661105749515,33.18245179556642,32.13869332732631
t72,28.282842348802543,27.93692669180685,27.732384994861253
t73,27.595241785040542,27.93692669180685,27.058166918694702
t74,27.595241785040542,27.93692669180685,27.058166918694702
t75,32.77661105749515,32.37573398834423,32.1386933273263
t76,0.3792315017816066,0.38392715479811107,0.1
t77,0.10198489006280309,0.10324766927394853,0.1
t78,0.10198489006280309,0.10324766927394853,0.1
t79,32.77661105749515,33.18245179556642,0.1
t80,32.77661105749515,33.18245179556642,0.1
t81,32.77661105749515,33.18245179556642,32.13869332732631
t82,41.559655910741206,42.074248508469395,40.75079738297355
t83,41.559655910741206,42.074248508469395,40.75079738297355
t84,41.559655910741206,42.074248508469395,40.75079738297355
t85,41.559655910741206,42.074248508469395,40.75079738297355
t86,41.559655910741206,42.074248508469395,40.75079738297355
t87,41.559655910741206,42.074248508469395,40.75079738297355
t88,32.77661105749515,33.18245179556642,32.13869332732631
t89,32.77661105749515,33.18245179556642,32.13869332732631
t90,32.77661105749515,33.18245179556642,0.1
t91,32.77661105749515,33.18245179556642,0.1
t92,32.77661105749515,33.18245179556642,0.1
t93,32.77661105749515,33.18245179556642,0.1
t94,32.77661105749515,32.37573398834422,0.1
t95,1.6200161599658336,1.6002024175064609,0.1
t96,1.275162346676741,1.2595663674789317,0.14194682959120275
t97,0.8677263668928402,0.8571135673518872,0.1
t98,0.38635115448275176,0.38162585453638326,0.1
t99,0.10198489006280309,0.1007375553778855,0.1
t100,0.10198489006280309,0.10073755537788584,0.1
t101,0.10198489006280273,0.1007375553778855,0.1
t102,0.10198489006280308,0.10073755537788583,0.1
t103,32.77661105749515,33.18245179556642,0.1
t104,32.77661105749515,32.37573398834423,0.1
t105,32.77661105749515,33.18245179556642,0.1
t106,32.77661105749515,33.18245179556642,0.1
t107,32.77661105749515,33.18245179556642,0.1
t108,52.63547943026408,53.287213124856294,0.1
t109,52.63547943026408,53.287213124856294,0.1
t110,52.63547943026408,53.287213124856294,0.1
t111,52.63547943026408,53.287213124856294,0.1
t112,52.63547943026408,53.287213124856294,0.1
t113,32.77661105749515,33.18245179556642,0.1
t114,32.77661105749515,33.18245179556642,0.1
t115,32.77661105749515,32.37573398834422,0.1
t116,32.77661105749515,33.18245179556642,0.1
t117,32.77661105749515,33.18245179556642,0.1
t118,32.77661105749515,33.18245179556642,0.1
t119,32.77661105749515,33.18245179556642,0.1
t120,16.3819974594206,16.584839721799415,0.1
t121,0.37695834776423953,0.38162585453638276,0.14194682959120275
t122,0.10198489006280273,0.1007375553778855,0.1
t123,0.10198489006280309,0.10073755537788584,0.1
t124,0.10198489006280273,0.10073755537788548,0.1
t125,0.10198489006280309,0.10073755537788584,0.1
t126,0.10198489006280312,0.10073755537788588,0.1
t127,32.77661105749515,32.37573398834423,33.427190753298994
t128,32.77661105749515,33.18245179556642,33.427190753298994
t129,32.77661105749515,33.18245179556642,33.427190753298994
t130,32.77661105749515,33.18245179556642,32.13869332732631
t131,37.255367290018334,37.716664088872086,37.994845373218695
t132,32.77661105749515,33.18245179556642,33.427190753298994
t133,37.255367290018334,37.716664088872086,37.994845373218695
t134,32.77661105749515,33.18245179556642,33.427190753298994
t135,32.77661105749515,33.18245179556642,33.427190753298994
t136,32.77661105749515,33.18245179556642,33.427190753298994
t137,32.77661105749515,33.18245179556642,33.427190753298994
t138,38.1014154471927,38.573188033428785,37.994845373218695
t139,32.77661105749515,33.18245179556642,32.13869332732631
t140,32.77661105749515,33.18245179556642,32.13869332732631
t141,38.1014154471927,38.57318803342878,37.359863234376746
t142,32.77661105749515,33.18245179556642,32.13869332732631
t143,32.77661105749515,33.18245179556642,32.13869332732631
t144,32.77661105749515,33.18245179556642,32.13869332732631
t145,32.77661105749515,33.18245179556642,32.13869332732631
t146,32.77661105749515,33.18245179556642,32.1386933273263
t147,32.77661105749516,33.18245179556642,32.13869332732631
t148,32.77661105749515,33.18245179556642,32.13869332732631
t149,32.77661105749515,33.18245179556642,32.13869332732631
t150,32.77661105749515,33.18245179556642,32.13869332732631
t151,32.77661105749515,33.18245179556642,33.427190753298994
t152,32.77661105749515,33.18245179556642,32.13869332732631
t153,53.4136349142233,54.075003747585356,52.37406725773865
t154,76.45536556943516,77.40203763195495,74.96734616505776
t155,76.45536556943516,77.40203763195495,74.96734616505776
t156,76.45536556943516,77.40203763195495,74.96734616505776
t157,76.45536556943516,77.40203763195495,74.96734616505776
t158,76.45536556943516,77.40203763195495,74.96734616505776
t159,65.23939444096118,66.04719009575896,63.969666879854714
t160,65.23939444096118,66.04719009575896,63.969666879854714
t161,76.45536556943516,77.40203763195495,74.96734616505776
t162,76.45536556943516,77.40203763195495,74.96734616505776
t163,76.45536556943516,77.40203763195495,74.96734616505776
t164,76.45536556943516,77.40203763195495,74.96734616505776
t165,76.45536556943516,77.40203763195495,74.96734616505776
t166,32.77661105749515,33.18245179556642,32.13869332732631
t167,32.77661105749515,33.18245179556642,32.13869332732631
t168,16.659957668342916,16.456196669667715,16.335711749145965
t169,0.10198489006280305,0.10073755537788578,0.09999999999999998
t170,0.1019848900628035,0.10073755537788623,0.10000000000000042
t171,0.1019848900628031,0.10073755537788584,0.10000000000000002
t172,0.1019848900628031,0.10073755537788585,0.1
t173,0.1019848900628031,0.10073755537788584,0.10000000000000002
t174,29.461611057495155,29.10127837171273,28.888211811918875
t175,29.461611057495155,29.82640539072773,28.888211811918875
t176,29.461611057495155,29.826405390727725,28.88821181191887
t177,62.55972501211003,63.33434093954418,61.3421507574164
t178,62.55972501211003,63.33434093954418,61.3421507574164
