Time_Index,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
106,1.0,1.0,1.0,1.0,0.4112,1.0,1.0
107,1.0,1.0,1.0,1.0,0.5551,1.0,1.0
108,1.0,1.0,1.0,1.0,0.6202,1.0,1.0
109,1.0,1.0,1.0,1.0,0.6322,1.0,1.0
110,1.0,1.0,1.0,1.0,0.6454,1.0,1.0
111,1.0,1.0,1.0,1.0,0.582,1.0,1.0
112,1.0,1.0,1.0,1.0,0.4182,1.0,1.0
113,1.0,1.0,1.0,1.0,0.1694,1.0,1.0
114,1.0,1.0,1.0,1.0,0.0,1.0,1.0
115,1.0,1.0,1.0,1.0,0.0,1.0,1.0
116,1.0,1.0,1.0,1.0,0.0,1.0,1.0
117,1.0,1.0,1.0,1.0,0.0,1.0,1.0
118,1.0,1.0,1.0,1.0,0.0,1.0,1.0
119,1.0,1.0,1.0,1.0,0.0,1.0,1.0
120,1.0,1.0,1.0,1.0,0.0,1.0,1.0
121,1.0,1.0,1.0,1.0,0.0,1.0,1.0
122,1.0,1.0,1.0,1.0,0.0,1.0,1.0
123,1.0,1.0,1.0,1.0,0.0,1.0,1.0
124,1.0,1.0,1.0,1.0,0.0,1.0,1.0
125,1.0,1.0,1.0,1.0,0.0,1.0,1.0
126,1.0,1.0,1.0,1.0,0.0,1.0,1.0
127,1.0,1.0,1.0,1.0,0.0,1.0,1.0
128,1.0,1.0,1.0,1.0,0.0,1.0,1.0
129,1.0,1.0,1.0,1.0,0.2238,1.0,1.0
130,1.0,1.0,1.0,1.0,0.4608,1.0,1.0
131,1.0,1.0,1.0,1.0,0.6129,1.0,1.0
132,1.0,1.0,1.0,1.0,0.681,1.0,1.0
133,1.0,1.0,1.0,1.0,0.7075,1.0,1.0
134,1.0,1.0,1.0,1.0,0.6971,1.0,1.0
135,1.0,1.0,1.0,1.0,0.6128,1.0,1.0
136,1.0,1.0,1.0,1.0,0.4488,1.0,1.0
137,1.0,1.0,1.0,1.0,0.217,1.0,1.0
138,1.0,1.0,1.0,1.0,0.0,1.0,1.0
139,1.0,1.0,1.0,1.0,0.0,1.0,1.0
140,1.0,1.0,1.0,1.0,0.0,1.0,1.0
141,1.0,1.0,1.0,1.0,0.0,1.0,1.0
142,1.0,1.0,1.0,1.0,0.0,1.0,1.0
143,1.0,1.0,1.0,1.0,0.0,1.0,1.0
144,1.0,1.0,1.0,1.0,0.0,1.0,1.0
145,1.0,1.0,1.0,1.0,0.0,1.0,1.0
146,1.0,1.0,1.0,1.0,0.0,1.0,1.0
147,1.0,1.0,1.0,1.0,0.0,1.0,1.0
148,1.0,1.0,1.0,1.0,0.0,1.0,1.0
149,1.0,1.0,1.0,1.0,0.0,1.0,1.0
150,1.0,1.0,1.0,1.0,0.0,1.0,1.0
151,1.0,1.0,1.0,1.0,0.0,1.0,1.0
152,1.0,1.0,1.0,1.0,0.0,1.0,1.0
153,1.0,1.0,1.0,1.0,0.0338,1.0,1.0
154,1.0,1.0,1.0,1.0,0.1381,1.0,1.0
155,1.0,1.0,1.0,1.0,0.2102,1.0,1.0
156,1.0,1.0,1.0,1.0,0.2284,1.0,1.0
157,1.0,1.0,1.0,1.0,0.2429,1.0,1.0
158,1.0,1.0,1.0,1.0,0.2345,1.0,1.0
159,1.0,1.0,1.0,1.0,0.196,1.0,1.0
160,1.0,1.0,1.0,1.0,0.1088,1.0,1.0
161,1.0,1.0,1.0,1.0,0.0095,1.0,1.0
162,1.0,1.0,1.0,1.0,0.0,1.0,1.0
163,1.0,1.0,1.0,1.0,0.0,1.0,1.0
164,1.0,1.0,1.0,1.0,0.0,1.0,1.0
165,1.0,1.0,1.0,1.0,0.0,1.0,1.0
166,1.0,1.0,1.0,1.0,0.0,1.0,1.0
167,1.0,1.0,1.0,1.0,0.0,1.0,1.0
168,1.0,1.0,1.0,1.0,0.0,1.0,1.0
169,1.0,1.0,1.0,1.0,0.0,1.0,1.0
170,1.0,1.0,1.0,1.0,0.0,1.0,1.0
171,1.0,1.0,1.0,1.0,0.0,1.0,1.0
172,1.0,1.0,1.0,1.0,0.0,1.0,1.0
173,1.0,1.0,1.0,1.0,0.0,1.0,1.0
174,1.0,1.0,1.0,1.0,0.0,1.0,1.0
175,1.0,1.0,1.0,1.0,0.0,1.0,1.0
176,1.0,1.0,1.0,1.0,0.0,1.0,1.0
177,1.0,1.0,1.0,1.0,0.2679,1.0,1.0
178,1.0,1.0,1.0,1.0,0.4889,1.0,1.0
179,1.0,1.0,1.0,1.0,0.6489,1.0,1.0
180,1.0,1.0,1.0,1.0,0.7238,1.0,1.0
181,1.0,1.0,1.0,1.0,0.7197,1.0,1.0
182,1.0,1.0,1.0,1.0,0.6822,1.0,1.0
183,1.0,1.0,1.0,1.0,0.5905,1.0,1.0
184,1.0,1.0,1.0,1.0,0.44,1.0,1.0
185,1.0,1.0,1.0,1.0,0.238,1.0,1.0
186,1.0,1.0,1.0,1.0,0.0,1.0,1.0
187,1.0,1.0,1.0,1.0,0.0,1.0,1.0
188,1.0,1.0,1.0,1.0,0.0,1.0,1.0
189,1.0,1.0,1.0,1.0,0.0,1.0,1.0
190,1.0,1.0,1.0,1.0,0.0,1.0,1.0
