Time_Index,ng,coal,biomass,nuclear,None
316,3.6,1.95,1.02,0.66,0
317,3.6,1.95,1.02,0.66,0
318,3.6,1.95,1.02,0.66,0
319,3.6,1.95,1.02,0.66,0
320,3.6,1.95,1.02,0.66,0
321,3.6,1.95,1.02,0.66,0
322,3.6,1.95,1.02,0.66,0
323,3.6,1.95,1.02,0.66,0
324,3.6,1.95,1.02,0.66,0
325,3.6,1.95,1.02,0.66,0
326,3.6,1.95,1.02,0.66,0
327,3.6,1.95,1.02,0.66,0
328,3.6,1.95,1.02,0.66,0
329,3.6,1.95,1.02,0.66,0
330,3.6,1.95,1.02,0.66,0
331,3.6,1.95,1.02,0.66,0
332,3.6,1.95,1.02,0.66,0
333,3.6,1.95,1.02,0.66,0
334,3.6,1.95,1.02,0.66,0
335,3.6,1.95,1.02,0.66,0
336,3.6,1.95,1.02,0.66,0
337,3.6,1.95,1.02,0.66,0
338,3.6,1.95,1.02,0.66,0
339,3.6,1.95,1.02,0.66,0
340,3.6,1.95,1.02,0.66,0
341,3.6,1.95,1.02,0.66,0
342,3.6,1.95,1.02,0.66,0
343,3.6,1.95,1.02,0.66,0
344,3.6,1.95,1.02,0.66,0
345,3.6,1.95,1.02,0.66,0
346,3.6,1.95,1.02,0.66,0
347,3.6,1.95,1.02,0.66,0
348,3.6,1.95,1.02,0.66,0
349,3.6,1.95,1.02,0.66,0
350,3.6,1.95,1.02,0.66,0
351,3.6,1.95,1.02,0.66,0
352,3.6,1.95,1.02,0.66,0
353,3.6,1.95,1.02,0.66,0
354,3.6,1.95,1.02,0.66,0
355,3.6,1.95,1.02,0.66,0
356,3.6,1.95,1.02,0.66,0
357,3.6,1.95,1.02,0.66,0
358,3.6,1.95,1.02,0.66,0
359,3.6,1.95,1.02,0.66,0
360,3.6,1.95,1.02,0.66,0
361,3.6,1.95,1.02,0.66,0
362,3.6,1.95,1.02,0.66,0
363,3.6,1.95,1.02,0.66,0
364,3.6,1.95,1.02,0.66,0
365,3.6,1.95,1.02,0.66,0
366,3.6,1.95,1.02,0.66,0
367,3.6,1.95,1.02,0.66,0
368,3.6,1.95,1.02,0.66,0
369,3.6,1.95,1.02,0.66,0
370,3.6,1.95,1.02,0.66,0
371,3.6,1.95,1.02,0.66,0
372,3.6,1.95,1.02,0.66,0
373,3.6,1.95,1.02,0.66,0
374,3.6,1.95,1.02,0.66,0
375,3.6,1.95,1.02,0.66,0
376,3.6,1.95,1.02,0.66,0
377,3.6,1.95,1.02,0.66,0
378,3.6,1.95,1.02,0.66,0
379,3.6,1.95,1.02,0.66,0
380,3.6,1.95,1.02,0.66,0
381,3.6,1.95,1.02,0.66,0
382,3.6,1.95,1.02,0.66,0
383,3.6,1.95,1.02,0.66,0
384,3.6,1.95,1.02,0.66,0
385,3.6,1.95,1.02,0.66,0
386,3.6,1.95,1.02,0.66,0
387,3.6,1.95,1.02,0.66,0
388,3.6,1.95,1.02,0.66,0
389,3.6,1.95,1.02,0.66,0
390,3.6,1.95,1.02,0.66,0
391,3.6,1.95,1.02,0.66,0
392,3.6,1.95,1.02,0.66,0
393,3.6,1.95,1.02,0.66,0
394,3.6,1.95,1.02,0.66,0
395,3.6,1.95,1.02,0.66,0
396,3.6,1.95,1.02,0.66,0
397,3.6,1.95,1.02,0.66,0
398,3.6,1.95,1.02,0.66,0
399,3.6,1.95,1.02,0.66,0
400,3.6,1.95,1.02,0.66,0
401,3.6,1.95,1.02,0.66,0
402,3.6,1.95,1.02,0.66,0
403,3.6,1.95,1.02,0.66,0
404,3.6,1.95,1.02,0.66,0
405,3.6,1.95,1.02,0.66,0
406,3.6,1.95,1.02,0.66,0
407,3.6,1.95,1.02,0.66,0
408,3.6,1.95,1.02,0.66,0
409,3.6,1.95,1.02,0.66,0
410,3.6,1.95,1.02,0.66,0
411,3.6,1.95,1.02,0.66,0
412,3.6,1.95,1.02,0.66,0
413,3.6,1.95,1.02,0.66,0
414,3.6,1.95,1.02,0.66,0
415,3.6,1.95,1.02,0.66,0
416,3.6,1.95,1.02,0.66,0
417,3.6,1.95,1.02,0.66,0
418,3.6,1.95,1.02,0.66,0
419,3.6,1.95,1.02,0.66,0
420,3.6,1.95,1.02,0.66,0
421,3.6,1.95,1.02,0.66,0
422,3.6,1.95,1.02,0.66,0
423,3.6,1.95,1.02,0.66,0
424,3.6,1.95,1.02,0.66,0
425,3.6,1.95,1.02,0.66,0
426,3.6,1.95,1.02,0.66,0
427,3.6,1.95,1.02,0.66,0
428,3.6,1.95,1.02,0.66,0
429,3.6,1.95,1.02,0.66,0
430,3.6,1.95,1.02,0.66,0
431,3.6,1.95,1.02,0.66,0
432,3.6,1.95,1.02,0.66,0
433,3.6,1.95,1.02,0.66,0
434,3.6,1.95,1.02,0.66,0
435,3.6,1.95,1.02,0.66,0
436,3.6,1.95,1.02,0.66,0
437,3.6,1.95,1.02,0.66,0
438,3.6,1.95,1.02,0.66,0
