Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind
48,1,0,1,0.570720732,0,1,0.798049688
49,1,0,1,0.616125405,0,1,0.865914464
50,1,0,1,0.687053382,0,1,0.807153344
51,1,0,1,0.553053379,0,1,0.573096633
52,1,0,1,0.677880645,0,1,0.476775587
53,1,0,1,0.80630821,0,1,0.574992657
54,1,0,1,0.801423192,0,1,0.604182601
55,1,0,1,0.736126423,0,1,0.744862914
56,1,0,1,0.630956411,0,1,0.792550921
57,1,0.2147,1,0.731341124,0.1899,1,0.87292397
58,1,0.436,1,0.992636561,0.4305,1,0.912224948
59,1,0.5787,1,1,0.5707,1,0.980872095
60,1,0.632,1,1,0.6554,1,0.994781852
61,1,0.6451,1,1,0.6621,1,0.988758683
62,1,0.6207,1,1,0.6529,1,0.998735309
63,1,0.5504,1,1,0.5731,1,0.996199667
64,1,0.3781,1,0.999652565,0.4127,1,0.983224452
65,1,0.1371,1,0.945950031,0.1725,1,0.998122811
66,1,0,1,0.987837434,0,1,0.997993112
67,1,0,1,1,0,1,0.997174382
68,1,0,1,0.958051622,0,1,0.987223804
69,1,0,1,1,0,1,0.981596351
70,1,0,1,0.996488094,0,1,0.992870092
71,1,0,1,0.997731447,0,1,0.954669297
72,1,0,1,0.997055888,0,1,0.9347471
73,1,0,1,1,0,1,0.978952587
74,1,0,1,0.999057055,0,1,0.945270836
75,1,0,1,0.964799762,0,1,0.929749548
76,1,0,1,0.929325104,0,1,0.909057319
77,1,0,1,0.906229854,0,1,0.901528418
78,1,0,1,0.809327066,0,1,0.910134673
79,1,0,1,0.651830137,0,1,0.867187142
80,1,0,1,0.48080951,0,1,0.876390636
81,1,0.2277,1,0.378751755,0.2204,1,0.823099732
82,1,0.4502,1,0.383687705,0.4435,1,0.801250398
83,1,0.6046,1,0.43698281,0.5641,1,0.801717401
84,1,0.6791,1,0.027345492,0.6709,1,0.240071028
85,1,0.6728,1,0.000123209,0.6513,1,0.299450189
86,1,0.6482,1,5.38E-05,0.6024,1,0.186628819
87,1,0.528,1,6.64E-05,0.4635,1,0.105973914
88,1,0.3343,1,0.002060085,0.305,1,0.071392164
89,1,0.028,1,5.04E-05,0.0783,1,0.033698864
90,1,0,1,0.097491965,0,1,0.225880757
91,1,0,1,0.291266352,0,1,0.277302444
92,1,0,1,0.210415676,0,1,0.370590001
93,1,0,1,0.223368809,0,1,0.342927366
94,1,0,1,0.409326077,0,1,0.468558729
95,1,0,1,0.685454428,0,1,0.585748136
96,1,0,1,0.560226202,0,1,0.687084079
97,1,0,1,0.414616615,0,1,0.582934856
98,1,0,1,0.492882252,0,1,0.574557364
99,1,0,1,0.543901205,0,1,0.535381913
100,1,0,1,0.584094465,0,1,0.601786137
101,1,0,1,0.575396657,0,1,0.5711748
102,1,0,1,0.222339511,0,1,0.524353385
103,1,0,1,0.063489825,0,1,0.469980359
104,1,0,1,0.034827486,0,1,0.364646316
105,1,0.1033,1,0.0359466,0.1154,1,0.391142845
106,1,0.2804,1,0.168909371,0.2997,1,0.372059673
107,1,0.4372,1,0.119043224,0.4896,1,0.292032659
108,1,0.5913,1,0.057592459,0.5795,1,0.214939833
109,1,0.5349,1,0.084502511,0.5517,1,0.320211053
110,1,0.4854,1,0.249637455,0.4408,1,0.390997708
111,1,0.3973,1,0.350143909,0.4072,1,0.371668875
112,1,0.2948,1,0.742475271,0.3063,1,0.564464331
113,1,0.0897,1,0.870121062,0.1054,1,0.659781039
114,1,0,1,0.958805382,0,1,0.668345809
115,1,0,1,0.799080312,0,1,0.775924802
116,1,0,1,0.399789095,0,1,0.654665828
117,1,0,1,0.343781441,0,1,0.754780889
118,1,0,1,0.002315517,0,1,0.167690724
119,1,0,1,0.094827555,0,1,0.573313653
120,1,0,1,0.031066958,0,1,0.43366161
121,1,0,1,0.097598262,0,1,0.349793971
122,1,0,1,0.058144085,0,1,0.266512692
123,1,0,1,0.142925054,0,1,0.180226371
124,1,0,1,0.373674929,0,1,0.118735507
125,1,0,1,0.434153348,0,1,0.091907203
126,1,0,1,0.435889482,0,1,0.070327573
127,1,0,1,0.563583791,0,1,0.099923894
128,1,0,1,0.845474541,0,1,0.154476166
129,1,0.1023,1,0.694941878,0.139,1,0.193684876
130,1,0.2939,1,0.832901537,0.4082,1,0.242370129
131,1,0.5036,1,0.784772754,0.5689,1,0.246076912
132,1,0.62,1,0.584573805,0.6386,1,0.237035424
133,1,0.5947,1,0.526055634,0.5749,1,0.226963848
134,1,0.4261,1,0.535089731,0.557,1,0.258899093
135,1,0.3649,1,0.20891723,0.3724,1,0.195579961
136,1,0.1992,1,0.3200486,0.1936,1,0.375185788
137,1,0.0151,1,0.762181401,0.0704,1,0.408885181
138,1,0,1,0.967575073,0,1,0.427647233
139,1,0,1,0.947055817,0,1,0.428736746
140,1,0,1,0.922798336,0,1,0.413813174
141,1,0,1,0.981649756,0,1,0.354275286
142,1,0,1,0.987221539,0,1,0.335782766
143,1,0,1,0.972513497,0,1,0.419259131
144,1,0,1,0.921534657,0,1,0.374869168
145,1,0,1,0.942537785,0,1,0.301030874
146,1,0,1,0.942126811,0,1,0.325035155
147,1,0,1,0.740993917,0,1,0.387509257
148,1,0,1,0.56838423,0,1,0.436268449
149,1,0,1,0.254551947,0,1,0.409830958
150,1,0,1,0.088092998,0,1,0.362387031
151,1,0,1,0.153454423,0,1,0.333725303
152,1,0,1,0.125184193,0,1,0.27631855
153,1,0.1883,1,0.232314631,0.1888,1,0.156356975
154,1,0.4067,1,0.527668715,0.418,1,0.096909747
155,1,0.5478,1,0.643087626,0.5584,1,0.082197607
156,1,0.6386,1,0.444231838,0.6543,1,0.094594836
157,1,0.6504,1,0.497035325,0.6701,1,0.102840483
158,1,0.6311,1,0.564896762,0.647,1,0.105240457
159,1,0.5093,1,0.640720606,0.5124,1,0.067702353
160,1,0.299,1,0.400899559,0.316,1,0.140837073
161,1,0.0553,1,0.538941324,0.1148,1,0.161545038
162,1,0,1,0.923362017,0,1,0.168319955
163,1,0,1,0.840292275,0,1,0.248747885
164,1,0,1,0.243614614,0,1,0.357263148
165,1,0,1,0.643543959,0,1,0.407699734
166,1,0,1,0.796087563,0,1,0.559159398
167,1,0,1,0.903208315,0,1,0.730784357
168,1,0,1,0.935438216,0,1,0.753751397
169,1,0,1,0.997932076,0,1,0.818970919
170,1,0,1,0.982208312,0,1,0.724056244
171,1,0,1,0.986259937,0,1,0.717351198
172,1,0,1,0.994179308,0,1,0.723726153
173,1,0,1,0.966724813,0,1,0.723625481
174,1,0,1,0.938414276,0,1,0.731772125
175,1,0,1,0.819656253,0,1,0.790290594
176,1,0,1,0.804335475,0,1,0.554285526
177,1,0.2056,1,0.796525359,0.1964,1,0.616902471
178,1,0.4097,1,0.6475963,0.35,1,0.659731388
179,1,0.5584,1,0.803939998,0.4004,1,0.512989461
180,1,0.4656,1,0.813347638,0.5397,1,0.467998236
181,1,0.5802,1,0.786184669,0.5759,1,0.373288602
182,1,0.5964,1,0.809754848,0.508,1,0.438009381
183,1,0.5111,1,0.920710862,0.4839,1,0.587767482
184,1,0.3605,1,0.424674869,0.3378,1,0.65806514
185,1,0.1202,1,0.673590124,0.1348,1,0.666335702
186,1,0,1,0.722590208,0,1,0.702498555
187,1,0,1,0.807032704,0,1,0.735339999
188,1,0,1,0.794338346,0,1,0.639792442
189,1,0,1,0.920866907,0,1,0.592087984
190,1,0,1,0.775906444,0,1,0.523823261
191,1,0,1,0.790116549,0,1,0.516953051
192,1,0,1,0.313982964,0,1,0.425170183
193,1,0,1,0.228863105,0,1,0.42695722
194,1,0,1,0.186610132,0,1,0.299720883
195,1,0,1,0.168072969,0,1,0.244982213
196,1,0,1,0.099481188,0,1,0.266644388
197,1,0,1,0.07131198,0,1,0.336548865
198,1,0,1,0.141474232,0,1,0.403077483
199,1,0,1,0.174716681,0,1,0.409066558
200,1,0,1,0.109989181,0,1,0.39652282
201,1,0.1584,1,0.090794012,0.1776,1,0.398093283
202,1,0.3603,1,0.030788897,0.3604,1,0.361599565
203,1,0.4586,1,0.016659057,0.4766,1,0.296996891
204,1,0.4847,1,0.026496863,0.5273,1,0.182485133
205,1,0.5907,1,0.016100235,0.6539,1,0.123761773
206,1,0.7654,1,0.063318081,0.7914,1,0.1468952
207,1,0.5757,1,0.212307662,0.5949,1,0.240729049
208,1,0.4019,1,0.184758514,0.4277,1,0.319725215
209,1,0.1541,1,0.409239978,0.1815,1,0.499451488
210,1,0,1,0.85537678,0,1,0.735057831
211,1,0,1,0.717418909,0,1,0.768220544
212,1,0,1,0.363580614,0,1,0.875060856
213,1,0,1,0.317670733,0,1,0.820344567
214,1,0,1,0.271577805,0,1,0.910065353
215,1,0,1,0.311569244,0,1,0.957307518
216,1,0,1,0.221334517,0,1,0.946516454
217,1,0,1,0.171090662,0,1,0.934381068
218,1,0,1,0.079606064,0,1,0.913996696
219,1,0,1,0.189559758,0,1,0.945908904
220,1,0,1,0.259287894,0,1,0.926405728
221,1,0,1,0.127237305,0,1,0.849615216
222,1,0,1,0.17743887,0,1,0.885867298
223,1,0,1,0.27053991,0,1,0.903562665
224,1,0,1,0.18752566,0,1,0.900292158
225,1,0.1709,1,0.695573568,0.1778,1,0.789421737
226,1,0.3428,1,0.131348357,0.3614,1,0.802557707
227,1,0.4545,1,0.239212155,0.4885,1,0.730632544
228,1,0.5223,1,0.310001045,0.5863,1,0.699638247
229,1,0.5971,1,0.416327089,0.5876,1,0.509494543
230,1,0.6098,1,0.421913445,0.5302,1,0.48682785
231,1,0.5176,1,0.579014182,0.4279,1,0.620525122
232,1,0.3503,1,0.643352985,0.2873,1,0.686781466
233,1,0.1105,1,0.790205538,0.1142,1,0.834916592
234,1,0,1,0.734749496,0,1,0.961258769
235,1,0,1,0.901278973,0,1,0.985307395
236,1,0,1,0.443615586,0,1,0.975257516
237,1,0,1,0.563726008,0,1,0.99187088
238,1,0,1,0.776801109,0,1,0.995504022
239,1,0,1,0.593942106,0,1,0.938395023
240,1,0,1,0.759970427,0,1,0.930854142
241,1,0,1,0.504448533,0,1,0.889441252
242,1,0,1,0.487716585,0,1,0.884310007
243,1,0,1,0.197554901,0,1,0.762876272
244,1,0,1,0.051789507,0,1,0.630009115
245,1,0,1,0.297564685,0,1,0.414530814
246,1,0,1,0.620805919,0,1,0.377632737
247,1,0,1,0.506251514,0,1,0.347323477
248,1,0,1,0.369528323,0,1,0.218754575
249,1,0.1904,1,0.075398572,0.1817,1,0.348196238
250,1,0.3998,1,0.052092776,0.3776,1,0.275951982
251,1,0.5013,1,0.000912532,0.5216,1,0.167353988
252,1,0.5482,1,0.003804801,0.6342,1,0.096209385
253,1,0.5471,1,0.004665192,0.6809,1,0.024136219
254,1,0.5638,1,0.034942862,0.6637,1,0.017962135
255,1,0.4942,1,0.130620405,0.5758,1,0.026331495
256,1,0.358,1,0.209739819,0.4076,1,0.050122589
257,1,0.1237,1,0.270353645,0.1352,1,0.076377168
258,1,0,1,0.587898731,0,1,0.160285532
259,1,0,1,0.801127791,0,1,0.250386924
260,1,0,1,0.471754193,0,1,0.234963924
261,1,0,1,0.497119367,0,1,0.377899528
262,1,0,1,0.433294594,0,1,0.383023888
263,1,0,1,0.464815438,0,1,0.388597429
264,1,0,1,0.495626986,0,1,0.359877288
265,1,0,1,0.773328662,0,1,0.376229882
266,1,0,1,0.922425091,0,1,0.42322576
267,1,0,1,0.975681365,0,1,0.425420642
268,1,0,1,0.998668909,0,1,0.474283308
269,1,0,1,0.96816361,0,1,0.513089657
270,1,0,1,0.995454729,0,1,0.691806316
271,1,0,1,0.987193763,0,1,0.568521321
272,1,0,1,0.9938519,0,1,0.524209619
273,1,0,1,0.997879922,0.0001,1,0.65563798
274,1,0.0026,1,0.994140625,0.0041,1,0.655473053
275,1,0.0598,1,0.999531507,0.0626,1,0.686019301
276,1,0.1045,1,1,0.0905,1,0.958478153
277,1,0.0515,1,1,0.1765,1,0.988630712
278,1,0.0671,1,0.999296963,0.3062,1,0.989668608
279,1,0.1956,1,0.987912178,0.369,1,0.97400701
280,1,0.1553,1,0.973082304,0.2813,1,0.943269491
281,1,0.0357,1,0.908562422,0.0903,1,0.918866634
282,1,0,1,0.863576651,0,1,0.912455797
283,1,0,1,0.441652387,0,1,0.918765068
284,1,0,1,0.133826673,0,1,0.914151609
285,1,0,1,0.18830952,0,1,0.914121866
286,1,0,1,0.080651544,0,1,0.886783063
287,1,0,1,0.102896959,0,1,0.897890389
288,1,0,1,0.292079359,0,1,0.725169301
289,1,0,1,0.240472272,0,1,0.664602697
290,1,0,1,0.247440055,0,1,0.570896208
291,1,0,1,0.237611532,0,1,0.460848123
292,1,0,1,0.436896056,0,1,0.481707722
293,1,0,1,0.34168756,0,1,0.280787885
294,1,0,1,0.466558039,0,1,0.166776717
295,1,0,1,0.813244164,0,1,0.205677763
296,1,0,1,0.302878886,0,1,0.300532162
297,1,0.0041,1,0.373046428,0.0067,1,0.267592192
298,1,0.0805,1,0.228007585,0.1502,1,0.422922343
299,1,0.2869,1,0.705251694,0.4189,1,0.396006346
300,1,0.4127,1,0.98025769,0.4948,1,0.389075994
301,1,0.5241,1,1,0.5722,1,0.531895161
302,1,0.5732,1,1,0.5483,1,0.695458591
303,1,0.4743,1,1,0.4087,1,0.841732681
304,1,0.305,1,1,0.313,1,0.831212223
305,1,0.0978,1,1,0.1318,1,0.771754384
306,1,0,1,1,0,1,0.859164715
307,1,0,1,1,0,1,0.964129448
308,1,0,1,1,0,1,0.989314437
309,1,0,1,1,0,1,0.997104347
310,1,0,1,1,0,1,0.989203095
311,1,0,1,1,0,1,0.999962449
312,1,0,1,0.990385175,0,1,1
313,1,0,1,0.974543273,0,1,1
314,1,0,1,1,0,1,1
315,1,0,1,0.998923659,0,1,0.996925354
316,1,0,1,1,0,1,0.980939925
317,1,0,1,0.9999156,0,1,0.995903492
318,1,0,1,0.989916205,0,1,0.986650288
319,1,0,1,0.989458561,0,1,0.967746377
320,1,0,1,0.752799571,0,1,0.973660171
321,1,0.1892,1,0.907200992,0.164,1,0.986133695
322,1,0.3808,1,0.940828919,0.3817,1,0.990893126
323,1,0.5055,1,0.985960245,0.5261,1,0.950878024
324,1,0.6058,1,0.993910849,0.6015,1,0.955344141
325,1,0.6621,1,0.985459149,0.6392,1,0.987513661
326,1,0.6563,1,0.984604716,0.6448,1,0.975212336
327,1,0.5704,1,0.991283655,0.5771,1,0.957569599
328,1,0.4009,1,0.977170289,0.422,1,0.991573811
329,1,0.1757,1,0.987855911,0.2093,1,0.948312104
330,1,0,1,0.838460803,0,1,0.950389743
331,1,0,1,0.869346082,0,1,0.958247781
332,1,0,1,0.794923484,0,1,0.927831471
333,1,0,1,0.913891792,0,1,0.979082227
334,1,0,1,0.940207124,0,1,0.989470422
335,1,0,1,0.90137291,0,1,0.985802889
336,1,0,1,0.939054847,0,1,0.985857069
337,1,0,1,0.998811007,0,1,0.988991022
338,1,0,1,0.999851406,0,1,0.926579535
339,1,0,1,1,0,1,0.893211186
340,1,0,1,1,0,1,0.873010397
341,1,0,1,1,0,1,0.843749166
342,1,0,1,1,0,1,0.773206413
343,1,0,1,0.998225033,0,1,0.719817936
344,1,0,1,0.949328542,0,1,0.680471957
345,1,0.2406,1,0.994878829,0.2384,1,0.724686265
346,1,0.4691,1,0.993906379,0.4718,1,0.735474169
347,1,0.6312,1,0.911872685,0.6341,1,0.822281063
348,1,0.7083,1,0.806655169,0.7179,1,0.927098632
349,1,0.7193,1,0.99997896,0.7315,1,0.946814895
350,1,0.7062,1,0.946918428,0.7192,1,0.948075414
351,1,0.6127,1,0.998580515,0.6369,1,0.961242318
352,1,0.4407,1,0.999340951,0.4702,1,0.977752447
353,1,0.1983,1,1,0.2351,1,0.971139312
354,1,0,1,0.98964864,0,1,0.953722835
355,1,0,1,0.993235052,0,1,0.974653244
356,1,0,1,0.898518324,0,1,0.976738095
357,1,0,1,0.944250226,0,1,0.958328366
358,1,0,1,0.784093738,0,1,0.966344357
359,1,0,1,0.894709051,0,1,0.97134763
360,1,0,1,0.854348719,0,1,0.975006104
361,1,0,1,0.965387285,0,1,0.983192205
362,1,0,1,0.954362154,0,1,0.957826257
363,1,0,1,0.922331035,0,1,0.91556865
364,1,0,1,0.844062388,0,1,0.915687263
365,1,0,1,0.802231789,0,1,0.844007134
366,1,0,1,0.828511536,0,1,0.770301104
367,1,0,1,0.583996654,0,1,0.751060247
368,1,0,1,0.202603534,0,1,0.69873786
369,1,0.2391,1,0.058440641,0.2371,1,0.694000363
370,1,0.4586,1,0.001883788,0.4656,1,0.494121283
371,1,0.6179,1,0.003065184,0.6211,1,0.302468121
372,1,0.6974,1,0.071478568,0.6556,1,0.140806243
373,1,0.6672,1,0.195936367,0.6465,1,0.066042975
374,1,0.6136,1,0.439520001,0.6058,1,0.120706722
375,1,0.4943,1,0.688237429,0.435,1,0.394359469
376,1,0.2741,1,0.875738084,0.2901,1,0.722384691
377,1,0.0666,1,0.916852057,0.1376,1,0.802013457
378,1,0,1,1,0,1,0.928440034
379,1,0,1,1,0,1,0.980508447
380,1,0,1,0.981884241,0,1,1
381,1,0,1,0.482720077,0,1,0.211268544
382,1,0,1,0.994872808,0,1,0.981729686
383,1,0,1,0.993279934,0,1,0.914292037
384,1,0,1,0.962603092,0,1,0.918717086
385,1,0,1,0.851262867,0,1,0.840904474
386,1,0,1,0.733260453,0,1,0.942228436
387,1,0,1,0.889862716,0,1,0.971532941
388,1,0,1,0.981966197,0,1,0.94686377
389,1,0,1,0.963828266,0,1,0.830248654
390,1,0,1,0.802278817,0,1,0.735838115
391,1,0,1,0.617577553,0,1,0.598002791
392,1,0,1,0.460653722,0,1,0.578174472
393,1,0.063,1,0.38251406,0.0851,1,0.410699368
394,1,0.2298,1,0.3961761,0.3003,1,0.253641337
395,1,0.3955,1,0.371211141,0.4133,1,0.161515325
396,1,0.4576,1,0.407442391,0.3578,1,0.143813014
397,1,0.4251,1,0.229040965,0.355,1,0.095633775
398,1,0.397,1,0.238406986,0.307,1,0.072829321
399,1,0.2726,1,0.381467015,0.2953,1,0.078589194
400,1,0.148,1,0.481076956,0.1986,1,0.165635929
401,1,0.0133,1,0.554682076,0.0092,1,0.287639439
402,1,0,1,0.525467098,0,1,0.542099476
403,1,0,1,0.815117538,0,1,0.795086622
404,1,0,1,0.698978364,0,1,0.921057999
405,1,0,1,0.809930027,0,1,0.811082602
406,1,0,1,0.880454421,0,1,0.802461147
407,1,0,1,0.960390031,0,1,0.814354539
408,1,0,1,0.90731144,0,1,0.823664665
409,1,0,1,0.970664501,0,1,0.854990482
410,1,0,1,0.972734034,0,1,0.884801865
411,1,0,1,0.999877095,0,1,0.943833709
412,1,0,1,1,0,1,0.979152799
413,1,0,1,1,0,1,0.975944519
414,1,0,1,1,0,1,0.996503949
415,1,0,1,1,0,1,1
416,1,0,1,1,0,1,1
417,1,0.2194,1,0.999924064,0.1986,1,1
418,1,0.4257,1,0.998786271,0.4033,1,1
419,1,0.5872,1,1,0.5454,1,1
420,1,0.6481,1,1,0.5963,1,1
421,1,0.6592,1,1,0.6098,1,1
422,1,0.6547,1,1,0.6572,1,1
423,1,0.5823,1,1,0.6051,1,1
424,1,0.4386,1,1,0.4694,1,1
425,1,0.2089,1,1,0.2449,1,1
426,1,0,1,1,0,1,1
427,1,0,1,0.999886274,0,1,1
428,1,0,1,0.99157542,0,1,0.999686539
429,1,0,1,0.962742686,0,1,0.999597847
430,1,0,1,0.913824022,0,1,0.975982428
431,1,0,1,0.833752632,0,1,0.94244796
432,1,0,1,0.649850965,0,1,0.952756107
433,1,0,1,0.627161443,0,1,0.929395556
434,1,0,1,0.217612281,0,1,0.900235772
435,1,0,1,0.116163731,0,1,0.866942644
436,1,0,1,0.272952229,0,1,0.741459072
437,1,0,1,0.277390778,0,1,0.600258589
438,1,0,1,0.26416716,0,1,0.417367399
439,1,0,1,0.073716134,0,1,0.207226366
440,1,0,1,0.038241033,0,1,0.15075615
441,1,0.2198,1,0.097082593,0.2185,1,0.118688792
442,1,0.4112,1,0.001447127,0.3732,1,0.004833708
443,1,0.5551,1,5.90E-05,0.5366,1,0.013554232
444,1,0.6202,1,0.00026092,0.6392,1,0.037889838
445,1,0.6322,1,0.005408939,0.6719,1,0.026628215
446,1,0.6454,1,0.025882183,0.6925,1,0.054959729
447,1,0.582,1,0.125935793,0.5905,1,0.044316772
448,1,0.4182,1,0.18762584,0.3985,1,0.085174516
449,1,0.1694,1,0.175286353,0.1216,1,0.294740826
450,1,0,1,0.130735457,0,1,0.302422374
451,1,0,1,0.059012618,0,1,0.263340175
452,1,0,1,0.076137081,0,1,0.379125297
453,1,0,1,0.417927891,0,1,0.68642652
454,1,0,1,0.335010946,0,1,0.734469175
455,1,0,1,0.261711657,0,1,0.73539865
456,1,0,1,0.185985401,0,1,0.691299915
457,1,0,1,0.215645924,0,1,0.583048582
458,1,0,1,0.305431753,0,1,0.587040126
459,1,0,1,0.296855569,0,1,0.542858481
460,1,0,1,0.429687113,0,1,0.510614693
461,1,0,1,0.552138925,0,1,0.45660311
462,1,0,1,0.611982286,0,1,0.427841127
463,1,0,1,0.952477038,0,1,0.436822176
464,1,0,1,0.94997865,0,1,0.484590083
465,1,0.2238,1,0.960820317,0.2158,1,0.577081442
466,1,0.4608,1,0.916780055,0.458,1,0.570028424
467,1,0.6129,1,0.995527506,0.6197,1,0.751542807
468,1,0.681,1,1,0.7022,1,0.85591507
469,1,0.7075,1,0.706549644,0.7162,1,0.619331539
470,1,0.6971,1,0.844171405,0.7045,1,0.672639489
471,1,0.6128,1,0.786879778,0.626,1,0.987169445
472,1,0.4488,1,0.720500171,0.4726,1,0.989231169
473,1,0.217,1,0.447472394,0.2484,1,0.974840343
474,1,0,1,0.345706671,0,1,0.87803185
475,1,0,1,0.369809151,0,1,0.903371572
476,1,0,1,0.554297388,0,1,0.937535048
477,1,0,1,0.792255223,0,1,0.923223376
478,1,0,1,0.62724638,0,1,0.899793744
479,1,0,1,0.336070687,0,1,0.880906224
480,1,0,1,0.155117512,0,1,0.858990669
481,1,0,1,0.115278736,0,1,0.872609735
482,1,0,1,0.155447826,0,1,0.714520395
483,1,0,1,0.072547182,0,1,0.685217142
484,1,0,1,0.144462854,0,1,0.526806712
485,1,0,1,0.183930919,0,1,0.356784225
486,1,0,1,0.203272656,0,1,0.252184272
487,1,0,1,0.239064619,0,1,0.259685755
488,1,0,1,0.094089612,0,1,0.117979489
489,1,0.0338,1,0.286774069,0.0205,1,0.06300465
490,1,0.1381,1,0.337916911,0.109,1,0.038277052
491,1,0.2102,1,0.487129182,0.1812,1,0.017246827
492,1,0.2284,1,0.663680077,0.211,1,0.007418282
493,1,0.2429,1,0.707178533,0.2366,1,0.011831271
494,1,0.2345,1,0.703727543,0.243,1,0.042469159
495,1,0.196,1,0.836910427,0.2089,1,0.040844813
496,1,0.1088,1,0.838694572,0.1287,1,0.065351136
497,1,0.0095,1,0.871360719,0.0039,1,0.115070559
498,1,0,1,0.667689741,0,1,0.248541042
499,1,0,1,0.593007982,0,1,0.304624259
500,1,0,1,0.333399504,0,1,0.392120481
501,1,0,1,0.333859414,0,1,0.615199924
502,1,0,1,0.497745693,0,1,0.693004847
503,1,0,1,0.374511361,0,1,0.695454478
504,1,0,1,0.71743232,0,1,0.617529869
505,1,0,1,0.65400058,0,1,0.651881099
506,1,0,1,0.640632212,0,1,0.662853241
507,1,0,1,0.674216628,0,1,0.688196063
508,1,0,1,0.591154337,0,1,0.530139506
509,1,0,1,0.498415291,0,1,0.557922244
510,1,0,1,0.539107561,0,1,0.685596406
511,1,0,1,0.597886682,0,1,0.675387621
512,1,0,1,0.524519503,0,1,0.555113554
513,1,0.2175,1,0.714665174,0.2258,1,0.545945764
514,1,0.4081,1,0.201284081,0.4428,1,0.233014196
515,1,0.5613,1,0.012974607,0.5538,1,0.115340397
516,1,0.5322,1,0.034633961,0.6097,1,0.066541314
517,1,0.5679,1,0.082750432,0.6059,1,0.047794882
518,1,0.5247,1,0.036179084,0.5139,1,0.032758825
519,1,0.4229,1,0.006105063,0.4232,1,0.059398096
520,1,0.3114,1,0.173815444,0.363,1,0.144726574
521,1,0.109,1,0.260041893,0.1806,1,0.365451872
522,1,0,1,0.468751878,0,1,0.650975525
523,1,0,1,0.784515142,0,1,0.780547857
524,1,0,1,0.355991662,0,1,0.814909935
525,1,0,1,0.604112744,0,1,0.783736229
526,1,0,1,0.527206779,0,1,0.812947273
527,1,0,1,0.685887396,0,1,0.777409554
528,1,0,1,0.618583739,0,1,0.804257452
529,1,0,1,0.674788058,0,1,0.832141697
530,1,0,1,0.91023761,0,1,0.825002253
531,1,0,1,0.839853764,0,1,0.878274798
532,1,0,1,0.8865906,0,1,0.925702214
533,1,0,1,0.94504863,0,1,0.900026917
534,1,0,1,0.863669157,0,1,0.867172003
535,1,0,1,0.646323919,0,1,0.851862907
536,1,0,1,0.25566262,0,1,0.962050557
537,1,0.109,1,0.324984014,0.1325,1,0.968221545
