Time_Index,MA_natural_gas,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
73,1.0,0.507622302,0.0,1.0,0.507622302,0.0,1.0,0.533729076,0.0,1.0,1.0,1.0
74,1.0,0.678049803,0.0,1.0,0.678049803,0.0,1.0,0.674548864,0.0,1.0,1.0,1.0
75,1.0,0.010443158,0.0,1.0,0.010443158,0.0,1.0,0.062698871,0.0,1.0,1.0,1.0
76,1.0,0.427970886,0.0,1.0,0.427970886,0.0,1.0,0.841359735,0.0,1.0,1.0,1.0
77,1.0,0.334010154,0.0,1.0,0.334010154,0.0,1.0,0.914813161,0.0,1.0,1.0,1.0
78,1.0,0.451444775,0.0,1.0,0.451444775,0.0,1.0,0.974680662,0.0,1.0,1.0,1.0
79,1.0,0.351748496,0.0008,1.0,0.351748496,0.0,1.0,0.978852689,0.0008,1.0,1.0,1.0
80,1.0,0.381634384,0.1746,1.0,0.381634384,0.157,1.0,0.922392011,0.1746,1.0,1.0,1.0
81,1.0,0.204491615,0.3796,1.0,0.204491615,0.3642,1.0,0.839634836,0.3796,1.0,1.0,1.0
82,1.0,0.022155629,0.555,1.0,0.022155629,0.5463,1.0,0.690602899,0.555,1.0,1.0,1.0
83,1.0,0.087142006,0.6824,1.0,0.087142006,0.6775,1.0,0.606630445,0.6824,1.0,1.0,1.0
84,1.0,0.034761738,0.6979,1.0,0.034761738,0.6949,1.0,0.617718577,0.6979,1.0,1.0,1.0
85,1.0,0.114951245,0.6999,1.0,0.114951245,0.6981,1.0,0.573944688,0.6999,1.0,1.0,1.0
86,1.0,0.093523912,0.6953,1.0,0.093523912,0.6977,1.0,0.547802687,0.6953,1.0,1.0,1.0
87,1.0,0.116833173,0.6556,1.0,0.116833173,0.6681,1.0,0.769956887,0.6556,1.0,1.0,1.0
88,1.0,0.247117937,0.5221,1.0,0.247117937,0.5478,1.0,0.80558908,0.5221,1.0,1.0,1.0
89,1.0,0.302383065,0.3484,1.0,0.302383065,0.3858,1.0,0.87547338,0.3484,1.0,1.0,1.0
90,1.0,0.435858846,0.1274,1.0,0.435858846,0.1707,1.0,0.963667393,0.1274,1.0,1.0,1.0
91,1.0,0.296017647,0.0,1.0,0.296017647,0.0,1.0,0.995695174,0.0,1.0,1.0,1.0
92,1.0,0.382669896,0.0,1.0,0.382669896,0.0,1.0,0.942333877,0.0,1.0,1.0,1.0
93,1.0,0.432901084,0.0,1.0,0.432901084,0.0,1.0,0.954547882,0.0,1.0,1.0,1.0
94,1.0,0.662971437,0.0,1.0,0.662971437,0.0,1.0,0.963854551,0.0,1.0,1.0,1.0
95,1.0,0.961305439,0.0,1.0,0.961305439,0.0,1.0,0.918889642,0.0,1.0,1.0,1.0
96,1.0,0.951534867,0.0,1.0,0.951534867,0.0,1.0,0.831322074,0.0,1.0,1.0,1.0
97,1.0,0.68373543,0.0,1.0,0.68373543,0.0,1.0,0.881467462,0.0,1.0,1.0,1.0
98,1.0,0.600812972,0.0,1.0,0.600812972,0.0,1.0,0.858075261,0.0,1.0,1.0,1.0
99,1.0,0.814034224,0.0,1.0,0.814034224,0.0,1.0,0.935281634,0.0,1.0,1.0,1.0
