Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
t10,777.4636788620936,525.6064040409057,-1130.0,-1172.0,-1480.0,1200.0,-716.0,2905.254077506478,-223.0,-300.0,120.65599191713173,2749.671601441553,716.0,-601.8732744511324,-600.0,-1912.0,2000.0,-598.5583118357285,-1732.0,1668.579630577705,-905.0,-956.0,-300.0,-2942.0,5283.0,1200.0,1484.8134918510034,2143.0,-792.0,2119.0,850.0262998105538,1433.0,-55.42304930130104,980.0,600.0,12340.216540419262
t11,1643.3448392018627,-337.0219056688628,-1130.0,-1172.0,-1480.0,1200.0,-716.0,3400.0,-223.0,195.74678472371377,968.8215885569995,1756.5117097713114,716.0,-1616.0,53.897944431710975,-1912.0,2000.0,-1400.0,-1229.5004146685776,1949.0,-905.0,-956.0,-300.0,-2942.0,5283.0,1200.0,1295.7440000330002,2143.0,-792.0,2119.0,532.0050394857807,1433.0,306.0584809880309,980.0,600.0,12664.60806685497
t12,790.212459040593,-1039.0,382.0089720404067,-1172.0,-843.7785523851625,1200.0,-716.0,3189.4420093062504,-223.0,-300.0,21.94402203440937,2471.663380998737,270.72292408955894,-543.9900781634094,-600.0,-1912.0,2000.0,-1400.0,-126.49105459360132,1949.0,-905.0,-956.0,-300.0,-2942.0,5283.0,1200.0,1098.3557213310037,2143.0,-264.82249349325286,2119.0,806.849286664499,1433.0,2181.6714093287083,980.0,600.0,15875.78800619874
t13,-516.5098348787351,148.1066260635087,538.4752394782262,-1172.0,-1103.6594065872973,1200.0,-716.0,1982.406415662175,223.0,-300.0,858.7592109374069,911.892222484294,716.0,-1616.0,600.0,-1502.6219681909408,718.078518161827,-1400.0,-1732.0,1949.0,432.4673025584378,-956.0,-300.0,-2942.0,5283.0,1200.0,2131.126072445175,2143.0,-792.0,2119.0,776.3700864033203,1433.0,2425.839868022597,980.0,600.0,14320.730352559995
t14,80.85094400312198,38.642333878671884,-60.16885959563645,-1066.0223152651574,-972.1545022990252,1200.0,716.0,1798.1318096039276,-223.0,300.0,-726.8482211573981,2207.571970515524,716.0,852.1321131843981,-600.0,-1810.2955274494086,1149.8086734120668,-1400.0,532.7315373234879,1949.0,905.0,-899.8578251969924,300.0,-2942.0,5283.0,1200.0,1678.3094695449358,2143.0,792.0,2119.0,1070.0,1433.0,3372.0,980.0,600.0,22715.83160050252
t15,-2100.0,1039.0,-1130.0,1070.716791071999,-172.56881820806646,728.1012902754227,-716.0,1378.9248279767685,-223.0,300.0,661.8921443493311,1592.5519474636237,716.0,-991.0902354283313,-600.0,-1912.0,2000.0,-1192.506854651453,-712.6938609801294,1081.417233620305,-905.0,-956.0,231.1426768216691,-2942.0,5283.0,1037.6709991671896,1353.2097805495796,2143.0,418.8314401770343,2119.0,647.5694227055222,1433.0,1892.5768925096945,980.0,600.0,14154.74567742016
t16,-2100.0,1039.0,-322.6658594669991,1172.0,-274.17595728747557,939.6432173157598,-716.0,1495.380035984721,-223.0,300.0,1195.0,1497.6381997222709,716.0,-845.3754402880004,-473.06597513153434,-1912.0,2000.0,205.15366372389377,-266.18929543109004,1949.0,-463.83213462896487,-956.0,300.0,-1684.3600837828756,5283.0,1200.0,248.5264169491157,2024.301783131708,792.0,1642.228326825415,947.2241894849147,1433.0,2483.592288874198,980.0,-600.0,19006.023375995057
t17,-2100.0,-1039.0,1130.0,1172.0,545.1396640310455,-944.3716011041096,716.0,-1137.7784993064154,-223.0,300.0,1195.0,1457.890093088047,716.0,-888.2651427589999,600.0,-704.1774712367617,1178.1483974458708,-229.1995292865838,1732.0,1792.4297090903342,699.3903053351715,956.0,300.0,1139.0947047946568,5283.0,1200.0,788.9185505785838,1810.2224362974569,792.0,300.4913185094713,1070.0,1433.0,2118.82758064876,980.0,-191.81842091800004,23947.94209520853
t18,-1279.4112630000004,782.4835672695488,1130.0,-947.7893742525487,625.2946245646784,-629.5601559096789,716.0,-3400.0,223.0,300.0,-1195.0,2394.3140942290725,716.0,-547.9687453530005,600.0,1209.8928250397619,-672.9029536407611,916.525273833464,1732.0,1949.0,905.0,956.0,-77.77757496885273,2942.0,5283.0,81.63105261955717,-317.7148088655575,2143.0,792.0,-993.8819067649805,1070.0,1433.0,1083.8126451679977,980.0,-600.0,20301.9472999687
t19,-1465.0954281005656,-1039.0,1130.0,1044.3181762185661,1109.0814608209985,-1200.0,463.0378938994346,-3400.0,223.0,300.0,-861.885850348592,3000.0,716.0,-860.6015529964084,36.28072268800048,1912.0,-417.9542849691575,-542.0478250110001,1501.1281458206875,-106.86018202900004,905.0,956.0,-300.0,1846.9678668071574,3737.0249213248426,-1200.0,976.8293072980003,2143.0,792.0,2119.0,1070.0,1318.3702192749345,725.259181197298,980.0,-600.0,17010.852771895195
