uranium,coal,natural_gas,none,coal_ccs,natural_gas_ccs,Time_Index
1.06,2.13,3.46,0,2.13,3.46,121
1.06,2.13,3.46,0,2.13,3.46,122
1.06,2.13,3.46,0,2.13,3.46,123
1.06,2.13,3.46,0,2.13,3.46,124
1.06,2.13,3.46,0,2.13,3.46,125
1.06,2.13,3.46,0,2.13,3.46,126
1.06,2.13,3.46,0,2.13,3.46,127
1.06,2.13,3.46,0,2.13,3.46,128
1.06,2.13,3.46,0,2.13,3.46,129
1.06,2.13,3.46,0,2.13,3.46,130
1.06,2.13,3.46,0,2.13,3.46,131
1.06,2.13,3.46,0,2.13,3.46,132
1.06,2.13,3.46,0,2.13,3.46,133
1.06,2.13,3.46,0,2.13,3.46,134
1.06,2.13,3.46,0,2.13,3.46,135
1.06,2.13,3.46,0,2.13,3.46,136
1.06,2.13,3.46,0,2.13,3.46,137
1.06,2.13,3.46,0,2.13,3.46,138
1.06,2.13,3.46,0,2.13,3.46,139
1.06,2.13,3.46,0,2.13,3.46,140
1.06,2.13,3.46,0,2.13,3.46,141
1.06,2.13,3.46,0,2.13,3.46,142
1.06,2.13,3.46,0,2.13,3.46,143
1.06,2.13,3.46,0,2.13,3.46,144
1.06,2.13,3.46,0,2.13,3.46,145
1.06,2.13,3.46,0,2.13,3.46,146
1.06,2.13,3.46,0,2.13,3.46,147
1.06,2.13,3.46,0,2.13,3.46,148
1.06,2.13,3.46,0,2.13,3.46,149
1.06,2.13,3.46,0,2.13,3.46,150
1.06,2.13,3.46,0,2.13,3.46,151
1.06,2.13,3.46,0,2.13,3.46,152
1.06,2.13,3.46,0,2.13,3.46,153
1.06,2.13,3.46,0,2.13,3.46,154
1.06,2.13,3.46,0,2.13,3.46,155
1.06,2.13,3.46,0,2.13,3.46,156
1.06,2.13,3.46,0,2.13,3.46,157
1.06,2.13,3.46,0,2.13,3.46,158
1.06,2.13,3.46,0,2.13,3.46,159
1.06,2.13,3.46,0,2.13,3.46,160
1.06,2.13,3.46,0,2.13,3.46,161
1.06,2.13,3.46,0,2.13,3.46,162
1.06,2.13,3.46,0,2.13,3.46,163
1.06,2.13,3.46,0,2.13,3.46,164
1.06,2.13,3.46,0,2.13,3.46,165
1.06,2.13,3.46,0,2.13,3.46,166
1.06,2.13,3.46,0,2.13,3.46,167
1.06,2.13,3.46,0,2.13,3.46,168
1.06,2.13,3.46,0,2.13,3.46,169
1.06,2.13,3.46,0,2.13,3.46,170
1.06,2.13,3.46,0,2.13,3.46,171
1.06,2.13,3.46,0,2.13,3.46,172
1.06,2.13,3.46,0,2.13,3.46,173
1.06,2.13,3.46,0,2.13,3.46,174
1.06,2.13,3.46,0,2.13,3.46,175
1.06,2.13,3.46,0,2.13,3.46,176
1.06,2.13,3.46,0,2.13,3.46,177
1.06,2.13,3.46,0,2.13,3.46,178
1.06,2.13,3.46,0,2.13,3.46,179
1.06,2.13,3.46,0,2.13,3.46,180
1.06,2.13,3.46,0,2.13,3.46,181
1.06,2.13,3.46,0,2.13,3.46,182
1.06,2.13,3.46,0,2.13,3.46,183
1.06,2.13,3.46,0,2.13,3.46,184
1.06,2.13,3.46,0,2.13,3.46,185
1.06,2.13,3.46,0,2.13,3.46,186
1.06,2.13,3.46,0,2.13,3.46,187
1.06,2.13,3.46,0,2.13,3.46,188
1.06,2.13,3.46,0,2.13,3.46,189
1.06,2.13,3.46,0,2.13,3.46,190
1.06,2.13,3.46,0,2.13,3.46,191
1.06,2.13,3.46,0,2.13,3.46,192
1.06,2.13,3.46,0,2.13,3.46,193
1.06,2.13,3.46,0,2.13,3.46,194
1.06,2.13,3.46,0,2.13,3.46,195
1.06,2.13,3.46,0,2.13,3.46,196
1.06,2.13,3.46,0,2.13,3.46,197
1.06,2.13,3.46,0,2.13,3.46,198
1.06,2.13,3.46,0,2.13,3.46,199
1.06,2.13,3.46,0,2.13,3.46,200
1.06,2.13,3.46,0,2.13,3.46,201
1.06,2.13,3.46,0,2.13,3.46,202
1.06,2.13,3.46,0,2.13,3.46,203
1.06,2.13,3.46,0,2.13,3.46,204
1.06,2.13,3.46,0,2.13,3.46,205
1.06,2.13,3.46,0,2.13,3.46,206
1.06,2.13,3.46,0,2.13,3.46,207
1.06,2.13,3.46,0,2.13,3.46,208
1.06,2.13,3.46,0,2.13,3.46,209
1.06,2.13,3.46,0,2.13,3.46,210
1.06,2.13,3.46,0,2.13,3.46,211
1.06,2.13,3.46,0,2.13,3.46,212
1.06,2.13,3.46,0,2.13,3.46,213
1.06,2.13,3.46,0,2.13,3.46,214
1.06,2.13,3.46,0,2.13,3.46,215
1.06,2.13,3.46,0,2.13,3.46,216
1.06,2.13,3.46,0,2.13,3.46,217
1.06,2.13,3.46,0,2.13,3.46,218
1.06,2.13,3.46,0,2.13,3.46,219
1.06,2.13,3.46,0,2.13,3.46,220
1.06,2.13,3.46,0,2.13,3.46,221
1.06,2.13,3.46,0,2.13,3.46,222
1.06,2.13,3.46,0,2.13,3.46,223
1.06,2.13,3.46,0,2.13,3.46,224
1.06,2.13,3.46,0,2.13,3.46,225
1.06,2.13,3.46,0,2.13,3.46,226
1.06,2.13,3.46,0,2.13,3.46,227
1.06,2.13,3.46,0,2.13,3.46,228
1.06,2.13,3.46,0,2.13,3.46,229
1.06,2.13,3.46,0,2.13,3.46,230
1.06,2.13,3.46,0,2.13,3.46,231
1.06,2.13,3.46,0,2.13,3.46,232
1.06,2.13,3.46,0,2.13,3.46,233
1.06,2.13,3.46,0,2.13,3.46,234
1.06,2.13,3.46,0,2.13,3.46,235
1.06,2.13,3.46,0,2.13,3.46,236
1.06,2.13,3.46,0,2.13,3.46,237
1.06,2.13,3.46,0,2.13,3.46,238
1.06,2.13,3.46,0,2.13,3.46,239
1.06,2.13,3.46,0,2.13,3.46,240
1.06,2.13,3.46,0,2.13,3.46,241
1.06,2.13,3.46,0,2.13,3.46,242
1.06,2.13,3.46,0,2.13,3.46,243
1.06,2.13,3.46,0,2.13,3.46,244
1.06,2.13,3.46,0,2.13,3.46,245
1.06,2.13,3.46,0,2.13,3.46,246
1.06,2.13,3.46,0,2.13,3.46,247
1.06,2.13,3.46,0,2.13,3.46,248
1.06,2.13,3.46,0,2.13,3.46,249
1.06,2.13,3.46,0,2.13,3.46,250
1.06,2.13,3.46,0,2.13,3.46,251
1.06,2.13,3.46,0,2.13,3.46,252
1.06,2.13,3.46,0,2.13,3.46,253
1.06,2.13,3.46,0,2.13,3.46,254
1.06,2.13,3.46,0,2.13,3.46,255
1.06,2.13,3.46,0,2.13,3.46,256
1.06,2.13,3.46,0,2.13,3.46,257
1.06,2.13,3.46,0,2.13,3.46,258
1.06,2.13,3.46,0,2.13,3.46,259
1.06,2.13,3.46,0,2.13,3.46,260
1.06,2.13,3.46,0,2.13,3.46,261
1.06,2.13,3.46,0,2.13,3.46,262
1.06,2.13,3.46,0,2.13,3.46,263
1.06,2.13,3.46,0,2.13,3.46,264
1.06,2.13,3.46,0,2.13,3.46,265
1.06,2.13,3.46,0,2.13,3.46,266
1.06,2.13,3.46,0,2.13,3.46,267
1.06,2.13,3.46,0,2.13,3.46,268
1.06,2.13,3.46,0,2.13,3.46,269
1.06,2.13,3.46,0,2.13,3.46,270
1.06,2.13,3.46,0,2.13,3.46,271
1.06,2.13,3.46,0,2.13,3.46,272
1.06,2.13,3.46,0,2.13,3.46,273
1.06,2.13,3.46,0,2.13,3.46,274
1.06,2.13,3.46,0,2.13,3.46,275
1.06,2.13,3.46,0,2.13,3.46,276
1.06,2.13,3.46,0,2.13,3.46,277
1.06,2.13,3.46,0,2.13,3.46,278
1.06,2.13,3.46,0,2.13,3.46,279
1.06,2.13,3.46,0,2.13,3.46,280
1.06,2.13,3.46,0,2.13,3.46,281
1.06,2.13,3.46,0,2.13,3.46,282
1.06,2.13,3.46,0,2.13,3.46,283
1.06,2.13,3.46,0,2.13,3.46,284
1.06,2.13,3.46,0,2.13,3.46,285
1.06,2.13,3.46,0,2.13,3.46,286
1.06,2.13,3.46,0,2.13,3.46,287
1.06,2.13,3.46,0,2.13,3.46,288
1.06,2.13,3.46,0,2.13,3.46,289
1.06,2.13,3.46,0,2.13,3.46,290
1.06,2.13,3.46,0,2.13,3.46,291
1.06,2.13,3.46,0,2.13,3.46,292
1.06,2.13,3.46,0,2.13,3.46,293
1.06,2.13,3.46,0,2.13,3.46,294
1.06,2.13,3.46,0,2.13,3.46,295
1.06,2.13,3.46,0,2.13,3.46,296
1.06,2.13,3.46,0,2.13,3.46,297
1.06,2.13,3.46,0,2.13,3.46,298
1.06,2.13,3.46,0,2.13,3.46,299
1.06,2.13,3.46,0,2.13,3.46,300
1.06,2.13,3.46,0,2.13,3.46,301
1.06,2.13,3.46,0,2.13,3.46,302
1.06,2.13,3.46,0,2.13,3.46,303
1.06,2.13,3.46,0,2.13,3.46,304
1.06,2.13,3.46,0,2.13,3.46,305
1.06,2.13,3.46,0,2.13,3.46,306
1.06,2.13,3.46,0,2.13,3.46,307
1.06,2.13,3.46,0,2.13,3.46,308
1.06,2.13,3.46,0,2.13,3.46,309
1.06,2.13,3.46,0,2.13,3.46,310
1.06,2.13,3.46,0,2.13,3.46,311
1.06,2.13,3.46,0,2.13,3.46,312
1.06,2.13,3.46,0,2.13,3.46,313
1.06,2.13,3.46,0,2.13,3.46,314
1.06,2.13,3.46,0,2.13,3.46,315
1.06,2.13,3.46,0,2.13,3.46,316
1.06,2.13,3.46,0,2.13,3.46,317
1.06,2.13,3.46,0,2.13,3.46,318
1.06,2.13,3.46,0,2.13,3.46,319
1.06,2.13,3.46,0,2.13,3.46,320
1.06,2.13,3.46,0,2.13,3.46,321
1.06,2.13,3.46,0,2.13,3.46,322
1.06,2.13,3.46,0,2.13,3.46,323
1.06,2.13,3.46,0,2.13,3.46,324
1.06,2.13,3.46,0,2.13,3.46,325
1.06,2.13,3.46,0,2.13,3.46,326
1.06,2.13,3.46,0,2.13,3.46,327
1.06,2.13,3.46,0,2.13,3.46,328
1.06,2.13,3.46,0,2.13,3.46,329
1.06,2.13,3.46,0,2.13,3.46,330
1.06,2.13,3.46,0,2.13,3.46,331
1.06,2.13,3.46,0,2.13,3.46,332
1.06,2.13,3.46,0,2.13,3.46,333
1.06,2.13,3.46,0,2.13,3.46,334
1.06,2.13,3.46,0,2.13,3.46,335
1.06,2.13,3.46,0,2.13,3.46,336
1.06,2.13,3.46,0,2.13,3.46,337
1.06,2.13,3.46,0,2.13,3.46,338
1.06,2.13,3.46,0,2.13,3.46,339
1.06,2.13,3.46,0,2.13,3.46,340
1.06,2.13,3.46,0,2.13,3.46,341
1.06,2.13,3.46,0,2.13,3.46,342
1.06,2.13,3.46,0,2.13,3.46,343
1.06,2.13,3.46,0,2.13,3.46,344
1.06,2.13,3.46,0,2.13,3.46,345
1.06,2.13,3.46,0,2.13,3.46,346
1.06,2.13,3.46,0,2.13,3.46,347
1.06,2.13,3.46,0,2.13,3.46,348
1.06,2.13,3.46,0,2.13,3.46,349
1.06,2.13,3.46,0,2.13,3.46,350
1.06,2.13,3.46,0,2.13,3.46,351
1.06,2.13,3.46,0,2.13,3.46,352
1.06,2.13,3.46,0,2.13,3.46,353
1.06,2.13,3.46,0,2.13,3.46,354
1.06,2.13,3.46,0,2.13,3.46,355
1.06,2.13,3.46,0,2.13,3.46,356
1.06,2.13,3.46,0,2.13,3.46,357
1.06,2.13,3.46,0,2.13,3.46,358
1.06,2.13,3.46,0,2.13,3.46,359
1.06,2.13,3.46,0,2.13,3.46,360
1.06,2.13,3.46,0,2.13,3.46,361
1.06,2.13,3.46,0,2.13,3.46,362
1.06,2.13,3.46,0,2.13,3.46,363
1.06,2.13,3.46,0,2.13,3.46,364
1.06,2.13,3.46,0,2.13,3.46,365
1.06,2.13,3.46,0,2.13,3.46,366
1.06,2.13,3.46,0,2.13,3.46,367
1.06,2.13,3.46,0,2.13,3.46,368
1.06,2.13,3.46,0,2.13,3.46,369
1.06,2.13,3.46,0,2.13,3.46,370
1.06,2.13,3.46,0,2.13,3.46,371
1.06,2.13,3.46,0,2.13,3.46,372
1.06,2.13,3.46,0,2.13,3.46,373
1.06,2.13,3.46,0,2.13,3.46,374
1.06,2.13,3.46,0,2.13,3.46,375
1.06,2.13,3.46,0,2.13,3.46,376
1.06,2.13,3.46,0,2.13,3.46,377
1.06,2.13,3.46,0,2.13,3.46,378
1.06,2.13,3.46,0,2.13,3.46,379
1.06,2.13,3.46,0,2.13,3.46,380
1.06,2.13,3.46,0,2.13,3.46,381
1.06,2.13,3.46,0,2.13,3.46,382
1.06,2.13,3.46,0,2.13,3.46,383
1.06,2.13,3.46,0,2.13,3.46,384
1.06,2.13,3.46,0,2.13,3.46,385
1.06,2.13,3.46,0,2.13,3.46,386
1.06,2.13,3.46,0,2.13,3.46,387
1.06,2.13,3.46,0,2.13,3.46,388
1.06,2.13,3.46,0,2.13,3.46,389
1.06,2.13,3.46,0,2.13,3.46,390
1.06,2.13,3.46,0,2.13,3.46,391
1.06,2.13,3.46,0,2.13,3.46,392
1.06,2.13,3.46,0,2.13,3.46,393
1.06,2.13,3.46,0,2.13,3.46,394
1.06,2.13,3.46,0,2.13,3.46,395
1.06,2.13,3.46,0,2.13,3.46,396
1.06,2.13,3.46,0,2.13,3.46,397
1.06,2.13,3.46,0,2.13,3.46,398
1.06,2.13,3.46,0,2.13,3.46,399
1.06,2.13,3.46,0,2.13,3.46,400
1.06,2.13,3.46,0,2.13,3.46,401
1.06,2.13,3.46,0,2.13,3.46,402
1.06,2.13,3.46,0,2.13,3.46,403
1.06,2.13,3.46,0,2.13,3.46,404
1.06,2.13,3.46,0,2.13,3.46,405
1.06,2.13,3.46,0,2.13,3.46,406
1.06,2.13,3.46,0,2.13,3.46,407
1.06,2.13,3.46,0,2.13,3.46,408
1.06,2.13,3.46,0,2.13,3.46,409
1.06,2.13,3.46,0,2.13,3.46,410
1.06,2.13,3.46,0,2.13,3.46,411
1.06,2.13,3.46,0,2.13,3.46,412
1.06,2.13,3.46,0,2.13,3.46,413
1.06,2.13,3.46,0,2.13,3.46,414
1.06,2.13,3.46,0,2.13,3.46,415
1.06,2.13,3.46,0,2.13,3.46,416
1.06,2.13,3.46,0,2.13,3.46,417
1.06,2.13,3.46,0,2.13,3.46,418
1.06,2.13,3.46,0,2.13,3.46,419
1.06,2.13,3.46,0,2.13,3.46,420
1.06,2.13,3.46,0,2.13,3.46,421
1.06,2.13,3.46,0,2.13,3.46,422
1.06,2.13,3.46,0,2.13,3.46,423
1.06,2.13,3.46,0,2.13,3.46,424
1.06,2.13,3.46,0,2.13,3.46,425
1.06,2.13,3.46,0,2.13,3.46,426
1.06,2.13,3.46,0,2.13,3.46,427
1.06,2.13,3.46,0,2.13,3.46,428
1.06,2.13,3.46,0,2.13,3.46,429
1.06,2.13,3.46,0,2.13,3.46,430
1.06,2.13,3.46,0,2.13,3.46,431
1.06,2.13,3.46,0,2.13,3.46,432
1.06,2.13,3.46,0,2.13,3.46,433
1.06,2.13,3.46,0,2.13,3.46,434
1.06,2.13,3.46,0,2.13,3.46,435
1.06,2.13,3.46,0,2.13,3.46,436
1.06,2.13,3.46,0,2.13,3.46,437
1.06,2.13,3.46,0,2.13,3.46,438
1.06,2.13,3.46,0,2.13,3.46,439
1.06,2.13,3.46,0,2.13,3.46,440
1.06,2.13,3.46,0,2.13,3.46,441
1.06,2.13,3.46,0,2.13,3.46,442
1.06,2.13,3.46,0,2.13,3.46,443
1.06,2.13,3.46,0,2.13,3.46,444
1.06,2.13,3.46,0,2.13,3.46,445
1.06,2.13,3.46,0,2.13,3.46,446
1.06,2.13,3.46,0,2.13,3.46,447
1.06,2.13,3.46,0,2.13,3.46,448
1.06,2.13,3.46,0,2.13,3.46,449
1.06,2.13,3.46,0,2.13,3.46,450
1.06,2.13,3.46,0,2.13,3.46,451
1.06,2.13,3.46,0,2.13,3.46,452
1.06,2.13,3.46,0,2.13,3.46,453
1.06,2.13,3.46,0,2.13,3.46,454
1.06,2.13,3.46,0,2.13,3.46,455
1.06,2.13,3.46,0,2.13,3.46,456
1.06,2.13,3.46,0,2.13,3.46,457
1.06,2.13,3.46,0,2.13,3.46,458
1.06,2.13,3.46,0,2.13,3.46,459
1.06,2.13,3.46,0,2.13,3.46,460
1.06,2.13,3.46,0,2.13,3.46,461
1.06,2.13,3.46,0,2.13,3.46,462
1.06,2.13,3.46,0,2.13,3.46,463
1.06,2.13,3.46,0,2.13,3.46,464
1.06,2.13,3.46,0,2.13,3.46,465
1.06,2.13,3.46,0,2.13,3.46,466
1.06,2.13,3.46,0,2.13,3.46,467
1.06,2.13,3.46,0,2.13,3.46,468
1.06,2.13,3.46,0,2.13,3.46,469
1.06,2.13,3.46,0,2.13,3.46,470
1.06,2.13,3.46,0,2.13,3.46,471
1.06,2.13,3.46,0,2.13,3.46,472
1.06,2.13,3.46,0,2.13,3.46,473
1.06,2.13,3.46,0,2.13,3.46,474
1.06,2.13,3.46,0,2.13,3.46,475
1.06,2.13,3.46,0,2.13,3.46,476
1.06,2.13,3.46,0,2.13,3.46,477
1.06,2.13,3.46,0,2.13,3.46,478
1.06,2.13,3.46,0,2.13,3.46,479
1.06,2.13,3.46,0,2.13,3.46,480
1.06,2.13,3.46,0,2.13,3.46,481
1.06,2.13,3.46,0,2.13,3.46,482
1.06,2.13,3.46,0,2.13,3.46,483
1.06,2.13,3.46,0,2.13,3.46,484
1.06,2.13,3.46,0,2.13,3.46,485
1.06,2.13,3.46,0,2.13,3.46,486
1.06,2.13,3.46,0,2.13,3.46,487
1.06,2.13,3.46,0,2.13,3.46,488
1.06,2.13,3.46,0,2.13,3.46,489
1.06,2.13,3.46,0,2.13,3.46,490
1.06,2.13,3.46,0,2.13,3.46,491
1.06,2.13,3.46,0,2.13,3.46,492
1.06,2.13,3.46,0,2.13,3.46,493
1.06,2.13,3.46,0,2.13,3.46,494
1.06,2.13,3.46,0,2.13,3.46,495
1.06,2.13,3.46,0,2.13,3.46,496
1.06,2.13,3.46,0,2.13,3.46,497
1.06,2.13,3.46,0,2.13,3.46,498
1.06,2.13,3.46,0,2.13,3.46,499
1.06,2.13,3.46,0,2.13,3.46,500
1.06,2.13,3.46,0,2.13,3.46,501
1.06,2.13,3.46,0,2.13,3.46,502
1.06,2.13,3.46,0,2.13,3.46,503
1.06,2.13,3.46,0,2.13,3.46,504
1.06,2.13,3.46,0,2.13,3.46,505
1.06,2.13,3.46,0,2.13,3.46,506
1.06,2.13,3.46,0,2.13,3.46,507
1.06,2.13,3.46,0,2.13,3.46,508
1.06,2.13,3.46,0,2.13,3.46,509
1.06,2.13,3.46,0,2.13,3.46,510
1.06,2.13,3.46,0,2.13,3.46,511
1.06,2.13,3.46,0,2.13,3.46,512
1.06,2.13,3.46,0,2.13,3.46,513
1.06,2.13,3.46,0,2.13,3.46,514
1.06,2.13,3.46,0,2.13,3.46,515
1.06,2.13,3.46,0,2.13,3.46,516
1.06,2.13,3.46,0,2.13,3.46,517
1.06,2.13,3.46,0,2.13,3.46,518
1.06,2.13,3.46,0,2.13,3.46,519
1.06,2.13,3.46,0,2.13,3.46,520
1.06,2.13,3.46,0,2.13,3.46,521
1.06,2.13,3.46,0,2.13,3.46,522
1.06,2.13,3.46,0,2.13,3.46,523
1.06,2.13,3.46,0,2.13,3.46,524
1.06,2.13,3.46,0,2.13,3.46,525
1.06,2.13,3.46,0,2.13,3.46,526
1.06,2.13,3.46,0,2.13,3.46,527
1.06,2.13,3.46,0,2.13,3.46,528
1.06,2.13,3.46,0,2.13,3.46,529
1.06,2.13,3.46,0,2.13,3.46,530
1.06,2.13,3.46,0,2.13,3.46,531
1.06,2.13,3.46,0,2.13,3.46,532
1.06,2.13,3.46,0,2.13,3.46,533
1.06,2.13,3.46,0,2.13,3.46,534
1.06,2.13,3.46,0,2.13,3.46,535
1.06,2.13,3.46,0,2.13,3.46,536
1.06,2.13,3.46,0,2.13,3.46,537
1.06,2.13,3.46,0,2.13,3.46,538
1.06,2.13,3.46,0,2.13,3.46,539
1.06,2.13,3.46,0,2.13,3.46,540
1.06,2.13,3.46,0,2.13,3.46,541
1.06,2.13,3.46,0,2.13,3.46,542
1.06,2.13,3.46,0,2.13,3.46,543
1.06,2.13,3.46,0,2.13,3.46,544
1.06,2.13,3.46,0,2.13,3.46,545
1.06,2.13,3.46,0,2.13,3.46,546
1.06,2.13,3.46,0,2.13,3.46,547
1.06,2.13,3.46,0,2.13,3.46,548
1.06,2.13,3.46,0,2.13,3.46,549
1.06,2.13,3.46,0,2.13,3.46,550
1.06,2.13,3.46,0,2.13,3.46,551
1.06,2.13,3.46,0,2.13,3.46,552
1.06,2.13,3.46,0,2.13,3.46,553
1.06,2.13,3.46,0,2.13,3.46,554
1.06,2.13,3.46,0,2.13,3.46,555
1.06,2.13,3.46,0,2.13,3.46,556
1.06,2.13,3.46,0,2.13,3.46,557
1.06,2.13,3.46,0,2.13,3.46,558
1.06,2.13,3.46,0,2.13,3.46,559
1.06,2.13,3.46,0,2.13,3.46,560
1.06,2.13,3.46,0,2.13,3.46,561
1.06,2.13,3.46,0,2.13,3.46,562
1.06,2.13,3.46,0,2.13,3.46,563
1.06,2.13,3.46,0,2.13,3.46,564
1.06,2.13,3.46,0,2.13,3.46,565
1.06,2.13,3.46,0,2.13,3.46,566
1.06,2.13,3.46,0,2.13,3.46,567
1.06,2.13,3.46,0,2.13,3.46,568
1.06,2.13,3.46,0,2.13,3.46,569
1.06,2.13,3.46,0,2.13,3.46,570
1.06,2.13,3.46,0,2.13,3.46,571
1.06,2.13,3.46,0,2.13,3.46,572
1.06,2.13,3.46,0,2.13,3.46,573
1.06,2.13,3.46,0,2.13,3.46,574
1.06,2.13,3.46,0,2.13,3.46,575
1.06,2.13,3.46,0,2.13,3.46,576
1.06,2.13,3.46,0,2.13,3.46,577
1.06,2.13,3.46,0,2.13,3.46,578
1.06,2.13,3.46,0,2.13,3.46,579
