Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,Threshold,nReps,IterativelyAddPeriods,IterateMethod,LoadWeight,ClusterFuelPrices
,,,,186,16615.0048,23280.44172,24889.03753,23531.48746,,,,,,,,,,,,,,
,,,,187,16687.88919,23104.634,24966.51187,23007.36673,,,,,,,,,,,,,,
,,,,188,16610.09483,22828.30196,24654.71004,22117.93075,,,,,,,,,,,,,,
,,,,189,16211.78465,21912.37965,23727.58029,20772.79323,,,,,,,,,,,,,,
,,,,190,15514.84439,20603.97157,22250.26551,18773.1417,,,,,,,,,,,,,,
,,,,191,14658.40784,19225.87351,20668.1092,16891.3876,,,,,,,,,,,,,,
,,,,192,13860.5448,18294.76617,19400.20551,15412.23111,,,,,,,,,,,,,,
,,,,193,13427.31835,17903.08575,18648.47043,14585.1271,,,,,,,,,,,,,,
,,,,194,13221.78232,17858.03901,18313.01746,14263.88909,,,,,,,,,,,,,,
,,,,195,13133.5308,18004.0583,18314.94365,14327.56392,,,,,,,,,,,,,,
,,,,196,13258.94062,18737.8755,18734.6399,14881.29027,,,,,,,,,,,,,,
,,,,197,13770.20802,20595.08673,20086.11545,16707.17432,,,,,,,,,,,,,,
,,,,198,15012.03461,23778.07444,22793.09523,19899.57512,,,,,,,,,,,,,,
,,,,199,16499.13446,25241.67156,24580.18588,21641.43972,,,,,,,,,,,,,,
,,,,200,16627.59077,24919.29821,24424.1318,21674.23937,,,,,,,,,,,,,,
,,,,201,16559.73328,24880.48454,24371.52018,21785.12244,,,,,,,,,,,,,,
,,,,202,16526.20972,24973.47908,24424.07164,22142.73049,,,,,,,,,,,,,,
,,,,203,16539.43704,25007.53671,24446.69662,22381.2853,,,,,,,,,,,,,,
,,,,204,16374.41151,24931.34886,24237.21272,22466.2537,,,,,,,,,,,,,,
,,,,205,16301.00983,24671.42678,24148.57986,22465.27883,,,,,,,,,,,,,,
,,,,206,16141.48784,24463.07476,23807.14021,22479.60407,,,,,,,,,,,,,,
,,,,207,16036.68322,24511.10601,23568.81581,22426.03765,,,,,,,,,,,,,,
,,,,208,16158.96341,25056.44257,23674.40585,22504.15241,,,,,,,,,,,,,,
,,,,209,16752.40104,26458.0162,24531.82057,23258.39404,,,,,,,,,,,,,,
,,,,210,17641.54211,27481.35629,26350.49376,25214.58721,,,,,,,,,,,,,,
,,,,211,17724.97679,27029.38931,26434.56558,24874.95798,,,,,,,,,,,,,,
,,,,212,17281.96783,26246.59644,25613.52816,23538.75113,,,,,,,,,,,,,,
,,,,213,16642.98775,24925.55128,24216.68597,21705.66729,,,,,,,,,,,,,,
,,,,214,16022.12125,23222.91943,22875.74612,19572.56357,,,,,,,,,,,,,,
,,,,215,15170.5692,21524.98149,21273.29711,17372.65523,,,,,,,,,,,,,,
,,,,216,14468.77951,20420.06482,20046.46122,15669.95445,,,,,,,,,,,,,,
,,,,217,13957.23201,19818.16701,19192.39129,14732.16728,,,,,,,,,,,,,,
,,,,218,13682.48867,19513.99755,18789.57611,14289.31198,,,,,,,,,,,,,,
,,,,219,13595.49576,19520.86626,18655.3622,14253.47967,,,,,,,,,,,,,,
,,,,220,13767.30841,20092.08434,19081.3991,14701.68781,,,,,,,,,,,,,,
,,,,221,14223.53918,21697.17279,20335.05478,16322.16534,,,,,,,,,,,,,,
,,,,222,15387.03476,24606.30332,22970.80451,19470.60712,,,,,,,,,,,,,,
,,,,223,16766.21229,25753.64461,24696.59135,21094.86293,,,,,,,,,,,,,,
,,,,224,17018.22028,25277.79048,24486.38864,21253.47956,,,,,,,,,,,,,,
,,,,225,16895.09728,24866.73415,24463.89908,21468.73828,,,,,,,,,,,,,,
,,,,226,16738.82672,24422.99834,24592.75556,21971.78834,,,,,,,,,,,,,,
,,,,227,16622.93502,23828.10183,24615.84385,22173.59378,,,,,,,,,,,,,,
,,,,228,16468.64369,23260.68398,24499.18535,22558.84806,,,,,,,,,,,,,,
,,,,229,16344.99995,22958.85092,24357.02343,22747.27952,,,,,,,,,,,,,,
,,,,230,16336.59879,22674.02088,24247.98421,22789.83234,,,,,,,,,,,,,,
,,,,231,16192.24065,22573.92466,24132.74296,22787.95695,,,,,,,,,,,,,,
,,,,232,16355.56403,23050.55347,24447.07629,22844.68382,,,,,,,,,,,,,,
,,,,233,16988.15719,24793.94348,25585.97928,23623.69561,,,,,,,,,,,,,,
,,,,234,17811.36823,26131.59861,27012.96305,25302.48659,,,,,,,,,,,,,,
,,,,235,17918.49401,26140.81506,26946.50503,24777.18853,,,,,,,,,,,,,,
,,,,236,17589.45255,25678.57289,26309.13636,23588.18984,,,,,,,,,,,,,,
,,,,237,17095.39945,24541.72428,25134.98664,21928.35251,,,,,,,,,,,,,,
,,,,238,16155.1229,22800.98769,23351.88245,19503.84654,,,,,,,,,,,,,,
,,,,239,15220.45371,21121.40693,21565.98958,17266.53968,,,,,,,,,,,,,,
,,,,240,14402.07764,20023.1473,20312.53016,15592.20063,,,,,,,,,,,,,,
,,,,241,13848.97483,19487.90848,19326.9453,14671.41672,,,,,,,,,,,,,,
,,,,242,13539.24364,19132.02828,18849.20992,14143.68678,,,,,,,,,,,,,,
,,,,243,13317.95966,19139.81364,18622.69848,14046.41012,,,,,,,,,,,,,,
,,,,244,13203.15721,19509.57353,18838.89715,14330.47215,,,,,,,,,,,,,,
,,,,245,13608.00655,21019.80145,20053.25848,15834.0424,,,,,,,,,,,,,,
,,,,246,14804.7296,23883.40379,22579.25765,18489.38827,,,,,,,,,,,,,,
,,,,247,16169.08157,25089.88105,24407.57003,20250.0019,,,,,,,,,,,,,,
,,,,248,16347.5722,24688.39355,24301.09663,20754.21108,,,,,,,,,,,,,,
,,,,249,16218.91785,24567.78229,24378.4743,21360.1233,,,,,,,,,,,,,,
,,,,250,16161.73619,24673.88863,24478.98061,22115.44476,,,,,,,,,,,,,,
,,,,251,16241.00948,24683.14399,24530.50771,22402.62476,,,,,,,,,,,,,,
,,,,252,16231.22458,24578.94863,24471.21665,22415.31008,,,,,,,,,,,,,,
,,,,253,16271.96515,24434.10439,24329.56136,22193.70541,,,,,,,,,,,,,,
,,,,254,16276.59902,24093.18454,24170.06286,21965.35323,,,,,,,,,,,,,,
,,,,255,16259.04293,23973.76071,24178.21435,21870.13338,,,,,,,,,,,,,,
,,,,256,16521.42128,24386.6028,24607.85541,22015.83984,,,,,,,,,,,,,,
,,,,257,17124.78056,25441.88624,25764.85374,23124.2351,,,,,,,,,,,,,,
,,,,258,17949.29796,26284.40554,27559.36902,25117.2296,,,,,,,,,,,,,,
,,,,259,18032.88593,25812.47145,27646.56718,24666.12953,,,,,,,,,,,,,,
,,,,260,17819.39832,25181.38434,27244.74327,23589.57212,,,,,,,,,,,,,,
,,,,261,17616.64793,24127.07365,26330.42223,22016.85446,,,,,,,,,,,,,,
,,,,262,16837.74122,22503.34015,24780.67892,19894.93423,,,,,,,,,,,,,,
,,,,263,15819.56425,20983.74806,23077.80418,17727.39917,,,,,,,,,,,,,,
,,,,264,14958.43121,19992.97109,21763.92408,16130.84555,,,,,,,,,,,,,,
,,,,265,14476.71819,19620.70464,21066.68511,15272.5354,,,,,,,,,,,,,,
,,,,266,14213.02297,19502.44712,20784.87708,14871.47896,,,,,,,,,,,,,,
,,,,267,14153.06309,19713.86661,20757.278,14843.1731,,,,,,,,,,,,,,
,,,,268,14244.05474,20465.83228,21172.80083,15300.53333,,,,,,,,,,,,,,
