Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
t65,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,19626.0
t66,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5796.0,0.0,0.0,0.0,19422.0
t67,0.0,0.0,0.0,0.0,0.0,0.0,4658.380681818176,5707.365289256199,3260.2540289256262,0.0,5148.999999999998,0.0,0.0,0.0,18775.0
t68,0.0,0.0,0.0,0.0,0.0,0.0,3224.380681818175,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,18192.0
t69,0.0,0.0,0.0,0.0,0.0,0.0,3172.3806818181756,5707.365289256199,3260.2540289256262,0.0,6000.0,0.0,0.0,0.0,18140.0
t70,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,3260.2540289256262,0.0,5560.271306818178,0.0,0.0,0.0,17090.0
t71,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,3260.2540289256262,0.0,3949.2713068181774,0.0,0.0,0.0,15479.0
t72,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4729.636596074377,3260.2540289256262,0.0,3300.0000000000005,0.0,0.0,0.0,13852.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5145.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,11007.999999999998
t74,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4556.890625000003,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10419.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,3635.9490909090887,3139.05090909091,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10074.999999999998
t76,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4025.8906250000023,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,9888.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4029.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,9891.999999999998
t78,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4337.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10199.999999999998
t79,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4827.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10689.999999999998
t80,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5573.890625000003,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,11436.0
t81,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4130.525335743805,0.0,0.0,0.0,12400.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4782.525335743804,0.0,0.0,0.0,13052.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,4353.634710743801,5707.365289256199,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,13361.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,4446.634710743801,5707.365289256199,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,13454.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,5175.525335743805,0.0,0.0,0.0,13445.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,4342.6347107438005,5707.365289256199,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,13350.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4968.525335743804,0.0,0.0,0.0,13238.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4913.525335743804,0.0,0.0,0.0,13183.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4943.525335743803,0.0,0.0,0.0,13212.999999999998
t90,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,4946.525335743804,0.0,0.0,0.0,13216.0
