Time_Index,ng,coal,biomass,uranium,ng_ccs,h2,None
414,3.6,1.95,1.02,0.66,4.1,20.0,0.0
415,3.6,1.95,1.02,0.66,4.1,20.0,0.0
416,3.6,1.95,1.02,0.66,4.1,20.0,0.0
417,3.6,1.95,1.02,0.66,4.1,20.0,0.0
418,3.6,1.95,1.02,0.66,4.1,20.0,0.0
419,3.6,1.95,1.02,0.66,4.1,20.0,0.0
420,3.6,1.95,1.02,0.66,4.1,20.0,0.0
421,3.6,1.95,1.02,0.66,4.1,20.0,0.0
422,3.6,1.95,1.02,0.66,4.1,20.0,0.0
423,3.6,1.95,1.02,0.66,4.1,20.0,0.0
424,3.6,1.95,1.02,0.66,4.1,20.0,0.0
425,3.6,1.95,1.02,0.66,4.1,20.0,0.0
426,3.6,1.95,1.02,0.66,4.1,20.0,0.0
427,3.6,1.95,1.02,0.66,4.1,20.0,0.0
428,3.6,1.95,1.02,0.66,4.1,20.0,0.0
429,3.6,1.95,1.02,0.66,4.1,20.0,0.0
430,3.6,1.95,1.02,0.66,4.1,20.0,0.0
431,3.6,1.95,1.02,0.66,4.1,20.0,0.0
432,3.6,1.95,1.02,0.66,4.1,20.0,0.0
433,3.6,1.95,1.02,0.66,4.1,20.0,0.0
434,3.6,1.95,1.02,0.66,4.1,20.0,0.0
435,3.6,1.95,1.02,0.66,4.1,20.0,0.0
436,3.6,1.95,1.02,0.66,4.1,20.0,0.0
437,3.6,1.95,1.02,0.66,4.1,20.0,0.0
438,3.6,1.95,1.02,0.66,4.1,20.0,0.0
439,3.6,1.95,1.02,0.66,4.1,20.0,0.0
440,3.6,1.95,1.02,0.66,4.1,20.0,0.0
441,3.6,1.95,1.02,0.66,4.1,20.0,0.0
442,3.6,1.95,1.02,0.66,4.1,20.0,0.0
443,3.6,1.95,1.02,0.66,4.1,20.0,0.0
444,3.6,1.95,1.02,0.66,4.1,20.0,0.0
445,3.6,1.95,1.02,0.66,4.1,20.0,0.0
446,3.6,1.95,1.02,0.66,4.1,20.0,0.0
447,3.6,1.95,1.02,0.66,4.1,20.0,0.0
448,3.6,1.95,1.02,0.66,4.1,20.0,0.0
449,3.6,1.95,1.02,0.66,4.1,20.0,0.0
450,3.6,1.95,1.02,0.66,4.1,20.0,0.0
451,3.6,1.95,1.02,0.66,4.1,20.0,0.0
452,3.6,1.95,1.02,0.66,4.1,20.0,0.0
453,3.6,1.95,1.02,0.66,4.1,20.0,0.0
454,3.6,1.95,1.02,0.66,4.1,20.0,0.0
455,3.6,1.95,1.02,0.66,4.1,20.0,0.0
456,3.6,1.95,1.02,0.66,4.1,20.0,0.0
457,3.6,1.95,1.02,0.66,4.1,20.0,0.0
458,3.6,1.95,1.02,0.66,4.1,20.0,0.0
459,3.6,1.95,1.02,0.66,4.1,20.0,0.0
460,3.6,1.95,1.02,0.66,4.1,20.0,0.0
461,3.6,1.95,1.02,0.66,4.1,20.0,0.0
462,3.6,1.95,1.02,0.66,4.1,20.0,0.0
