Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
119,1.0,0.0,1.0,0.326634288,0.0,1.0,0.10085623,1.0,1.0,1.0
120,1.0,0.0,1.0,0.730880857,0.0,1.0,0.250245273,1.0,1.0,1.0
121,1.0,0.0,1.0,0.699592412,0.0,1.0,0.343538821,1.0,1.0,1.0
122,1.0,0.0,1.0,0.48583588,0.0,1.0,0.480004132,1.0,1.0,1.0
123,1.0,0.0,1.0,0.468639523,0.0,1.0,0.493091494,1.0,1.0,1.0
124,1.0,0.0,1.0,0.413402289,0.0,1.0,0.516368747,1.0,1.0,1.0
125,1.0,0.0,1.0,0.503893793,0.0,1.0,0.556184232,1.0,1.0,1.0
126,1.0,0.0,1.0,0.574716628,0.0,1.0,0.581493616,1.0,1.0,1.0
127,1.0,0.0,1.0,0.677719951,0.0,1.0,0.694624305,1.0,1.0,1.0
128,1.0,0.0,1.0,0.701501548,0.0,1.0,0.910963953,1.0,1.0,1.0
129,1.0,0.0738,1.0,0.511826217,0.1048,1.0,0.902822435,1.0,1.0,1.0
130,1.0,0.1992,1.0,0.700982928,0.1945,1.0,0.887133121,1.0,1.0,1.0
131,1.0,0.2704,1.0,0.300368935,0.3618,1.0,0.72706449,1.0,1.0,1.0
132,1.0,0.3616,1.0,0.315275639,0.3608,1.0,0.61177659,1.0,1.0,1.0
133,1.0,0.3916,1.0,0.448661685,0.2887,1.0,0.608541965,1.0,1.0,1.0
134,1.0,0.3009,1.0,0.293922007,0.2133,1.0,0.598206937,1.0,1.0,1.0
135,1.0,0.1969,1.0,0.192222998,0.2028,1.0,0.489775866,1.0,1.0,1.0
136,1.0,0.0448,1.0,0.105884507,0.0511,1.0,0.610442102,1.0,1.0,1.0
137,1.0,0.0,1.0,0.308761001,0.0,1.0,0.749927282,1.0,1.0,1.0
138,1.0,0.0,1.0,0.641711295,0.0,1.0,0.731739044,1.0,1.0,1.0
139,1.0,0.0,1.0,0.000328093,0.0,1.0,0.020332925,1.0,1.0,1.0
140,1.0,0.0,1.0,0.001109042,0.0,1.0,0.01952357,1.0,1.0,1.0
141,1.0,0.0,1.0,0.000465656,0.0,1.0,0.01288804,1.0,1.0,1.0
142,1.0,0.0,1.0,0.0,0.0,1.0,0.006124048,1.0,1.0,1.0
143,1.0,0.0,1.0,0.0,0.0,1.0,0.003177892,1.0,1.0,1.0
144,1.0,0.0,1.0,0.0511139,0.0,1.0,0.174536049,1.0,1.0,1.0
145,1.0,0.0,1.0,0.178217903,0.0,1.0,0.160452858,1.0,1.0,1.0
146,1.0,0.0,1.0,0.163054347,0.0,1.0,0.19457984,1.0,1.0,1.0
147,1.0,0.0,1.0,0.07816536,0.0,1.0,0.21664463,1.0,1.0,1.0
148,1.0,0.0,1.0,0.034205906,0.0,1.0,0.140644953,1.0,1.0,1.0
149,1.0,0.0,1.0,0.0,0.0,1.0,0.076794818,1.0,1.0,1.0
150,1.0,0.0,1.0,0.040714934,0.0,1.0,0.038682725,1.0,1.0,1.0
151,1.0,0.0,1.0,0.0,0.0,1.0,9.83e-5,1.0,1.0,1.0
152,1.0,0.0,1.0,0.00011514,0.0,1.0,0.000646637,1.0,1.0,1.0
153,1.0,0.1158,1.0,0.005348991,0.1552,1.0,0.00056692,1.0,1.0,1.0
154,1.0,0.0838,1.0,0.006692105,0.1243,1.0,0.18899411,1.0,1.0,1.0
155,1.0,0.1599,1.0,0.007338142,0.2932,1.0,0.22133249,1.0,1.0,1.0
156,1.0,0.2742,1.0,0.00134162,0.3873,1.0,0.187157899,1.0,1.0,1.0
157,1.0,0.4044,1.0,0.005068874,0.4331,1.0,0.140217423,1.0,1.0,1.0
158,1.0,0.439,1.0,0.0,0.4312,1.0,0.124365717,1.0,1.0,1.0
159,1.0,0.3592,1.0,0.004298079,0.377,1.0,0.204842478,1.0,1.0,1.0
160,1.0,0.2206,1.0,0.040113807,0.2455,1.0,0.102951244,1.0,1.0,1.0
161,1.0,0.0,1.0,0.039530288,0.0,1.0,0.237337798,1.0,1.0,1.0
162,1.0,0.0,1.0,0.172492385,0.0,1.0,0.338589609,1.0,1.0,1.0
163,1.0,0.0,1.0,0.177829206,0.0,1.0,0.282227397,1.0,1.0,1.0
164,1.0,0.0,1.0,0.102210775,0.0,1.0,0.298579842,1.0,1.0,1.0
165,1.0,0.0,1.0,0.20730938,0.0,1.0,0.322138816,1.0,1.0,1.0
166,1.0,0.0,1.0,0.475461125,0.0,1.0,0.32340467,1.0,1.0,1.0
167,1.0,0.0,1.0,0.141887054,0.0,1.0,0.409071445,1.0,1.0,1.0
168,1.0,0.0,1.0,0.327527732,0.0,1.0,0.587408304,1.0,1.0,1.0
169,1.0,0.0,1.0,0.111910738,0.0,1.0,0.14134872,1.0,1.0,1.0
170,1.0,0.0,1.0,0.095943481,0.0,1.0,0.112965181,1.0,1.0,1.0
171,1.0,0.0,1.0,0.113639891,0.0,1.0,0.182776108,1.0,1.0,1.0
172,1.0,0.0,1.0,0.090515204,0.0,1.0,0.340885401,1.0,1.0,1.0
173,1.0,0.0,1.0,0.005768371,0.0,1.0,0.561366796,1.0,1.0,1.0
174,1.0,0.0,1.0,0.004326268,0.0,1.0,0.532831788,1.0,1.0,1.0
175,1.0,0.0244,1.0,0.018189598,0.0064,1.0,0.349196464,1.0,1.0,1.0
176,1.0,0.1612,1.0,0.015189807,0.201,1.0,0.328261524,1.0,1.0,1.0
177,1.0,0.2826,1.0,0.013287334,0.3271,1.0,0.31219551,1.0,1.0,1.0
178,1.0,0.4098,1.0,0.013706244,0.3918,1.0,0.30152756,1.0,1.0,1.0
179,1.0,0.4915,1.0,0.020444827,0.4546,1.0,0.295787871,1.0,1.0,1.0
180,1.0,0.5294,1.0,0.035538867,0.4968,1.0,0.294949979,1.0,1.0,1.0
181,1.0,0.51,1.0,0.057279911,0.4935,1.0,0.299089581,1.0,1.0,1.0
182,1.0,0.6343,1.0,0.0,0.6583,1.0,0.258339882,1.0,1.0,1.0
183,1.0,0.4632,1.0,0.001327389,0.5201,1.0,0.248330519,1.0,1.0,1.0
184,1.0,0.341,1.0,0.024780901,0.4155,1.0,0.184443623,1.0,1.0,1.0
185,1.0,0.2327,1.0,0.035902314,0.2841,1.0,0.264046878,1.0,1.0,1.0
186,1.0,0.1225,1.0,0.022578696,0.1595,1.0,0.243451402,1.0,1.0,1.0
187,1.0,0.0432,1.0,0.014733805,0.0414,1.0,0.32474345,1.0,1.0,1.0
188,1.0,0.0,1.0,0.007492077,0.0,1.0,0.300365448,1.0,1.0,1.0
189,1.0,0.0,1.0,0.045484513,0.0,1.0,0.69153136,1.0,1.0,1.0
190,1.0,0.0,1.0,0.142919555,0.0,1.0,0.821759284,1.0,1.0,1.0
191,1.0,0.0,1.0,0.246317014,0.0,1.0,0.770377636,1.0,1.0,1.0
192,1.0,0.0,1.0,0.138689518,0.0,1.0,0.649565697,1.0,1.0,1.0
193,1.0,0.0,1.0,0.108802505,0.0,1.0,0.642557919,1.0,1.0,1.0
194,1.0,0.0,1.0,0.048519075,0.0,1.0,0.554622412,1.0,1.0,1.0
195,1.0,0.0,1.0,0.050109562,0.0,1.0,0.506420374,1.0,1.0,1.0
196,1.0,0.0,1.0,0.039584052,0.0,1.0,0.451454103,1.0,1.0,1.0
197,1.0,0.0,1.0,0.017524129,0.0,1.0,0.412500948,1.0,1.0,1.0
198,1.0,0.0464,1.0,0.010153767,0.0091,1.0,0.352001578,1.0,1.0,1.0
199,1.0,0.1035,1.0,0.012420705,0.1225,1.0,0.340065747,1.0,1.0,1.0
200,1.0,0.2664,1.0,0.0,0.2873,1.0,0.073422953,1.0,1.0,1.0
201,1.0,0.4112,1.0,2.86e-5,0.4241,1.0,0.032108564,1.0,1.0,1.0
202,1.0,0.5047,1.0,0.00340222,0.5213,1.0,0.122271009,1.0,1.0,1.0
203,1.0,0.5421,1.0,0.00238833,0.5502,1.0,0.106695965,1.0,1.0,1.0
204,1.0,0.5389,1.0,0.002340877,0.527,1.0,0.1579763,1.0,1.0,1.0
205,1.0,0.5425,1.0,0.016254757,0.558,1.0,0.167988762,1.0,1.0,1.0
206,1.0,0.5567,1.0,0.044550132,0.5624,1.0,0.223243356,1.0,1.0,1.0
207,1.0,0.561,1.0,0.128513008,0.5658,1.0,0.267719388,1.0,1.0,1.0
208,1.0,0.4936,1.0,0.255823791,0.4944,1.0,0.286864132,1.0,1.0,1.0
209,1.0,0.343,1.0,0.275023997,0.3734,1.0,0.227319032,1.0,1.0,1.0
210,1.0,0.1536,1.0,0.299163222,0.2074,1.0,0.305128455,1.0,1.0,1.0
211,1.0,0.0619,1.0,0.328098595,0.0927,1.0,0.268108368,1.0,1.0,1.0
212,1.0,0.0,1.0,0.451898903,0.0,1.0,0.304975748,1.0,1.0,1.0
213,1.0,0.0,1.0,0.418652683,0.0,1.0,0.428766012,1.0,1.0,1.0
214,1.0,0.0,1.0,0.520568132,0.0,1.0,0.540199041,1.0,1.0,1.0
215,1.0,0.0,1.0,0.537919641,0.0,1.0,0.594167233,1.0,1.0,1.0
216,1.0,0.0,1.0,0.468952566,0.0,1.0,0.619165778,1.0,1.0,1.0
217,1.0,0.0,1.0,0.518067956,0.0,1.0,0.522201419,1.0,1.0,1.0
218,1.0,0.0,1.0,0.687765837,0.0,1.0,0.490472913,1.0,1.0,1.0
219,1.0,0.0,1.0,0.711328745,0.0,1.0,0.449161708,1.0,1.0,1.0
220,1.0,0.0,1.0,0.817015767,0.0,1.0,0.475327849,1.0,1.0,1.0
221,1.0,0.0,1.0,0.916730881,0.0,1.0,0.388825983,1.0,1.0,1.0
222,1.0,0.08,1.0,0.780240059,0.0761,1.0,0.306768537,1.0,1.0,1.0
223,1.0,0.0962,1.0,0.490199894,0.1204,1.0,0.205111325,1.0,1.0,1.0
224,1.0,0.2692,1.0,0.031916842,0.2931,1.0,0.058619201,1.0,1.0,1.0
225,1.0,0.4479,1.0,0.0,0.4616,1.0,0.004739426,1.0,1.0,1.0
226,1.0,0.5826,1.0,0.0,0.5836,1.0,0.004817469,1.0,1.0,1.0
227,1.0,0.683,1.0,0.003602037,0.6775,1.0,0.044622004,1.0,1.0,1.0
228,1.0,0.6924,1.0,0.008759916,0.6925,1.0,0.087428428,1.0,1.0,1.0
229,1.0,0.6825,1.0,0.144058302,0.6905,1.0,0.093296498,1.0,1.0,1.0
230,1.0,0.6547,1.0,0.406045526,0.6762,1.0,0.031904854,1.0,1.0,1.0
231,1.0,0.5878,1.0,0.457589835,0.5897,1.0,0.031114295,1.0,1.0,1.0
232,1.0,0.4732,1.0,0.552905083,0.4958,1.0,0.056565344,1.0,1.0,1.0
233,1.0,0.3272,1.0,0.767144561,0.34,1.0,0.113027856,1.0,1.0,1.0
234,1.0,0.153,1.0,0.979010284,0.1756,1.0,0.251150817,1.0,1.0,1.0
235,1.0,0.0376,1.0,0.866155326,0.0739,1.0,0.376768082,1.0,1.0,1.0
236,1.0,0.0,1.0,0.534160316,0.0,1.0,0.656343281,1.0,1.0,1.0
237,1.0,0.0,1.0,0.402927607,0.0,1.0,0.82255578,1.0,1.0,1.0
238,1.0,0.0,1.0,0.504087806,0.0,1.0,0.835137606,1.0,1.0,1.0
239,1.0,0.0,1.0,0.558010459,0.0,1.0,0.884523988,1.0,1.0,1.0
240,1.0,0.0,1.0,0.720264733,0.0,1.0,0.855545521,1.0,1.0,1.0
241,1.0,0.0,1.0,0.219298735,0.0,1.0,0.885308266,1.0,1.0,1.0
242,1.0,0.0,1.0,0.158451974,0.0,1.0,0.934325874,1.0,1.0,1.0
243,1.0,0.0,1.0,0.298258722,0.0,1.0,0.90548861,1.0,1.0,1.0
244,1.0,0.0,1.0,0.450397819,0.0,1.0,0.873423874,1.0,1.0,1.0
245,1.0,0.0,1.0,0.234599099,0.0,1.0,0.934801877,1.0,1.0,1.0
246,1.0,0.0003,1.0,0.410587072,0.0,1.0,0.906266451,1.0,1.0,1.0
247,1.0,0.1183,1.0,0.546035469,0.1017,1.0,0.886363506,1.0,1.0,1.0
248,1.0,0.2276,1.0,0.695316792,0.2182,1.0,0.854235232,1.0,1.0,1.0
249,1.0,0.3245,1.0,0.834340334,0.2787,1.0,0.814765453,1.0,1.0,1.0
250,1.0,0.3045,1.0,0.92306143,0.2748,1.0,0.773284316,1.0,1.0,1.0
251,1.0,0.3433,1.0,0.95623517,0.3545,1.0,0.820491552,1.0,1.0,1.0
252,1.0,0.3785,1.0,0.959093571,0.3891,1.0,0.874905467,1.0,1.0,1.0
253,1.0,0.438,1.0,0.971156001,0.4407,1.0,0.9909724,1.0,1.0,1.0
254,1.0,0.364,1.0,0.987286747,0.3752,1.0,0.996236444,1.0,1.0,1.0
255,1.0,0.3523,1.0,1.0,0.3413,1.0,0.981072664,1.0,1.0,1.0
256,1.0,0.2649,1.0,0.994086385,0.2711,1.0,0.981270671,1.0,1.0,1.0
257,1.0,0.1739,1.0,0.916867077,0.1633,1.0,0.980529904,1.0,1.0,1.0
258,1.0,0.068,1.0,0.896740079,0.0955,1.0,0.883206904,1.0,1.0,1.0
259,1.0,0.0032,1.0,0.78333503,0.0068,1.0,0.835964799,1.0,1.0,1.0
260,1.0,0.0,1.0,0.786011815,0.0,1.0,0.782323241,1.0,1.0,1.0
261,1.0,0.0,1.0,0.582567692,0.0,1.0,0.690945089,1.0,1.0,1.0
262,1.0,0.0,1.0,0.81801784,0.0,1.0,0.677657366,1.0,1.0,1.0
263,1.0,0.0,1.0,0.760315537,0.0,1.0,0.601608753,1.0,1.0,1.0
264,1.0,0.0,1.0,0.485735118,0.0,1.0,0.522088647,1.0,1.0,1.0
265,1.0,0.0,1.0,0.519115031,0.0,1.0,0.441972673,1.0,1.0,1.0
266,1.0,0.0,1.0,0.563973665,0.0,1.0,0.457429349,1.0,1.0,1.0
267,1.0,0.0,1.0,0.409247786,0.0,1.0,0.459271848,1.0,1.0,1.0
268,1.0,0.0,1.0,0.178750813,0.0,1.0,0.383463413,1.0,1.0,1.0
269,1.0,0.0,1.0,0.189539716,0.0,1.0,0.358198643,1.0,1.0,1.0
270,1.0,0.0,1.0,0.106645718,0.0,1.0,0.291486204,1.0,1.0,1.0
271,1.0,0.0147,1.0,0.056643635,0.0111,1.0,0.236151069,1.0,1.0,1.0
272,1.0,0.0856,1.0,0.042929146,0.1055,1.0,0.33877486,1.0,1.0,1.0
273,1.0,0.1722,1.0,0.08702822,0.2396,1.0,0.126070455,1.0,1.0,1.0
274,1.0,0.2509,1.0,0.04526265,0.3134,1.0,0.068667322,1.0,1.0,1.0
275,1.0,0.3024,1.0,0.023637753,0.377,1.0,0.03598908,1.0,1.0,1.0
276,1.0,0.3723,1.0,0.011062475,0.3916,1.0,0.011880561,1.0,1.0,1.0
277,1.0,0.3725,1.0,0.008010314,0.3709,1.0,0.021662347,1.0,1.0,1.0
278,1.0,0.3379,1.0,0.00351899,0.3712,1.0,0.018161874,1.0,1.0,1.0
279,1.0,0.3128,1.0,0.003359569,0.3164,1.0,0.045069553,1.0,1.0,1.0
280,1.0,0.235,1.0,0.017455762,0.2211,1.0,0.090180144,1.0,1.0,1.0
281,1.0,0.1418,1.0,0.037046939,0.164,1.0,0.1824186,1.0,1.0,1.0
