BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t89,43370.62165904021,4738.4241309597855,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55761.04579
t90,44093.67136841555,5170.85767158445,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56916.52904
t91,49478.0048,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57130.0048
t92,49011.393569999986,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56663.39357
t93,49741.300755957185,0.0,-1861.1832659571946,0.0,0.0,0.0,0.0,0.0,0.0,-55532.11749
t94,48002.38644018214,0.0,-1550.2048001821436,0.0,0.0,0.0,0.0,0.0,0.0,-54104.18164
t95,45395.57322,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53047.57322
t96,44896.68383999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52548.68384
t97,45899.79992352736,0.0,-1197.5693935273669,0.0,0.0,0.0,0.0,0.0,0.0,-52354.23053
t98,49916.0049804844,0.0,-5039.353990484405,0.0,0.0,0.0,0.0,0.0,0.0,-52528.65099
t99,47199.59654772198,0.0,-1793.0874377219936,0.0,0.0,0.0,0.0,0.0,0.0,-53058.50911
t100,46360.46145999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54012.46146
t101,49065.69597983583,0.0,-792.2823498358298,0.0,0.0,0.0,0.0,0.0,0.0,-55925.41363
t102,49215.11399925055,947.41423074945,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57814.52823
t103,45160.49886149404,5164.344628505966,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57976.84349
t104,45324.75724671118,3797.5229432888195,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56774.28019
t105,47241.86637,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54893.86637
t106,45309.77229000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52961.77229
t107,43390.74994000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51042.74994
t108,46029.35336469643,0.0,-4224.545504696426,0.0,0.0,0.0,0.0,0.0,0.0,-49456.80786
t109,39037.863148299046,3421.881858804105,-1900.3420071031462,0.0,0.0,0.0,0.0,0.0,0.0,-48211.403
t110,45139.89119590726,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-47469.66733
t111,42561.42832777667,1277.7057640652902,-4044.5181018419607,0.0,0.0,0.0,0.0,0.0,0.0,-47446.61599
t112,44467.67827855283,1243.2882786772134,-4078.9355872300375,0.0,0.0,0.0,0.0,0.0,0.0,-49284.03097
t113,43932.70378000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51584.70378
t114,44698.51137000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52350.51137
t115,45053.25329000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52705.25329
t116,45073.71122,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52725.71122
