Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t104,-0.0,-0.0,-0.0,6040.581469155521,8911.244849742623,-0.0,-0.0,0.0,0.0,0.0,14951.826318898144
t105,-0.0,-0.0,-0.0,6040.581469155521,8933.867656355404,-0.0,-0.0,0.0,0.0,47.42342300063007,15021.872548511554
t106,-0.0,-0.0,-0.0,6040.581469155521,8924.898876789295,-0.0,-0.0,0.0,0.0,12.175561421104542,14977.655907365921
t107,-0.0,-0.0,-0.0,6040.581469155521,8916.92662828609,-0.0,-0.0,0.0,0.0,0.0,14957.50809744161
t108,-0.0,-0.0,-0.0,6040.581469155521,8897.992538090975,-0.0,-0.0,0.0,0.0,0.0,14938.574007246496
t109,-0.0,-0.0,-0.0,6040.581469155521,8874.075792581358,-0.0,-0.0,0.0,0.0,0.0,14914.657261736878
t110,-0.0,-0.0,-0.0,6040.581469155521,8871.086199392656,-0.0,-0.0,0.0,0.0,0.0,14911.667668548176
t111,-0.0,-0.0,-0.0,6040.581469155521,8863.113950889448,-0.0,-0.0,0.0,0.0,0.0,14903.695420044969
t112,-0.0,-0.0,-0.0,6040.581469155521,8886.034165336167,-0.0,-0.0,0.0,0.0,0.0,14926.615634491687
t113,-0.0,-0.0,-0.0,6040.581469155521,9029.534638393872,-0.0,-0.0,0.0,0.0,421.51131281148514,15491.627420360877
t114,-0.0,-0.0,-0.0,6040.581469155521,9254.750658609439,-0.0,-0.0,0.0,0.0,1302.8629091628782,16598.19503692784
t115,-0.0,-0.0,-0.0,6040.581469155521,9245.781879043332,-0.0,-0.0,0.0,0.0,1268.5726191740016,16554.935967372854
t116,-0.0,-0.0,-0.0,6040.581469155521,9170.045518262876,-0.0,-0.0,0.0,0.0,969.9039852307708,16180.530972649167
t117,-0.0,-0.0,-0.0,6040.581469155521,9041.493011148681,-0.0,-0.0,0.0,0.0,469.4983366880099,15551.572816992211
t118,-0.0,-0.0,-0.0,6040.581469155521,8836.207612191132,-0.0,-0.0,0.0,-0.0,0.0,14876.789081346653
t119,-0.0,-0.0,-0.0,6040.581469155521,7884.382869453272,-0.0,-0.0,0.0,-0.0,0.0,13924.964338608792
t120,-0.0,-0.0,-0.0,6040.581469155521,6787.860080983126,-0.0,-0.0,0.0,0.0,0.0,12828.441550138647
t121,-0.0,-0.0,-0.0,6040.581469155521,5097.371585165137,-0.0,-0.0,0.0,0.0,0.0,11137.953054320657
t122,-0.0,-0.0,-0.0,6040.581469155521,5620.923971629918,-0.0,-0.0,0.0,0.0,0.0,11661.505440785439
t123,-0.0,-0.0,-0.0,6040.581469155521,5425.7621654552895,-0.0,-0.0,0.0,0.0,0.0,11466.34363461081
t124,-0.0,-0.0,-0.0,6040.581469155521,4334.205466424984,-0.0,-0.0,0.0,0.0,0.0,10374.786935580505
t125,-0.0,-0.0,-0.0,6040.581469155521,5605.830195357516,-0.0,-0.0,0.0,0.0,0.0,11646.411664513036
t126,-0.0,-0.0,-0.0,6040.581469155521,5556.096641380023,-0.0,-0.0,0.0,0.0,0.0,11596.678110535544
t127,-0.0,-0.0,-0.0,6040.581469155521,7342.557271342697,-0.0,-0.0,0.0,0.0,0.0,13383.138740498218
t128,-0.0,-0.0,-0.0,6040.581469155521,8848.16598494594,-0.0,-0.0,0.0,0.0,0.0,14888.74745410146
t129,-0.0,-0.0,-0.0,6040.581469155521,8922.905814663494,-0.0,-0.0,0.0,0.0,5.317503423327485,14968.804787242343
t130,-0.0,-0.0,-0.0,6040.581469155521,8971.735836745629,-0.0,-0.0,0.0,0.0,195.2923094244159,15207.609615325566
t131,-0.0,-0.0,-0.0,6040.581469155521,9004.621361821353,-0.0,-0.0,0.0,0.0,322.5870218548732,15367.789852831747
t132,-0.0,-0.0,-0.0,6040.581469155521,9014.586672450361,-0.0,-0.0,0.0,0.0,363.7159877336227,15418.884129339505
t133,-0.0,-0.0,-0.0,6040.581469155521,8993.659520129446,-0.0,-0.0,0.0,0.0,281.4580559761273,15315.699045261093
t134,-0.0,-0.0,-0.0,6040.581469155521,8969.742774619828,-0.0,-0.0,0.0,0.0,186.48034402953485,15196.804587804883
t135,-0.0,-0.0,-0.0,6040.581469155521,8928.885001040899,-0.0,-0.0,0.0,0.0,29.799492210866198,14999.265962407286
t136,-0.0,-0.0,-0.0,6040.581469155521,8891.079791563423,-0.0,-0.0,0.0,0.0,0.0,14931.661260718944
t137,-0.0,-0.0,-0.0,6040.581469155521,9006.614423947156,-0.0,-0.0,0.0,0.0,332.3953230562147,15379.591216158891
t138,-0.0,-0.0,-0.0,6040.581469155521,9139.153055312952,-0.0,-0.0,0.0,0.0,851.4212381951946,16031.155762663668
t139,-0.0,-0.0,-0.0,6040.581469155521,9092.316095356618,-0.0,-0.0,0.0,0.0,666.3312006868732,15799.228765199012
t140,-0.0,-0.0,-0.0,6040.581469155521,8985.68727162624,-0.0,-0.0,0.0,0.0,251.1143449972686,15277.383085779029
t141,-0.0,-0.0,-0.0,6040.581469155521,8667.2789501803,-0.0,-0.0,0.0,-0.0,0.0,14707.86041933582
t142,-0.0,-0.0,-0.0,6040.581469155521,7886.961668171128,-0.0,-0.0,0.0,0.0,0.0,13927.543137326647
t143,-0.0,-0.0,-0.0,6040.581469155521,6844.510780693046,-0.0,-0.0,0.0,0.0,0.0,12885.092249848567
t144,-0.0,-0.0,-0.0,6040.581469155521,6670.160218296311,-0.0,-0.0,0.0,0.0,0.0,12710.741687451831
t145,-0.0,-0.0,-0.0,6040.581469155521,4941.102390063641,-0.0,-0.0,0.0,0.0,0.0,10981.683859219162
t146,-0.0,-0.0,-0.0,6040.581469155521,4429.9794869888665,-0.0,-0.0,0.0,0.0,0.0,10470.560956144387
t147,-0.0,-0.0,-0.0,6040.581469155521,4167.865893094624,-0.0,-0.0,0.0,0.0,0.0,10208.447362250145
