Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,126,12266,17768,9796,19058,17670,11429
,,,,,,,,127,12100,17929,10234,19319,19007,11461
,,,,,,,,128,12128,18236,10610,20076,20032,11685
,,,,,,,,129,12632,18816,10930,20885,20740,11930
,,,,,,,,130,13417,20429,11182,21753,21042,12458
,,,,,,,,131,14074,21740,11545,23124,21379,12876
,,,,,,,,132,14998,22536,11816,24536,21615,13290
,,,,,,,,133,16023,24426,12044,25775,21742,13621
,,,,,,,,134,17307,26158,12175,26883,21815,14083
,,,,,,,,135,18740,27725,12124,27745,21750,14410
,,,,,,,,136,20109,28894,11954,28149,21625,14460
,,,,,,,,137,20712,29084,11840,27978,21439,14195
,,,,,,,,138,20176,28315,11558,26875,20971,13869
,,,,,,,,139,19364,27174,11343,26501,20453,13740
,,,,,,,,140,18971,26623,11208,25863,20496,13666
,,,,,,,,141,18841,26441,10810,24747,20092,13197
,,,,,,,,142,17789,24963,10222,23237,18970,12444
,,,,,,,,143,16375,22980,9627,21734,17605,11753
,,,,,,,,144,14959,20993,9196,20789,16292,11313
,,,,,,,,145,14057,19729,8840,19797,16159,10973
,,,,,,,,146,13381,18778,8639,19083,15617,10718
,,,,,,,,147,12773,17925,8431,18570,15284,10431
,,,,,,,,148,12530,17584,8399,18385,15213,10369
,,,,,,,,149,12021,16953,8473,18259,15444,10405
,,,,,,,,150,11030,15982,8555,17896,15824,10175
,,,,,,,,151,10153,14876,8811,18169,16492,10173
,,,,,,,,152,10112,14428,9346,19109,17598,10567
,,,,,,,,153,10648,14574,9837,20535,18609,11021
,,,,,,,,154,11314,15960,10218,22273,19325,11577
,,,,,,,,155,12449,17438,10476,23782,19527,12054
,,,,,,,,156,13745,18984,10697,24930,19636,12573
,,,,,,,,157,14536,20482,10837,26229,19603,12956
,,,,,,,,158,15748,22053,10925,27359,19515,13056
,,,,,,,,159,16869,23531,11052,28129,19519,13005
,,,,,,,,160,17669,24914,11175,28541,19668,13229
,,,,,,,,161,18224,25583,11065,28417,19784,13110
,,,,,,,,162,18136,25451,10861,27319,19741,13041
,,,,,,,,163,17630,24741,10672,26832,19533,12961
,,,,,,,,164,17397,24414,10582,25991,19708,12952
,,,,,,,,165,17395,24410,10195,24710,19533,12562
,,,,,,,,166,16531,23199,9525,23180,18496,11980
,,,,,,,,167,15279,21442,9038,21716,17311,11373
,,,,,,,,168,14165,19879,8605,20535,16314,10992
,,,,,,,,169,18104,25407,10521,23450,19489,12526
,,,,,,,,170,16949,23786,10242,22625,18738,12292
,,,,,,,,171,16300,22874,10008,21984,18320,12081
,,,,,,,,172,15790,22139,9914,21456,18136,11858
,,,,,,,,173,14843,20764,9898,21032,18158,11802
,,,,,,,,174,13523,19094,9933,20552,18266,11521
,,,,,,,,175,12046,17178,10231,21215,18880,11479
,,,,,,,,176,11660,16714,10832,22972,20239,11995
,,,,,,,,177,12346,17684,11509,25331,21851,12528
,,,,,,,,178,13512,19343,12270,27732,23156,13141
,,,,,,,,179,15057,21544,12915,29861,24102,13616
,,,,,,,,180,16689,23882,13522,31725,24862,14026
,,,,,,,,181,18435,26396,14114,33441,25705,14452
,,,,,,,,182,20399,29227,14594,34734,26329,14904
,,,,,,,,183,22469,32133,14871,35614,26858,15258
,,,,,,,,184,24280,34561,15091,36195,27339,15658
,,,,,,,,185,25391,35774,15215,36137,27856,16126
,,,,,,,,186,25467,35740,14994,34866,27912,16102
,,,,,,,,187,24935,34992,14660,33805,27564,15919
,,,,,,,,188,24116,33843,14368,32665,27196,15799
,,,,,,,,189,23971,33641,13818,30798,26682,15302
,,,,,,,,190,22896,32131,12830,28542,25209,14371
,,,,,,,,191,21013,29488,11912,26432,23134,13546
,,,,,,,,192,19070,26763,11250,24983,21288,12954
,,,,,,,,193,17634,24747,10742,23663,20067,12583
,,,,,,,,194,16823,23608,10457,22843,19331,12354
,,,,,,,,195,16133,22640,10327,22457,18947,12258
,,,,,,,,196,15742,22061,10461,22427,19075,12356
,,,,,,,,197,15129,21114,10891,22794,19851,12858
,,,,,,,,198,14442,20345,11347,22922,20890,13084
,,,,,,,,199,14233,20250,11968,23414,22477,13315
,,,,,,,,200,14694,21060,12644,24627,23960,13632
,,,,,,,,201,15641,22447,13345,26381,25297,13932
,,,,,,,,202,16824,24193,14021,28529,26334,14114
,,,,,,,,203,18533,26625,14557,30272,27276,14310
,,,,,,,,204,20215,29028,15206,31833,28097,14397
,,,,,,,,205,21930,31470,15693,33368,28857,14676
,,,,,,,,206,23977,34378,16191,34728,29547,15006
,,,,,,,,207,25975,37169,16479,35928,30000,15113
,,,,,,,,208,27632,39312,16519,36513,30215,15143
,,,,,,,,209,28571,40237,16294,36268,30162,15347
,,,,,,,,210,28254,39651,15921,35373,29841,15181
,,,,,,,,211,27387,38434,15687,34944,29123,15238
,,,,,,,,212,26288,36891,15247,33922,28396,15474
,,,,,,,,213,25884,36325,14605,32160,27720,15091
,,,,,,,,214,24364,34192,13503,29802,25906,14368
,,,,,,,,215,22067,30968,12463,27521,23711,13584
,,,,,,,,216,19831,27830,11730,25896,21706,13099
,,,,,,,,217,18367,25776,11198,24769,20411,12842
,,,,,,,,218,17216,24160,10824,23946,19526,12647
,,,,,,,,219,16425,23050,10641,23383,19167,12476
,,,,,,,,220,15986,22413,10650,23213,19218,12499
,,,,,,,,221,15427,21513,11019,23449,19970,12863
,,,,,,,,222,14843,20827,11512,23327,21153,13041
,,,,,,,,223,14476,20510,12012,23760,22667,12901
,,,,,,,,224,14825,21135,12719,24788,24134,13176
,,,,,,,,225,15573,22274,13387,26581,25291,13518
,,,,,,,,226,16750,23994,14003,28665,26136,14156
,,,,,,,,227,18276,26152,14549,30355,26957,14502
,,,,,,,,228,19754,28254,15055,31942,27571,14954
,,,,,,,,229,21419,30645,15576,33537,28431,15492
,,,,,,,,230,23425,33496,16061,34931,29156,16173
,,,,,,,,231,25388,36237,16303,36065,29617,16531
,,,,,,,,232,26899,38229,16368,36623,29907,16863
,,,,,,,,233,27774,39053,16202,36233,30022,17084
,,,,,,,,234,27314,38331,15838,35031,29701,16815
,,,,,,,,235,26219,36794,15438,34344,28930,16571
,,,,,,,,236,25034,35131,15041,33275,28251,16501
,,,,,,,,237,24754,34738,14433,31515,27709,15890
,,,,,,,,238,23347,32764,13283,28980,26061,14849
,,,,,,,,239,21153,29685,12318,26566,23749,13999
,,,,,,,,240,19076,26771,11529,24524,21826,13413
,,,,,,,,241,17482,24533,10988,23089,20465,12971
,,,,,,,,242,16557,23235,10673,22189,19663,12662
,,,,,,,,243,15950,22383,10494,21781,19285,12476
,,,,,,,,244,15601,21854,10596,21821,19336,12527
,,,,,,,,245,15041,20936,11002,22387,20055,12935
,,,,,,,,246,14403,20166,11416,22588,21255,13037
,,,,,,,,247,14162,19981,11805,22859,22622,13136
,,,,,,,,248,14396,20427,12376,23454,23940,13426
,,,,,,,,249,14867,21194,12967,24533,25047,13791
,,,,,,,,250,15654,22329,13579,25866,26054,14425
,,,,,,,,251,16760,23912,14132,27230,26852,14989
,,,,,,,,252,18123,25914,14775,28357,27708,15613
,,,,,,,,253,19581,28013,15337,29592,28452,16354
,,,,,,,,254,21483,30736,15793,30721,29149,17018
,,,,,,,,255,23433,33488,15976,31657,29630,17318
,,,,,,,,256,25078,35670,16064,32250,29867,17475
,,,,,,,,257,25916,36446,15794,31519,29983,17258
,,,,,,,,258,25401,35647,15797,31532,29676,16659
,,,,,,,,259,24536,34433,15327,31033,29026,16195
,,,,,,,,260,23603,33123,14959,30529,28504,15915
,,,,,,,,261,23514,32999,14339,28944,28004,15234
,,,,,,,,262,22314,31314,13320,26802,26388,14254
,,,,,,,,263,20343,28548,12305,24927,24188,13361
,,,,,,,,264,18419,25849,11527,23630,22299,12705
,,,,,,,,265,17028,23897,11012,22670,21091,12394
,,,,,,,,266,16115,22615,10651,22011,19961,12120
,,,,,,,,267,15457,21691,10503,21628,19504,11992
,,,,,,,,268,15088,21142,10539,21787,19522,12012
,,,,,,,,269,14551,20247,10917,22343,20214,12478
,,,,,,,,270,13987,19535,11374,22445,21305,12676
,,,,,,,,271,13675,19241,11888,22583,22667,12683
,,,,,,,,272,13736,19446,12399,22993,24095,12849
,,,,,,,,273,14336,20429,12996,23840,25371,13009
,,,,,,,,274,15263,21736,13735,25079,26617,13373
,,,,,,,,275,16539,23496,14347,26235,27624,13658
,,,,,,,,276,17957,25465,14965,27542,28572,14018
,,,,,,,,277,19553,27741,15504,28756,29379,14476
,,,,,,,,278,21607,30697,15948,29963,30073,15007
,,,,,,,,279,23755,33770,16050,30688,30433,15273
,,,,,,,,280,25409,36071,15954,31086,30540,15333
,,,,,,,,281,26281,36966,15847,31064,30464,15300
,,,,,,,,282,25908,36358,15644,30580,30144,15112
,,,,,,,,283,25137,35276,15329,30599,29458,14922
,,,,,,,,284,24323,34134,15003,29924,28962,15024
,,,,,,,,285,24198,33958,14351,28503,28315,14521
,,,,,,,,286,22751,31928,13351,26454,26712,13610
,,,,,,,,287,20676,29016,12351,24491,24498,12888
,,,,,,,,288,18784,26361,11520,23151,22203,12491
,,,,,,,,289,17290,24264,11021,22017,21068,12243
,,,,,,,,290,16420,23043,10680,21290,20210,12033
,,,,,,,,291,15767,22126,10465,20881,19724,11829
,,,,,,,,292,15410,21593,10534,21001,19686,11887
,,,,,,,,293,14862,20666,10884,21449,20382,12259
,,,,,,,,294,14255,19871,11339,21527,21430,12516
,,,,,,,,295,14089,19791,11731,21662,22778,12562
,,,,,,,,296,14381,20318,12433,22065,24248,12767
,,,,,,,,297,15098,21375,13104,22955,25566,12965
,,,,,,,,298,16129,22845,13712,24021,26709,13337
,,,,,,,,299,17506,24774,14266,25225,27598,13603
,,,,,,,,300,18835,26665,14786,26267,28455,14074
,,,,,,,,301,20311,28789,15302,27430,29178,14617
,,,,,,,,302,22110,31395,15708,28619,29836,14885
,,,,,,,,303,24024,34139,15895,29623,30115,15062
,,,,,,,,304,25674,36451,15965,30126,30412,15306
,,,,,,,,305,26476,37231,15686,29994,30237,15494
,,,,,,,,306,26056,36566,15352,29134,29675,15279
,,,,,,,,307,25072,35185,14903,28968,28785,14998
,,,,,,,,308,24075,33786,14490,28455,28041,14947
,,,,,,,,309,23867,33494,13880,27321,27268,14438
,,,,,,,,310,22711,31871,12975,25730,25726,13593
,,,,,,,,311,20917,29354,12078,24048,23798,12958
,,,,,,,,312,19224,26978,11291,22771,22008,12363
,,,,,,,,313,17905,25128,10761,21631,20606,12104
,,,,,,,,314,16983,23833,10339,20993,19693,11812
,,,,,,,,315,16234,22781,10122,20488,19072,11700
,,,,,,,,316,15727,22038,10027,20333,18794,11537
,,,,,,,,317,14886,20724,10080,20185,18888,11660
,,,,,,,,318,13715,19207,10235,19674,19182,11517
,,,,,,,,319,12319,17416,10570,20060,19930,11429
,,,,,,,,320,12009,17107,11202,21239,21111,11840
,,,,,,,,321,12724,18218,11879,22848,22441,12098
,,,,,,,,322,13994,19987,12568,24557,23417,12489
,,,,,,,,323,15420,21967,13059,25840,24038,12711
,,,,,,,,324,16842,23942,13562,26908,24483,13021
,,,,,,,,325,18474,26233,14020,28050,24795,13223
,,,,,,,,326,20127,28661,14411,29234,25130,13631
,,,,,,,,327,21945,31291,14710,30150,25369,13866
,,,,,,,,328,23692,33687,14828,30596,25548,14253
,,,,,,,,329,24703,34744,14753,30333,25826,14474
,,,,,,,,330,24503,34387,14437,29325,25802,14378
,,,,,,,,331,23768,33355,14076,28918,25359,14112
,,,,,,,,332,22818,32022,13774,28306,25067,14102
,,,,,,,,333,22568,31672,13308,27300,24780,13750
,,,,,,,,334,21523,30205,12423,25751,23649,13026
,,,,,,,,335,20061,28153,11641,24066,22055,12426
,,,,,,,,336,18426,25858,10944,22801,20504,11955
