Segment,1,2,1,2,1,2,1,2,1,2,1,2,Total
t30,-3.5048306523461985e-12,-2.3564788911614288e-12,-3.5048826763966277e-12,-2.3585890743535473e-12,-3.5047054180724126e-12,-2.3560722362979476e-12,-3.504406962964521e-12,-2.3612680297233824e-12,-3.504740120176353e-12,-2.353414461306409e-12,-3.504532439441559e-12,-2.3584810473691703e-12,-1.7585558948628164e-11
t31,-3.5048409835592377e-12,-2.3624658246086646e-12,-3.5049738844012546e-12,-2.3643520768344387e-12,-3.504638118003397e-12,-2.3625365886641834e-12,-3.504386427024158e-12,-2.3667720870175546e-12,-3.5047066499877656e-12,-2.3601392495789154e-12,-3.5045490196286735e-12,-2.364668342419786e-12,-1.7603807476071177e-11
t32,-3.504901115811693e-12,-2.3692353342256656e-12,-3.504957150372609e-12,-2.36944911262895e-12,-3.504685221190097e-12,-2.368907146082049e-12,-3.5044068509856404e-12,-2.371600081742061e-12,-3.504762406312551e-12,-2.3667855032591644e-12,-3.5045604943304153e-12,-2.3668685244799978e-12,-1.7622135080311067e-11
t33,-3.5049888464225878e-12,-2.3849299204062593e-12,-3.505032065939579e-12,-2.3851433273194407e-12,-3.5047541591114328e-12,-2.3847074427554237e-12,-3.5044657353189035e-12,-2.386545046586258e-12,-3.5048103564239655e-12,-2.3832571465475215e-12,-3.5046272616820737e-12,-2.383328307221851e-12,-1.7669555761954724e-11
t34,-3.5051474349473768e-12,-2.4169129417687166e-12,-3.505176259951921e-12,-2.4168734630497616e-12,-3.5049029409154572e-12,-2.4169359512986914e-12,-3.504580143991324e-12,-2.416857862992632e-12,-3.5049431892927016e-12,-2.416800388315878e-12,-3.504628216076929e-12,-2.3854376976145107e-12,-1.7765948991931927e-11
t35,-3.5049994095322753e-12,-2.382071591470905e-12,-3.505091073123382e-12,-2.3832416994494225e-12,-3.50474155240565e-12,-2.3850751693423526e-12,-3.5044141794536664e-12,-2.384746638881165e-12,-3.504796935371716e-12,-2.3836425861295334e-12,-3.5046126987896654e-12,-2.3830877914905996e-12,-1.7665220495323986e-11
t36,-3.5049966553046897e-12,-2.3695345871257017e-12,-3.505122000175686e-12,-2.3711428371885127e-12,-3.5046807498492435e-12,-2.3736641440746377e-12,-3.5043516125558923e-12,-2.373213706143577e-12,-3.5047294980165977e-12,-2.3717506445237613e-12,-3.5045560735577148e-12,-2.3718198671880867e-12,-1.7629140973718472e-11
t37,-3.5050816593160812e-12,-2.367891960814735e-12,-3.5051761925213107e-12,-2.3693526700022035e-12,-3.5046663516830708e-12,-2.3721818535873918e-12,-3.5043294562257017e-12,-2.371511755275829e-12,-3.504705917595592e-12,-2.370210344558019e-12,-3.504545996105394e-12,-2.370276213823744e-12,-1.7624350687924792e-11
t38,-3.505099881844601e-12,-2.367865923177786e-12,-3.5052737876985365e-12,-2.3693112924181337e-12,-3.5046577479884515e-12,-2.372160219440071e-12,-3.5043187203616265e-12,-2.371484042206875e-12,-3.504695610252982e-12,-2.370194283969177e-12,-3.5045423791328287e-12,-2.369218966582086e-12,-1.762436885256758e-11
t39,-3.50516121751668e-12,-2.370309561959576e-12,-3.5052966485876546e-12,-2.3692802737958968e-12,-3.5046620307044626e-12,-2.374399244119009e-12,-3.504308169440037e-12,-2.3714602528367143e-12,-3.5047010663843e-12,-2.3725371440766734e-12,-3.504534975213884e-12,-2.3691816782827062e-12,-1.762910897668328e-11
