Zone,1,2,3,4,5,6
t97,-3.5034476509604413e-10,-2.497293980605767e-10,-5.824377771125282e-10,-2.7326995221769636e-10,-3.2375370220438095e-10,-4.5003661331775317e-10
t98,-3.6985963929376266e-10,-2.6365883403912e-10,-5.978499887367965e-10,-2.8350949773666374e-10,-3.34105003428704e-10,-4.640472307154719e-10
t99,-3.824864478691835e-10,-2.7264744470778995e-10,-6.037593563150253e-10,-2.8962402304860956e-10,-3.3960918503361824e-10,-4.722353871009941e-10
t100,-3.9139263297919433e-10,-2.7911966112132914e-10,-5.954623854009007e-10,-2.8792939815899526e-10,-3.3572409088568774e-10,-4.707838853432132e-10
t101,-4.030379055727417e-10,-2.864183127477809e-10,-5.633338559197304e-10,-2.789509172575334e-10,-3.1961017536224317e-10,-4.538668596854383e-10
t102,-4.177825281775316e-10,-2.929368405357187e-10,-5.324417666134176e-10,-2.761039560141091e-10,-2.9689026319586975e-10,-4.4330257317151545e-10
t103,-4.256810036843512e-10,-2.9174435621353536e-10,-5.142426558540794e-10,-2.6999343031987627e-10,-2.768679831752584e-10,-4.4356381116611604e-10
t104,-4.260785956540914e-10,-2.8584432915208204e-10,-4.984672823703146e-10,-2.605966001120867e-10,-2.6361042578132716e-10,-4.316084097872039e-10
t105,-4.1229600461815167e-10,-2.834997738290659e-10,-4.783401567081948e-10,-2.480182046690379e-10,-2.550315791173138e-10,-4.2133895062424497e-10
t106,-3.857163569617182e-10,-2.549500718225983e-10,-4.6318146631551414e-10,-2.346503518000134e-10,-2.482243408404198e-10,-4.0534740967858247e-10
t107,-3.571128788674948e-10,-2.3086066579955573e-10,-4.496360503651165e-10,-2.2374816780214572e-10,-2.4460813747104896e-10,-3.899634025630262e-10
t108,-3.3090621156021754e-10,-2.2413851472130242e-10,-4.3765061974985816e-10,-2.140698178361329e-10,-2.407850056955888e-10,-3.7660223271637767e-10
t109,-3.055333474572498e-10,-2.0175017678643866e-10,-4.270596721395327e-10,-2.0452966989865388e-10,-2.380520712744526e-10,-3.642207244441569e-10
t110,-2.796599247620803e-10,-1.8618553451645513e-10,-4.1924216861559283e-10,-1.9572541674164483e-10,-2.366737130491854e-10,-3.537407166727858e-10
t111,-2.59426758114085e-10,-1.7660793461277833e-10,-4.16682302446488e-10,-1.911244053248206e-10,-2.353863350046583e-10,-3.5004251048654043e-10
t112,-2.4437909854663354e-10,-1.7123047993313812e-10,-4.175591373548022e-10,-1.898948212448878e-10,-2.349597695747525e-10,-3.5141354924806286e-10
t113,-2.4026648150358897e-10,-1.7119699380941557e-10,-4.234349624868054e-10,-1.9279836061130824e-10,-2.3511024147190577e-10,-3.5893035046231944e-10
t114,-2.463091712583149e-10,-1.7559345046239487e-10,-4.3280091017770255e-10,-1.994402317601423e-10,-2.386094837111597e-10,-3.6896929562510047e-10
t115,-2.5506673618712667e-10,-1.8181744992433984e-10,-4.391735395055501e-10,-2.0127491413405917e-10,-2.4184756323012906e-10,-3.7247211930829497e-10
t116,-2.5931187121240086e-10,-1.8483713577445285e-10,-4.451655125701653e-10,-2.059676552131621e-10,-2.4129438448047577e-10,-3.742066337663446e-10
t117,-2.6014031107932835e-10,-1.854113736788267e-10,-4.6527099297611406e-10,-2.1681727003820103e-10,-2.4491430959092946e-10,-3.9052650066800683e-10
t118,-2.764953659522481e-10,-1.9708510273350323e-10,-4.983211592777616e-10,-2.339237065823257e-10,-2.6086475867856457e-10,-4.2044183046629937e-10
t119,-3.060990693326252e-10,-2.181803650807386e-10,-5.35422955848506e-10,-2.531381840128854e-10,-2.848464657994808e-10,-4.4256631606835833e-10
t120,-3.386660912889771e-10,-2.4139316650589406e-10,-5.68230861716586e-10,-2.678189679858092e-10,-3.086348610604922e-10,-4.597698322210127e-10
t121,-3.673698163904177e-10,-2.618444296517412e-10,-5.91408494725616e-10,-2.814978002222546e-10,-3.295855936607903e-10,-4.743970313444624e-10
t122,-3.828250869724924e-10,-2.7283667925338306e-10,-6.067537366169658e-10,-2.9051274009860594e-10,-3.4106930194844676e-10,-4.861826625291337e-10
t123,-3.9768384522089986e-10,-2.834641184383648e-10,-6.124205995579697e-10,-2.947249389518507e-10,-3.462246891987021e-10,-4.931351639588951e-10
t124,-4.063321552301606e-10,-2.8973011944901754e-10,-6.049079042618808e-10,-2.9273479430640015e-10,-3.444266115918653e-10,-4.93312316176121e-10
t125,-4.1925330882314423e-10,-2.9776560253255375e-10,-5.769366726935422e-10,-2.835359283350575e-10,-3.2855194995219296e-10,-4.773383916247373e-10
t126,-4.379947310874284e-10,-3.024729347231006e-10,-5.483504907116401e-10,-2.8222498777346697e-10,-3.0422647687403755e-10,-4.701792876488969e-10
t127,-4.4399001237127316e-10,-2.997639991830363e-10,-5.249338845857268e-10,-2.784332553617104e-10,-2.828614302400634e-10,-4.688719106487146e-10
t128,-4.429620358250705e-10,-2.9472466178449366e-10,-5.063512536809113e-10,-2.67947190726769e-10,-2.684060244909721e-10,-4.5989374850979153e-10
t129,-4.253097764081075e-10,-2.856567516743334e-10,-4.915443244977245e-10,-2.5758763324563336e-10,-2.5925411961852727e-10,-4.504647567693645e-10
t130,-4.0045538720199553e-10,-2.6313112694038663e-10,-4.804757970885855e-10,-2.473273340892305e-10,-2.555380167230408e-10,-4.3140029058738693e-10
t131,-3.817825617675896e-10,-2.472823971996931e-10,-4.6538777072216913e-10,-2.3268917209164894e-10,-2.515150781530643e-10,-4.1741618997961887e-10
t132,-3.5828867397691764e-10,-2.3855273315660376e-10,-4.547326732674982e-10,-2.1932850515439095e-10,-2.4877673077881795e-10,-4.044373933684807e-10
t133,-3.353934581686122e-10,-2.201099813661608e-10,-4.461396714616691e-10,-2.088064476867071e-10,-2.473281099601092e-10,-3.9462470901475336e-10
t134,-3.105358050129954e-10,-2.055516771722641e-10,-4.413486967371003e-10,-2.002161760978583e-10,-2.4650210924543935e-10,-3.816983325851989e-10
t135,-2.868115459017829e-10,-1.9394576544544042e-10,-4.4320574574899884e-10,-1.9401137628518923e-10,-2.4724377389137127e-10,-3.7305456197256816e-10
