region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,EmissionsCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,RegSubsidyRevenue,Revenue,Cost,Profit
WECC_PNW,WECC_PNW_biomass_1,5,1,47,0.0,0.0,1.267144704e10,0.0,4.541964923125001e9,0.0,0.0,0.0,0.0,0.0,2.5623184e7,0.0,0.0,9.165447409511619e-5,0.0,2.5623184000091653e7,1.7213411963125e10,-1.718778877912491e10
WECC_PNW,WECC_PNW_conventional_hydroelectric_1,5,1,48,0.0,0.0,1.3300128436e12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6737108e9,0.0,0.0,0.0,0.0,3.673710848e9,1.3300128436e12,-1.326339132752e12
WECC_PNW,WECC_PNW_geothermal_1,5,1,49,0.0,0.0,3.10051424e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8948582e6,0.0,0.0,1.4693521088949969e-5,0.0,3.8948582500146935e6,3.10051424e9,-3.096619381749985e9
WECC_PNW,WECC_PNW_hydroelectric_pumped_storage_1,5,1,50,0.0,0.0,1.207636308e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207636308e10,-1.207636308e10
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_1,5,1,51,0.0,0.0,2.2294349999975452e10,0.0,3.731228892e10,2.9098130940623504e8,0.0,1.1577435115897343e7,0.0,0.0,3.8140858e8,0.0,0.0,0.0,0.0,3.81408576e8,5.990919766449758e10,-5.952778908849758e10
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_2,5,2,52,0.0,0.0,450.8742437714375,0.0,175.27962390333414,1.106498366766343,0.0,0.07908725948165618,0.0,0.0,1.6575139,0.0,0.0,0.0,0.0,1.6575138568878174,627.3394533010196,-625.6819394441318
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_1,5,1,53,0.0,0.0,4.2497054512219872e9,0.0,1.1575641041015625e8,1.1379773560243554e6,0.0,173301.00740245075,0.0,0.0,5.7421405e6,0.0,0.0,0.0,0.0,5.7421405e6,4.36677313999557e9,-4.36103099949557e9
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_2,5,2,54,0.0,0.0,3.829401999850904e9,0.0,1.527995576953125e8,1.19823959071542e6,0.0,0.034926393797659785,0.0,0.0,6.214006e6,0.0,0.0,0.0,0.0,6.214006e6,3.9833997971718583e9,-3.9771857911718583e9
WECC_PNW,WECC_PNW_nuclear_1,5,1,55,0.0,0.0,336.0688455478211,0.0,23.418028205633163,0.06968478575545299,0.0,-0.0017235359983456622,0.0,0.0,0.2950396,0.0,0.0,0.0,0.0,0.2950395941734314,359.5548350032114,-359.25979540903796
WECC_PNW,WECC_PNW_onshore_wind_turbine_1,5,1,56,0.0,0.0,2.2699907000009747e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30305e8,0.0,0.0,0.0014303268848623628,0.0,4.3030499200143033e8,2.2699907000009747e11,-2.2656876500809604e11
WECC_PNW,WECC_PNW_solar_photovoltaic_1,5,1,57,0.0,0.0,3.937724000042627e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.654352e6,0.0,0.0,5.729227538484817e-5,0.0,9.654352000057293e6,3.937724000042627e9,-3.9280696480425696e9
WECC_WYCO,WECC_WYCO_biomass_1,6,1,58,0.0,0.0,1.579995648e9,0.0,4.5546903015625e8,0.0,0.0,0.0,0.0,0.0,3.2263375e6,0.0,0.0,1.90794687339255e-5,0.0,3.2263375000190795e6,2.03546467815625e9,-2.032238340656231e9
WECC_WYCO,WECC_WYCO_conventional_hydroelectric_1,6,1,59,0.0,0.0,4.286092720000001e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14298584e8,0.0,0.0,0.0,0.0,1.14298584e8,4.286092720000001e10,-4.274662861600001e10
WECC_WYCO,WECC_WYCO_conventional_steam_coal_1,6,1,60,0.0,0.0,1.3985783999997168e11,0.0,2.8595539800000004e10,2.509981479251333e8,0.0,0.006216818353836798,0.0,0.0,4.8685085e8,0.0,0.0,0.0,0.0,4.86850848e8,1.6870437794790305e11,-1.6821752709990305e11
WECC_WYCO,WECC_WYCO_conventional_steam_coal_2,6,2,61,0.0,0.0,2.6978423659206555e11,0.0,7.161745272e10,5.824349637147094e8,0.0,0.004456609389188589,0.0,0.0,1.200733e9,0.0,0.0,0.0,0.0,1.200733056e9,3.419841242757847e11,-3.407833912197847e11
WECC_WYCO,WECC_WYCO_hydroelectric_pumped_storage_1,6,1,62,0.0,0.0,2.163375e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163375e10,-2.163375e10
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_1,6,1,63,0.0,0.0,314.1727517119719,0.0,34.25879810936748,0.26530617690740577,0.0,0.020990050241292097,0.0,0.0,0.48008087,0.0,0.0,0.0,0.0,0.48008087277412415,348.71784604848807,-348.23776517571395
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_2,6,2,64,0.0,0.0,1.7900379269964863e10,0.0,2.300747715e10,1.9173704438878804e8,0.0,0.03291694355772107,0.0,0.0,2.449185e8,0.0,0.0,0.0,0.0,2.44918496e8,4.109959346438656e10,-4.085467496838656e10
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_1,6,1,65,0.0,0.0,251.1097859594913,0.0,10.444598263129592,0.1542517931807627,0.0,0.02542521103893166,0.0,0.0,0.28823382,0.0,0.0,0.0,0.0,0.28823381662368774,261.7340612268406,-261.4458274102169
