region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,AnnualSum
WECC_WYCO,WECC_WYCO_biomass_1,6,1,58,0.0,0.0,0.0,0.0,0.0,1.90794687339255e-5,1.90794687339255e-5
WECC_WYCO,WECC_WYCO_conventional_hydroelectric_1,6,1,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_conventional_steam_coal_1,6,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_conventional_steam_coal_2,6,2,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_hydroelectric_pumped_storage_1,6,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_1,6,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combined_cycle_2,6,2,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_1,6,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_natural_gas_fired_combustion_turbine_2,6,2,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_WYCO,WECC_WYCO_onshore_wind_turbine_1,6,1,67,0.0,0.0,0.0,0.0,0.0,0.0030978157326762225,0.0030978157326762225
WECC_WYCO,WECC_WYCO_solar_photovoltaic_1,6,1,68,0.0,0.0,0.0,0.0,0.0,0.00025839440685784034,0.00025839440685784034
CA_N,CA_N_naturalgas_ccavgcf_mid_0,1,0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_ctavgcf_mid_0,1,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_ccccsavgcf_mid_0,1,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_battery_mid_0,1,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_nuclear_mid_0,1,0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_naturalgas_ccs100_mid_0,1,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_1,1,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_2,1,2,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_3,1,3,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_4,1,4,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_landbasedwind_ltrg1_mid_110_5,1,5,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_1,1,1,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_2,1,2,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_3,1,3,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_utilitypv_losangeles_mid_90_0_2_4,1,4,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_1,1,1,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_2,1,2,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_3,1,3,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_4,1,4,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_5,1,5,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_N,CA_N_offshorewind_otrg6_mid_floating_1_180_6,1,6,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_ccavgcf_mid_0,2,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_ctavgcf_mid_0,2,0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_ccccsavgcf_mid_0,2,0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_battery_mid_0,2,0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_nuclear_mid_0,2,0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_naturalgas_ccs100_mid_0,2,0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_1,2,1,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_2,2,2,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_3,2,3,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_4,2,4,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_5,2,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_6,2,6,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_7,2,7,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_8,2,8,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_9,2,9,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_landbasedwind_ltrg1_mid_90_10,2,10,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_1,2,1,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_2,2,2,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_3,2,3,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA_S,CA_S_utilitypv_losangeles_mid_90_0_2_4,2,4,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_naturalgas_ccavgcf_mid_0,3,0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_naturalgas_ctavgcf_mid_0,3,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_naturalgas_ccccsavgcf_mid_0,3,0,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_battery_mid_0,3,0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_nuclear_mid_0,3,0,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_naturalgas_ccs100_mid_0,3,0,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_1,3,1,116,0.0,0.0,8.54434995270493e-12,0.0,0.0,0.0,8.54434995270493e-12
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_2,3,2,117,0.0,0.0,4.1211158161555023e-14,0.0,0.0,0.0,4.1211158161555023e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_3,3,3,118,0.0,0.0,8.163714283850327e-14,0.0,0.0,0.0,8.163714283850327e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_4,3,4,119,0.0,0.0,3.627484364139654e-14,0.0,0.0,0.0,3.627484364139654e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_5,3,5,120,0.0,0.0,8.675126853563202e-14,0.0,0.0,0.0,8.675126853563202e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_6,3,6,121,0.0,0.0,1.576413151145374e-13,0.0,0.0,0.0,1.576413151145374e-13
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_7,3,7,122,0.0,0.0,5.884907203715821e-14,0.0,0.0,0.0,5.884907203715821e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_8,3,8,123,0.0,0.0,8.34913795281358e-14,0.0,0.0,0.0,8.34913795281358e-14
WECC_N,WECC_N_landbasedwind_ltrg1_mid_70_9,3,9,124,0.0,0.0,3.98209914688488e-14,0.0,0.0,0.0,3.98209914688488e-14
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_1,3,1,125,0.0,0.0,0.00026078710173634624,0.0,0.0,0.0,0.00026078710173634624
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_2,3,2,126,0.0,0.0,0.0015201398372772324,0.0,0.0,0.0,0.0015201398372772324
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_3,3,3,127,0.0,0.0,1.3653169703496612e-13,0.0,0.0,0.0,1.3653169703496612e-13
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_4,3,4,128,0.0,0.0,0.001450340349307538,0.0,0.0,0.0,0.001450340349307538
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_5,3,5,129,0.0,0.0,1.1652793761469086e-13,0.0,0.0,0.0,1.1652793761469086e-13
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_6,3,6,130,0.0,0.0,2.0238465186298055e-12,0.0,0.0,0.0,2.0238465186298055e-12
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_7,3,7,131,0.0,0.0,5.204812735843036e-13,0.0,0.0,0.0,5.204812735843036e-13
WECC_N,WECC_N_utilitypv_losangeles_mid_70_0_2_8,3,8,132,0.0,0.0,5.791508611925263e-13,0.0,0.0,0.0,5.791508611925263e-13
WECC_NMAZ,WECC_NMAZ_naturalgas_ccavgcf_mid_0,4,0,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ctavgcf_mid_0,4,0,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ccccsavgcf_mid_0,4,0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_battery_mid_0,4,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_nuclear_mid_0,4,0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_naturalgas_ccs100_mid_0,4,0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_1,4,1,139,0.0,0.0,0.0,6.018458009719414e-14,0.0,0.0,6.018458009719414e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_2,4,2,140,0.0,0.0,0.0,3.329292522235934e-14,0.0,0.0,3.329292522235934e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_3,4,3,141,0.0,0.0,0.0,6.006877014985133e-14,0.0,0.0,6.006877014985133e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_4,4,4,142,0.0,0.0,0.0,4.735892314839941e-14,0.0,0.0,4.735892314839941e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_5,4,5,143,0.0,0.0,0.0,3.411319541283638e-14,0.0,0.0,3.411319541283638e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_6,4,6,144,0.0,0.0,0.0,4.319748097593278e-14,0.0,0.0,4.319748097593278e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_7,4,7,145,0.0,0.0,0.0,8.24241470610548e-14,0.0,0.0,8.24241470610548e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_8,4,8,146,0.0,0.0,0.0,4.090005338914534e-14,0.0,0.0,4.090005338914534e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_9,4,9,147,0.0,0.0,0.0,3.2981228385225476e-14,0.0,0.0,3.2981228385225476e-14
WECC_NMAZ,WECC_NMAZ_landbasedwind_ltrg1_mid_70_10,4,10,148,0.0,0.0,0.0,2.7714054142068215e-14,0.0,0.0,2.7714054142068215e-14
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_1,4,1,149,0.0,0.0,0.0,2.300347134545177e-12,0.0,0.0,2.300347134545177e-12
WECC_NMAZ,WECC_NMAZ_utilitypv_losangeles_mid_70_0_2_2,4,2,150,0.0,0.0,0.0,2.5821934954657887e-13,0.0,0.0,2.5821934954657887e-13
