Region,Resource,Zone,Cluster,AnnualSum
WECC_PNW,WECC_PNW_naturalgas_ctavgcf_mid_0,5,0,0.0
WECC_PNW,WECC_PNW_naturalgas_ccccsavgcf_mid_0,5,0,0.0
WECC_PNW,WECC_PNW_battery_mid_0,5,0,0.6861179
WECC_PNW,WECC_PNW_nuclear_mid_0,5,0,0.0
WECC_PNW,WECC_PNW_naturalgas_ccs100_mid_0,5,0,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_1,5,1,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_2,5,2,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_3,5,3,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_4,5,4,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_5,5,5,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_6,5,6,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_7,5,7,0.0
WECC_PNW,WECC_PNW_landbasedwind_ltrg1_mid_70_8,5,8,0.0
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_1,5,1,0.0
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_2,5,2,0.0
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_3,5,3,0.0
WECC_PNW,WECC_PNW_utilitypv_losangeles_mid_70_0_2_4,5,4,0.0
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_1,5,1,0.0
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_2,5,2,0.0
WECC_PNW,WECC_PNW_offshorewind_otrg6_mid_floating_1_150_3,5,3,0.0
WECC_WYCO,WECC_WYCO_naturalgas_ccavgcf_mid_0,6,0,0.0
WECC_WYCO,WECC_WYCO_naturalgas_ctavgcf_mid_0,6,0,0.0
WECC_WYCO,WECC_WYCO_naturalgas_ccccsavgcf_mid_0,6,0,0.0
WECC_WYCO,WECC_WYCO_battery_mid_0,6,0,0.28429714
WECC_WYCO,WECC_WYCO_nuclear_mid_0,6,0,0.0
WECC_WYCO,WECC_WYCO_naturalgas_ccs100_mid_0,6,0,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_1,6,1,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_2,6,2,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_3,6,3,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_4,6,4,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_5,6,5,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_6,6,6,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_7,6,7,0.0
WECC_WYCO,WECC_WYCO_landbasedwind_ltrg1_mid_70_8,6,8,0.0
WECC_WYCO,WECC_WYCO_utilitypv_losangeles_mid_70_0_2_1,6,1,0.0
WECC_WYCO,WECC_WYCO_utilitypv_losangeles_mid_70_0_2_2,6,2,0.0
WECC_WYCO,WECC_WYCO_utilitypv_losangeles_mid_70_0_2_3,6,3,0.0
WECC_WYCO,WECC_WYCO_utilitypv_losangeles_mid_70_0_2_4,6,4,0.0
WECC_WYCO,WECC_WYCO_utilitypv_losangeles_mid_70_0_2_5,6,5,0.0
CA_N,CA_N_ev_load_shifting_1,1,1,0.0
CA_S,CA_S_ev_load_shifting_1,2,1,0.0
WECC_N,WECC_N_ev_load_shifting_1,3,1,0.0
WECC_NMAZ,WECC_NMAZ_ev_load_shifting_1,4,1,0.0
WECC_PNW,WECC_PNW_ev_load_shifting_1,5,1,0.0
WECC_WYCO,WECC_WYCO_ev_load_shifting_1,6,1,0.0
