,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t9,10503.630158847112,80.5454117127384,-294.2420436482878,0.0,-0.0,-2.417841483872714e-9,-3.5051434456966756e-9,-1748.374889889304,-94.55863701449347,-8447.0,8775.214948149232,55.02084571531106,-164.02589371918023,0.0,-0.0,-2.417795107616511e-9,-3.5051601234566468e-9,3926.344210790777,-257.55411092828155,-12335.0,12671.496132672566,4.975330814230032e-5,-0.0001186396140148398,0.0,-0.0,-2.4178370652300204e-9,-3.5048898640137393e-9,-2593.3309006857976,-177.1651630923115,-9901.0,24825.161417996078,46.56053498439998,-128.2153394267523,0.0,-0.0,-2.4177092791030633e-9,-3.504615187911532e-9,-4962.941346827317,-168.565266718669,-19612.0,17937.86841476689,9.046378404154481e-6,-2.1749627234889266e-5,0.0,-0.0,-2.417738837069118e-9,-3.5049341823600214e-9,605.8140613363672,-169.68246339217865,-18374.0,5753.902654236674,2.3019926672461265e-6,-7.164286963138671e-6,0.0,-0.0,-2.417724680291888e-9,-3.504803854942836e-9,4772.488865275274,-95.39151462479035,-10431.0
t10,11150.837345259972,113.62042936787465,-233.88831499971468,0.0,-0.0,-2.417832247347881e-9,-3.5051282440038353e-9,-1959.7523882772248,-95.81707134323051,-8975.0,9513.29663129586,74.02722273042733,-133.03415940837473,0.0,-0.0,-2.417778352709029e-9,-3.505163766344337e-9,4118.53840805631,-255.82810266637844,-13317.0,13204.667749341133,6.344888454768861e-5,-0.00010013946504196693,0.0,-0.0,-2.4178293520133203e-9,-3.504890367961073e-9,-2644.700462974387,-175.9672496680486,-10384.0,26292.78788879401,62.32037169063569,-105.29704408184017,0.0,-0.0,-2.417696681655963e-9,-3.504589993254325e-9,-4822.413291187535,-166.39792520751485,-21261.0,18709.506993165163,1.1549110287801717e-5,-1.834059024709511e-5,0.0,-0.0,-2.417728882091884e-9,-3.5049283512749634e-9,637.4062303973434,-168.9132167630491,-19178.0,6399.367653954416,2.196637410145447e-6,-8.229933551700085e-6,0.0,-0.0,-2.4177454052943265e-9,-3.5047977376062324e-9,4670.921503985493,-94.28915189277951,-10976.0
t11,11369.67387525116,119.9559644699179,-229.20748451841,0.0,-0.0,-2.4178111253429217e-9,-3.505147201036278e-9,-1440.834360467637,-91.58799472717865,-9728.0,9902.968522380916,75.5425781200947,-134.9479200691637,0.0,-0.0,-2.4177545269578385e-9,-3.5051512631281132e-9,5048.926113264685,-275.4892936886135,-14617.0,13738.914720782657,6.353022427094056e-5,-0.00010324166113850509,0.0,-0.0,-2.4178115427737775e-9,-3.5048823581815147e-9,-2699.926697814344,-175.98798324872814,-10863.0,29173.747090525645,62.950138990495745,-107.95266534890638,0.0,-0.0,-2.417671075919697e-9,-3.5045680951261172e-9,-6194.098591262692,-188.6459728967411,-22746.0,19388.22163128941,1.1570593395742585e-5,-1.8897987052987968e-5,0.0,-0.0,-2.4177134955514394e-9,-3.5049249544131387e-9,471.9335365396329,-165.1551604935782,-19695.0,6732.84776519797,1.0402662394202893e-6,-3.445449983854934e-7,0.0,-0.0,-2.3857523853641763e-9,-3.5046533486515774e-9,4813.999999740356,-95.84776562801189,-11451.0
t12,11554.049140367948,102.15389786416875,-271.44240279925276,0.0,-0.0,-2.417781492633689e-9,-3.505189683481907e-9,-690.3629713267666,-82.39766409777909,-10612.0,10077.711129863204,61.096987334585386,-171.23683070480203,0.0,-0.0,-2.4177299780883194e-9,-3.5051987792684628e-9,5844.822899669788,-282.39418615508976,-15530.0,14471.411894821826,4.780235212580834e-5,-0.00014198498619903455,0.0,-0.0,-2.4177916865545707e-9,-3.5048754055595928e-9,-3109.522022135267,-168.88977849534078,-11193.0,31485.939847376438,49.761863260708665,-139.7159444677543,0.0,-0.0,-2.4176462639885984e-9,-3.5045534405301925e-9,-7233.941466609252,-203.0442995519749,-23959.0,19782.67420908191,8.711849143676716e-6,-2.5944853116536424e-5,0.0,-0.0,-2.417699089056998e-9,-3.5049232531891156e-9,375.00356065538807,-147.67775249611336,-20010.0,7203.847765878375,4.905059980622722e-7,-4.808785374375718e-7,0.0,-0.0,-2.3855316831087633e-9,-3.5046422633775473e-9,4813.99999974611,-95.84776562807289,-11922.0
t13,12047.048196259875,5.966561905153677e-7,-5.366720809826627e-7,0.0,-0.0,-2.3881251382088892e-9,-3.505054453342007e-9,-410.1451671374642,-6.903029176463638,-11630.0,10773.726752700346,6.079644321771545e-7,-4.997254124071912e-7,0.0,-0.0,-2.387028253741447e-9,-3.505140238690829e-9,6646.473602467138,-146.20035526981565,-17274.0,15772.004041415667,6.965406479155158e-7,-4.621469328778394e-7,0.0,-0.0,-2.3871559564132308e-9,-3.5047254718663002e-9,-4107.088679159063,-78.91536248490847,-11586.0,32074.73365406766,6.379204455940601e-7,-5.252555437858308e-7,0.0,-0.0,-2.388332660187944e-9,-3.504407361175609e-9,-6900.32844057072,-155.40521360368842,-25019.0,20255.000000913184,6.256482254769176e-7,-4.893657835280807e-7,0.0,-0.0,-2.3874848938447787e-9,-3.5047897499727384e-9,-8.18248869740108e-7,-2.252023999136547e-7,-20255.0,7832.934564540587,3.266214743651298e-7,-8.15893112230146e-7,0.0,-0.0,-2.38548627785324e-9,-3.5046319878038174e-9,4771.088685218358,-95.02324926363562,-12509.0
t14,11877.438625669827,4.062090394067706e-7,-5.193040143475441e-7,0.0,-0.0,-2.3814390127239996e-9,-3.5050675229412047e-9,892.3919394174168,-20.83056496821637,-12749.0,10852.491676462932,3.8522876817623055e-7,-5.708722899767998e-7,0.0,-0.0,-2.381930522555827e-9,-3.505250465866024e-9,8325.104431576383,-193.59610784776515,-18984.0,17133.620221979,3.891447610401826e-7,-6.667844076190642e-7,0.0,-0.0,-2.3845140237070837e-9,-3.5047173622268687e-9,-5079.380633793316,-110.2395879019745,-11944.0,33338.78656290184,4.052423143337647e-7,-5.998262675520508e-7,0.0,-0.0,-2.3834847460490057e-9,-3.5043740926333785e-9,-6925.104438205897,-154.682124495475,-26259.0,20634.447878731986,3.965798758051813e-7,-5.732742256229572e-7,0.0,-0.0,-2.3830705806228954e-9,-3.504763343690689e-9,-147.58051028154296,-30.867368267814992,-20456.0,10221.816859516202,3.0691166916733126e-7,-7.608515254482673e-7,0.0,-0.0,-2.383122524948462e-9,-3.504613756518405e-9,2934.5692112869556,-56.38607034320334,-13100.0
t15,12635.067745260618,5.98941235345586e-7,-2.678593474990256e-7,0.0,-0.0,-2.3707797716143484e-9,-3.5050632542728863e-9,1728.1478275800362,-40.215573165808266,-14323.0,11647.963557457042,5.909394849405613e-7,-2.5948791807681866e-7,0.0,-0.0,-2.3693878651103808e-9,-3.5053357911834104e-9,9642.254900835285,-243.21845861789322,-21047.0,18114.795529883337,6.197371618337562e-7,-2.9910399093723157e-7,0.0,-0.0,-2.3748077329178958e-9,-3.504663248920576e-9,-5744.847835934882,-130.94769426303145,-12239.0,33325.7246684645,6.188272960003144e-7,-2.743005025616456e-7,0.0,-0.0,-2.3715483822563307e-9,-3.5043142699593293e-9,-6065.555997221645,-174.16867158146883,-27086.0,23287.29894728322,6.557615084077738e-7,-2.7340661228027775e-7,0.0,-0.0,-2.3729537950604448e-9,-3.5047054387179556e-9,-2528.861591209307,-100.43735645027375,-20658.0,10723.182303867294,5.488780572827308e-7,-2.7820964232573724e-7,0.0,-0.0,-2.373003660537407e-9,-3.504561273543606e-9,2968.862695950513,-57.04500008246214,-13635.0
t16,13037.538957419167,2.7159412132702013e-7,-4.951535057610205e-7,0.0,-0.0,-2.3708742680998e-9,-3.505033249529758e-9,2947.9698779558485,-68.50883514553824,-15917.0,14249.256116181516,2.697653983079731e-7,-4.647759467609814e-7,0.0,-0.0,-2.369353068721794e-9,-3.5052818090941038e-9,8912.650989191909,-246.90710517253135,-22915.0,18201.80944734445,2.82757203900745e-7,-5.858995264949427e-7,0.0,-0.0,-2.374907096574725e-9,-3.5046798859722335e-9,-5648.694455797943,-129.1149912373068,-12424.0,31715.7761433168,2.839417039593469e-7,-4.906421291205134e-7,0.0,-0.0,-2.3715129276985356e-9,-3.504316692367371e-9,-3914.651014269526,-126.12512883465787,-27675.0,26183.23720192045,3.0620539686569945e-7,-4.59615204955245e-7,0.0,-0.0,-2.3730575481194108e-9,-3.504716877353143e-9,-5072.894022698144,-182.34317906290474,-20928.0,11386.71330037558,2.615850658213531e-7,-5.287336415364339e-7,0.0,-0.0,-2.3731036985358067e-9,-3.5045585024148612e-9,2775.6186256178557,-53.3319257202725,-14109.0
t17,14543.342808123924,3.1762693134811943e-7,-3.377668334001173e-7,0.0,-0.0,-2.366180393480851e-9,-3.504978620219948e-9,2568.8721601651937,-101.2149682630533,-17011.0,18517.771533047835,3.4335331880572456e-7,-2.978411539975367e-7,0.0,-0.0,-2.364262240718106e-9,-3.5052094328545406e-9,5571.804507010624,-166.57604009810407,-23923.0,17804.370342718434,4.0247503461248674e-7,-3.1023457343038365e-7,0.0,-0.0,-2.368890317295401e-9,-3.5046694766158774e-9,-5271.537065110405,-113.83327769422208,-12419.0,28052.167859905603,3.573653442226778e-7,-3.1699409702763495e-7,0.0,-0.0,-2.3666600373106947e-9,-3.5042983533147405e-9,-276.9810905213945,-6.186769418668455,-27769.0,27674.033672064048,4.591530096751731e-7,-2.810858672563659e-7,0.0,-0.0,-2.3686048215633435e-9,-3.5047174161847555e-9,-6363.695700968805,-185.33797126732054,-21125.0,10765.930742206685,3.6637541591049876e-7,-2.8843283635831517e-7,0.0,-0.0,-2.366826038210044e-9,-3.5045307845165334e-9,3771.537189424786,-72.4679317034088,-14465.0
t18,13467.691457275827,2.0930408358861203e-7,-5.7954190200842e-7,0.0,-0.0,-2.364904800560855e-9,-3.5049673627245902e-9,3774.9999955730673,-87.69145247271405,-17155.0,17018.680236432552,1.9670437096086428e-7,-6.508551727623531e-7,0.0,-0.0,-2.3642394981506673e-9,-3.505111842913255e-9,7266.45676414482,-210.13700011734446,-24075.0,15732.019854430619,2.177618154198383e-7,-6.90771534605616e-7,0.0,-0.0,-2.368843597713889e-9,-3.504655251263581e-9,-3414.3925615598678,-88.62729239166589,-12229.0,30008.65495678473,2.0522460171890293e-7,-7.151372916145366e-7,0.0,-0.0,-2.3666443884016707e-9,-3.504302867083037e-9,-3008.456766173931,-67.19819009495988,-26933.0,28166.10452625613,2.035103777383267e-7,-9.728354769473887e-7,0.0,-0.0,-2.3706442983219857e-9,-3.5047281519707975e-9,-6804.5798797352045,-194.52464574558527,-21167.0,12256.029764014433,2.0301192261648988e-7,-6.205365627340934e-7,0.0,-0.0,-2.366783768544824e-9,-3.504525437923743e-9,2185.9724477511163,-42.002211342012714,-14400.0
t19,16208.594721556321,2.0782126433269307e-7,-3.4567895710873535e-7,0.0,-0.0,-2.3533050681624288e-9,-3.504889020181259e-9,873.7662938952537,-131.3610153077941,-16951.0,19085.07592209743,2.043156213242722e-7,-3.272200377681586e-7,0.0,-0.0,-2.3508969742282662e-9,-3.504971516110831e-9,4869.726597616277,-167.80251958493113,-23787.0,12681.915726224686,2.2092107512487492e-7,-3.3014764044592525e-7,0.0,-0.0,-2.353945329726296e-9,-3.5046201419529635e-9,-625.5421692307311,-24.37355687866011,-12032.0,24396.44843469377,2.1397152355050902e-7,-2.883340548316663e-7,0.0,-0.0,-2.3476474093600626e-9,-3.504268509472783e-9,2167.878608557791,-55.32704317128694,-26509.0,27952.716529531175,2.2501277381797805e-7,-3.4597069172411035e-7,0.0,-0.0,-2.356389856037109e-9,-3.5046791562232397e-9,-6621.829334450413,-190.8871949537939,-21140.0,14936.107883838999,2.0702692582883678e-7,-3.184410644814349e-7,0.0,-0.0,-2.3524982914359855e-9,-3.5044877613460554e-9,-663.9999963881779,-16.10788733340813,-14256.0
t20,14394.038336619595,718.2501497963264,-1.1526985242479696e-8,0.0,-0.0,-2.244756891250149e-9,-3.504469321198652e-9,1802.1900356966585,-48.47852209525041,-16866.0,20321.78298869827,429.2182008514192,-1.112810495895246e-8,0.0,-0.0,-2.2378198366267084e-9,-3.504873358838218e-9,3024.831528003698,-106.83271753655534,-23669.0,9843.58817213696,0.00033264412936204174,-1.4104236878409054e-8,0.0,-0.0,-2.2463782631163727e-9,-3.504285827573507e-9,1947.9637358682255,-37.55224062930461,-11754.0,24614.15817770338,338.6905826956091,-1.4260444729617e-8,0.0,-0.0,-2.244254717006631e-9,-3.5039229124204326e-9,593.5500921256512,-14.398852504603786,-25532.0,27035.166715483076,6.05841882470368e-5,-1.5390057265313744e-8,0.0,-0.0,-2.2536996174655535e-9,-3.5043133050555237e-9,-5633.845428175734,-165.3213478702902,-21236.0,15979.015149228144,1.7239000143252677e-5,-1.6284769120851867e-8,0.0,-0.0,-2.253706302598942e-9,-3.504127649118329e-9,-1734.689963518499,-36.32520292647973,-14208.0
t21,15110.361396902337,1.1775118744032807e-6,-7.16849773431887e-8,0.0,-0.0,-2.3132078404388086e-9,-3.5047771261041905e-9,2142.3290273145594,-49.69042531687593,-17203.0,21407.660920255876,7.157887224761697e-7,-6.634768353807826e-8,0.0,-0.0,-2.310043600725156e-9,-3.5052172229367646e-9,2822.1057738103477,-87.7666947099024,-24142.0,9977.344679939462,4.790012804670622e-7,-7.312319920166561e-8,0.0,-0.0,-2.3165967278096515e-9,-3.504523767821039e-9,1391.3451400198906,-44.689820359253396,-11324.0,24335.292278446166,4.6059822684395203e-7,-7.23687348579257e-8,0.0,-0.0,-2.315206061838262e-9,-3.50418395850258e-9,-165.65290734139248,-34.63937148713195,-24135.0,24798.13227066802,4.909544415753836e-7,-7.775977614562818e-8,0.0,-0.0,-2.3183789699515324e-9,-3.5045168938531816e-9,-3752.8234406091074,-108.30883046619397,-20937.0,16151.48449533561,2.364849602876269e-7,-7.958568760168762e-8,0.0,-0.0,-2.3206897781772294e-9,-3.504373937381689e-9,-2437.303593194298,-50.18090229225136,-13664.0
t22,14454.709653717691,7.259176995615378e-8,-4.956278605695175e-7,0.0,-0.0,-2.347805113084082e-9,-3.5049258296502085e-9,1978.3082868682563,-46.01794015701787,-16387.0,20636.46918952679,6.649799821443547e-8,-4.884944525319586e-7,0.0,-0.0,-2.3494383264889114e-9,-3.5052230865902936e-9,2414.6602365844215,-54.12942568337934,-22997.0,9023.205776157145,7.160822264760431e-8,-6.006527244512554e-7,0.0,-0.0,-2.353532178206095e-9,-3.5046841245902218e-9,1478.2458051454382,-34.45158076750171,-10467.0,23999.273938258822,7.182478031039781e-8,-5.142696626906183e-7,0.0,-0.0,-2.3526149242457533e-9,-3.5043605540370354e-9,-1715.027076436679,-69.24686137377442,-22215.0,21598.874813177514,7.760944604724981e-8,-5.85203107256113e-7,0.0,-0.0,-2.3511922613485697e-9,-3.5046778278966307e-9,-1878.3082370272678,-43.56657563667853,-19677.0,15106.996665723454,7.145811229800554e-8,-6.084543058059823e-7,0.0,-0.0,-2.35604323878907e-9,-3.504530275713486e-9,-2277.879015134169,-47.1176500462864,-12782.0
