Zone,1,2,3,4,5,6,Total
t36,1598.0306761852971,1822.5867051830628,3595.568804054947,4164.36383118457,426.8594901281617,7547.027434465065,19154.436941201104
t37,2023.094154074434,2490.4499987804325,3595.568804237207,4164.363831298256,426.8594901469586,7547.02743455927,20247.363713096558
t38,2023.0941541036646,3604.202031258986,3595.568804256557,4164.363831326688,426.8594901591898,7547.027434658387,21361.115745763473
t39,1552.1008533576112,4510.361963123315,3595.568803990407,4164.363831363686,426.85949016120657,7547.027434684447,21796.282376680676
t40,2023.0941543837816,4839.382714363279,3595.5688044316435,4195.150856214871,426.85949020579585,7803.372849973972,22883.42886957334
t41,2023.0941544545988,4839.382714416172,3507.189600052431,6345.669760701152,426.8594901741546,7827.198501131,24969.39422092951
t42,2023.0941561612785,5016.9200860616675,3595.568804598487,9189.959628519351,426.85949026732425,8536.109143478898,28788.511309087007
t43,3576.9760593271203,6161.12409964161,3595.568807129696,10962.372508020835,942.3707345847091,9222.293015893998,34460.705224597965
t44,3576.976060324032,6161.124100735691,4200.052179726374,11146.959096561695,950.6892879110063,9248.559384416685,35284.36010967548
t45,3576.9760601662038,6161.124100583793,4200.052179396139,11146.959096303295,950.6892877563329,9248.55938409573,35284.360108301495
t46,3576.976058615148,6161.124099339623,4100.077868866068,9924.032265515774,950.6892864231594,8754.133653249599,33467.03323200937
t47,3576.976057187116,5239.112237975394,3595.5688051822,9924.032263828656,426.85949184362914,8727.867286110306,31490.416142127302
t48,2589.0557283773037,4839.382714625818,3595.568805086273,9924.032263686933,426.8594905245831,8727.867285870667,30102.76628817158
t49,2205.477884723015,4839.382714485396,3595.5688050916365,9924.03226341204,426.8594905710714,8727.86728595234,29719.188444235497
t50,2189.022796059925,4839.3827145151545,3595.5688051537804,9924.032263575746,847.7550998499802,8727.867286078255,30123.62896523284
t51,2295.1024113620156,4839.3827144934185,3595.5688051415673,9924.032263553147,525.9078849610481,8727.86728606728,29907.861365578472
t52,2474.8140366575158,4839.382714476509,3595.5688051311563,9924.032263535528,936.3076639140386,8727.867286058468,30497.972769773216
t53,3576.9760570118997,5037.898842554503,3595.568806886361,9924.032263681962,950.6892865233923,8727.867286219212,31813.03254287733
t54,3576.976056974539,4839.382718225128,3627.0968536182163,9924.032263658832,950.6892865201623,8727.867286226601,31646.04446522348
t55,2023.094154759614,4839.382714224861,3595.568804955284,4900.136893879148,426.85949038005907,8036.552231242716,23821.594289441684
t56,1552.1008531802122,1822.5867049548194,2595.4409187057404,4339.468609826543,426.85949021847694,6447.7244284692915,17184.181005355083
t57,1552.1008531019834,1822.5867048862397,1586.546653957575,3346.525695399128,426.8594901760802,4511.816775685786,13246.436173206792
t58,1552.100853105176,1822.5867048894365,1586.5466539601227,3346.5256954036618,426.8594901763558,4720.5950890514105,13455.214486586163
t59,1552.1008531726611,1822.5867049577503,1825.520661663706,3486.200955604548,426.8594902137698,5125.175488156331,14238.444153768767
t60,2007.5625063661291,2406.5529661626365,3595.568804515293,4900.136893682486,426.8594902679817,7547.0274346055085,20883.708095600035
t61,1907.8351716767331,2247.672000583831,3595.568804563969,4900.136893759738,426.8594902792323,7547.027434619491,20625.099795482995
t62,1704.6820426661818,3558.014192329981,3595.5688045844054,4900.136893790327,426.8594902935081,7547.027434697861,21732.288858362266
t63,1886.0912612700574,4839.382714130033,3595.568804653019,4900.136893915089,426.8594903120813,7547.027435063197,23195.066599343474
t64,2023.0941548878372,4839.3827144730785,3595.568804895782,5984.847803460115,426.8594903584395,7733.167776300595,24602.920744375842
t65,2023.0941551229357,4839.382714534533,2840.3268620807075,8133.8431628130575,426.8594903210389,7604.674277773783,25868.180662646053
t66,2513.6907724013254,5873.064891150122,3595.5688050924914,9924.032264265263,426.859490462474,7840.985784887065,30174.20200825874
t67,3576.9760930310244,6161.124099702391,3595.5688097757397,12731.30826998256,894.7800313060761,8754.133655039916,35713.89095883771
t68,3576.9761003260105,6161.124101134273,4257.1234909124105,12852.989206865379,950.6892915652827,9248.559384644566,37047.461575447924
t69,3576.9760997256685,6161.124100929466,4244.980659340758,12852.98920646589,950.6892909495723,9248.559384235654,37035.31874164701
t70,3576.976098477739,6161.1240996158685,4244.980655863019,11327.581205843626,950.6892897866493,8754.133653384724,35015.485002971625
t71,3576.9760760682148,5897.694589396032,3613.3604832504093,10575.735765960158,426.85949361446535,8727.867286195682,32818.49369448496
