,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.8496219015589863e7,0.0,0.0,0.0,0.0,1401.0565083271404,0.0,8.98997312313891e6,-116125.87380852216,-2.7371467321428575e7,2.0690997442322955e7,0.0,0.0,0.0,0.0,344.829739010989,0.0,-1.2795473945028003e7,-78729.50835263089,-7.81713881868132e6,4582.286058440359,227780.7682028669,-269117.1647009272,0.0,0.0,199.0770833333334,0.0,3.8055008218891e6,-37396.365455891326,-3.731549423076923e6
t27,8801.920741261945,0.0,-0.0,0.0,-0.0,0.0,0.0,-1064.4603706309724,-10.46037063097221,-7727.0,2207.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2207.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1064.4603706309724,-10.46037063097221,-1054.0
t28,8808.940590162572,0.0,-0.0,0.0,-0.0,0.0,0.0,-1065.4702950812862,-10.470295081286226,-7733.0,2209.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2209.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1065.4702950812862,-10.470295081286226,-1055.0
t29,9081.575754982669,0.0,-0.0,0.0,-0.0,0.0,0.0,-1097.7878774913347,-10.787877491334717,-7973.0,2277.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2277.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1097.7878774913347,-10.787877491334717,-1087.0
t30,9913.540796144844,0.0,-0.0,0.0,-0.0,0.0,0.0,-1197.770398072422,-11.770398072422239,-8704.0,2485.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2485.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1197.770398072422,-11.770398072422239,-1186.0
t31,11429.153296059148,0.0,-0.0,0.0,-0.0,0.0,0.0,-1381.5766480295733,-13.57664802957304,-10034.0,2865.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2865.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1381.5766480295733,-13.57664802957304,-1368.0
t32,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1231.1390322054974,-16.132260167016323,-10781.0,3332.9932279615196,0.0,-0.0,0.0,-0.0,0.0,0.0,-252.4399853057913,-1.5532426557277315,-3079.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1483.5790175112886,-14.579017511288592,-1469.0
t33,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1068.7687974216428,-17.502494950870204,-10942.0,3566.733697529227,0.0,-0.0,0.0,-0.0,0.0,0.0,-438.03848244686804,-2.6952150823592596,-3126.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1506.807279868511,-14.807279868510946,-1492.0
t34,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-977.0105552380087,-18.260737134504826,-11033.0,3696.250181896496,0.0,-0.0,0.0,-0.0,0.0,0.0,-541.9158180342704,-3.334363862225696,-3151.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1518.926373272279,-14.926373272279129,-1504.0
t35,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-890.283268110815,-18.98802426170001,-11119.0,3820.7047561508853,0.0,-0.0,0.0,-0.0,0.0,0.0,-640.7621985652323,-3.9425575856526915,-3176.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1531.0454666760475,-15.045466676047315,-1516.0
t36,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-906.4148009841595,-18.85649138835434,-11103.0,3796.441690404195,0.0,-0.0,0.0,-0.0,0.0,0.0,-622.6108167912598,-3.8308736129350534,-3170.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1529.0256177754193,-15.025617775419285,-1514.0
t37,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1014.3208143875091,-17.9504779850043,-10996.0,3642.629663597495,0.0,-0.0,0.0,-0.0,0.0,0.0,-499.5559366332,-3.0737269642952443,-3140.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1513.8767510207092,-14.876751020709055,-1499.0
t38,12028.271292372514,0.0,-0.0,0.0,-0.0,0.0,0.0,-1089.947523697799,-17.32376867471535,-10921.0,3535.376244976917,0.0,-0.0,0.0,-0.0,0.0,0.0,-413.8299828197703,-2.546262157146447,-3119.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1503.7775065175692,-14.777506517568902,-1489.0
