Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
CO2_Price_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.52038426493952,0.0,0.0,0.0,0.0
CO2_Price_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.16538203445841,0.0,0.0,0.0
CO2_Price_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.971122566084725,0.0,0.0
CO2_Price_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.19471150669185,0.0
AnnualSum,2.5287087415355477e6,7.08275634778964e6,4.26559454961497e6,1.0624148354029767e7,3.226058666750785e6,1.1477404562196651e7,1.5912671961894283e7,1.0357723249819081e7,5.058744302060522e6,2.3550740848801937e6,4.508935755783511e6,1.8424026733069845e7,2.3826113592074085e6,3.476412077358648e6,7.3152679585552765e6,1.683579236009294e7,1.0403036993905548e7,2.1692082352184728e7,1.5792705041072935e8
t1,0.09885876510799421,1387.7994361319552,346.6726681182906,0.079904244088658,0.16786768770180574,1564.4961192750106,3640.0948835726,944.7168582474422,321.5774488950295,0.16284506061130083,578.644214233006,4737.101928282433,0.03624042955055753,0.06633909985520715,0.06426953943140025,131.52915620405878,823.6069163970385,101.39948888288716,14578.315443066098
t2,0.10031016785709387,1458.7920385493521,346.67428069524306,0.08277192149954016,0.16709008415511434,1533.7566802189103,3667.3685012541923,944.7151212282788,321.58040974724986,0.16289553750023245,578.6492962251306,4689.664542293694,0.03765829479138755,0.06800446934200376,0.06550486959829147,131.54564179878804,929.1730472966062,101.39583761637452,14703.999632268562
t3,0.09279527811304426,1526.6589008672158,346.6659146632582,0.08792331850357796,0.15842237826404798,1736.6309252449958,3714.19654720291,944.7083656805096,321.5672500105183,0.15283858331628633,578.6549169343913,4690.525800164769,0.04005219431011519,0.07056687613784887,0.06769920097043672,285.68151021224793,602.8839690797331,101.39547799156824,14850.239875881733
t4,0.09126033580439497,1566.5251832388585,346.6631237143712,0.09609568768782127,0.15573392291459304,1107.2359751399335,4159.358447242417,944.705227993672,321.5640250371099,0.15081535342428928,578.6638452968222,4691.4394969882715,0.04518368551062428,0.07495543981812754,0.07171145879569774,357.07190866795503,602.880572904944,101.39609261811978,14778.18965472643
t5,0.10488234162812322,1564.6475714710057,346.6760067252638,0.2882103418503319,0.17292408641659532,802.2436176544087,4815.407866735614,944.713600440463,321.5814914337757,0.18541941627190303,691.4617509307308,4694.235485442933,0.14826203400085897,0.10719390648740432,3.082472898049781,875.7554192249826,678.6169292495765,101.40760895644804,15840.836713289907
t6,0.11620004012415255,1669.6929548382898,346.6849625374392,0.4969078221771202,0.18251235643240027,937.5307445704273,4814.961360447688,1442.6451693436143,723.4437496123437,0.2539024281162791,1700.6873129754258,4694.200006252083,488.61385002524185,0.11693200453393657,56.10900811125172,1110.7776525990062,1015.3463161427608,307.2796206280746,19309.13916273503
t7,0.11431432611842762,1873.3541357893232,346.6832933770183,957.1646174616506,0.18362061984575406,1904.4728073512333,4815.0228580299945,2072.2380384748317,687.3359573264769,0.2783171448424094,2266.627461216894,4694.246359382428,491.9843851016984,0.12340321274765319,54.320098381157905,1107.2414360718417,1015.3473764738623,304.4890078466864,22591.22748758865
t8,0.20451759755914162,2195.8054455169645,779.9736304412136,2705.53492249306,0.35967220932809474,2088.06642436506,4814.9943860745425,2125.5649780836166,723.5167222456278,164.39241131749083,2266.6018207659836,4694.2216843786155,491.67786148598447,0.15831849612284501,54.374732526737965,1107.380788034755,1356.4986712962427,304.53698157138865,25873.863968900292
t9,0.19573326909081767,1836.9419566349336,779.9526022907079,1555.2922943189087,0.335000585830445,2086.2492007194214,2692.271314053578,2125.543368773337,723.4966819161552,158.58582133130102,578.6545918890091,4687.870823782207,491.6610671270868,0.159133205161517,54.363080967832104,1107.3480748928043,1356.465834793124,304.5191459087717,20539.905726459263
